protein	go_term	walk	norm_score	true_label
Q7T2C4	GO:0072348	0.24355560541152954	1.0	1
Q04475	GO:0003823	0.24138709902763367	0.9910964628375857	1
Q7ZU91	GO:0070266	0.23395200073719025	0.9605691494633748	1
Q5BJI6	GO:0030677	0.2312398999929428	0.9494337016067554	1
A3KPQ7	GO:0030214	0.22992262244224548	0.9440251726243427	1
Q7ZV22	GO:0004731	0.22882606089115143	0.9395228679073513	1
Q6NV04	GO:0003984	0.22846373915672302	0.9380352333533601	1
A1A5X5	GO:1900076	0.22716264426708221	0.932693147764969	1
Q5XJ36	GO:0106045	0.22612974047660828	0.9284522115371673	1
Q6DRJ7	GO:0031134	0.22457805275917053	0.9220812322496411	1
O93430	GO:0071361	0.223702073097229	0.9184846011622088	1
Q5U3G1	GO:0001867	0.2230786681175232	0.9159250009483173	1
A4IG62	GO:0045025	0.22129908204078674	0.9086183077858687	1
Q2EI20	GO:0014043	0.2187669575214386	0.8982218132561302	1
Q9MIX8	GO:0008121	0.2178308367729187	0.8943782525754463	1
O73864	GO:0062009	0.21773964166641235	0.8940038201892474	1
F1QCP6	GO:0035965	0.21746826171875	0.8928895779314936	1
Q7ZU90	GO:0160002	0.2154747098684311	0.884704375842014	1
A0A1D5NSM8	GO:0045916	0.12460964918136597	0.5116271044996739	1
Q1L8X9	GO:0051938	0.12173593044281006	0.49982807924751327	1
Q7SY53	GO:0006569	0.11917921155691147	0.4893306042188496	1
O42363	GO:0070325	0.1185804158449173	0.4868720456856457	1
Q7SZP9	GO:1904323	0.11580505967140198	0.4754768812474227	1
Q6PFJ7	GO:0006685	0.1146075576543808	0.4705601312715895	1
A2BFP5	GO:0015377	0.11339164525270462	0.4655677912282484	1
A0A2R8QF68	GO:1990806	0.11334746330976486	0.46538638730258175	1
Q5PQY6	GO:0007031	0.11238668859004974	0.4614416013959231	1
Q5PQY6	GO:0072662	0.11238668113946915	0.4614415708050419	1
Q6IVV8	GO:0072019	0.11196732521057129	0.4597197630552704	1
Q90477	GO:0048743	0.1119517982006073	0.45965601165879666	1
F1QBY1	GO:0061780	0.11134994775056839	0.4571849108642903	1
Q6TV19	GO:0098795	0.11134253442287445	0.457154472937471	1
Q0P436	GO:1901401	0.11123643815517426	0.45671885878882135	1
P53405	GO:0003322	0.11106526851654053	0.4560160638835491	1
Q5RIX9	GO:0060718	0.11070191860198975	0.4545242077879489	1
A8DZE6	GO:0006942	0.1099066510796547	0.4512589677168312	1
A3KQ55	GO:1904871	0.10979363322257996	0.4507949346395232	1
Q9DGD9	GO:1900227	0.10883302241563797	0.4468508217322515	1
Q6TEP1	GO:0099041	0.1076623797416687	0.4420443518832358	1
