protein	go_term	degree	norm_score	true_label
WBGene00000898	GO:0016301	64	1.0	1
WBGene00000424	GO:0006996	51	0.796875	1
WBGene00000424	GO:0032228	51	0.796875	1
WBGene00000417	GO:0030155	49	0.765625	1
WBGene00001612	GO:0019899	47	0.734375	1
WBGene00001612	GO:0003700	47	0.734375	0
WBGene00001612	GO:0006898	47	0.734375	0
WBGene00001612	GO:0009612	47	0.734375	1
WBGene00001612	GO:0006890	47	0.734375	0
WBGene00001612	GO:0008289	47	0.734375	0
WBGene00001612	GO:0018991	47	0.734375	0
WBGene00001612	GO:0000226	47	0.734375	0
WBGene00001612	GO:0070986	47	0.734375	0
WBGene00001612	GO:0008340	47	0.734375	0
WBGene00001612	GO:0005789	47	0.734375	0
WBGene00001612	GO:0030150	47	0.734375	0
WBGene00001612	GO:0032007	47	0.734375	0
WBGene00001612	GO:0006906	47	0.734375	0
WBGene00003047	GO:0007399	47	0.734375	1
WBGene00001612	GO:0012505	47	0.734375	0
WBGene00001612	GO:0005840	47	0.734375	0
WBGene00001612	GO:0000242	47	0.734375	0
WBGene00001173	GO:0010468	47	0.734375	1
WBGene00001612	GO:0042407	47	0.734375	0
WBGene00001612	GO:0006606	47	0.734375	0
WBGene00001612	GO:0035556	47	0.734375	0
WBGene00001612	GO:0000082	47	0.734375	0
WBGene00006526	GO:0042048	45	0.703125	1
WBGene00006526	GO:0005216	45	0.703125	1
WBGene00006526	GO:0048609	45	0.703125	1
WBGene00006526	GO:0005634	45	0.703125	0
WBGene00006526	GO:0050829	45	0.703125	0
WBGene00006526	GO:0007199	45	0.703125	1
WBGene00006526	GO:0030334	45	0.703125	0
WBGene00006526	GO:0071321	45	0.703125	0
WBGene00006526	GO:0046872	45	0.703125	0
WBGene00006526	GO:0042254	45	0.703125	0
WBGene00006526	GO:0005524	45	0.703125	0
WBGene00006526	GO:0005223	45	0.703125	1
WBGene00006526	GO:0005515	45	0.703125	0
WBGene00000907	GO:0030334	44	0.6875	0
WBGene00000907	GO:0006338	44	0.6875	0
WBGene00000907	GO:0006412	44	0.6875	0
WBGene00000907	GO:0005216	44	0.6875	0
WBGene00000907	GO:0090435	44	0.6875	0
WBGene00000907	GO:0004812	44	0.6875	0
WBGene00000907	GO:0009880	44	0.6875	0
WBGene00000907	GO:0005515	44	0.6875	0
WBGene00000907	GO:0048609	44	0.6875	0
WBGene00000156	GO:0040027	44	0.6875	1
WBGene00000907	GO:0009986	44	0.6875	0
WBGene00000907	GO:0071321	44	0.6875	1
WBGene00000907	GO:0042048	44	0.6875	0
WBGene00000907	GO:0005223	44	0.6875	0
WBGene00000907	GO:0016887	44	0.6875	0
WBGene00000907	GO:0007399	44	0.6875	1
WBGene00000907	GO:0030628	44	0.6875	0
WBGene00000907	GO:0050829	44	0.6875	0
WBGene00000907	GO:0007199	44	0.6875	0
WBGene00000907	GO:0005634	44	0.6875	0
WBGene00000907	GO:0042254	44	0.6875	0
WBGene00000907	GO:0003723	44	0.6875	0
WBGene00000907	GO:0000243	44	0.6875	0
WBGene00006786	GO:0006412	43	0.671875	0
WBGene00000289	GO:0042407	43	0.671875	0
WBGene00000289	GO:0016604	43	0.671875	0
WBGene00006786	GO:0000922	43	0.671875	0
WBGene00006786	GO:0030866	43	0.671875	0
WBGene00000289	GO:0000242	43	0.671875	0
WBGene00006786	GO:0042713	43	0.671875	0
WBGene00000289	GO:0030150	43	0.671875	0
WBGene00000289	GO:0009612	43	0.671875	0
WBGene00000289	GO:0005109	43	0.671875	1
WBGene00006786	GO:0040018	43	0.671875	0
WBGene00006786	GO:0047555	43	0.671875	0
WBGene00000289	GO:0018991	43	0.671875	0
WBGene00000289	GO:0003700	43	0.671875	0
WBGene00000289	GO:0000226	43	0.671875	0
WBGene00000289	GO:0012505	43	0.671875	0
WBGene00006786	GO:0000243	43	0.671875	0
WBGene00006786	GO:0005886	43	0.671875	0
WBGene00006786	GO:0003723	43	0.671875	0
WBGene00000289	GO:0032093	43	0.671875	0
WBGene00006786	GO:0006355	43	0.671875	0
WBGene00000289	GO:0000082	43	0.671875	0
WBGene00000289	GO:0035556	43	0.671875	0
WBGene00000289	GO:0015934	43	0.671875	0
WBGene00000289	GO:0034504	43	0.671875	0
WBGene00006786	GO:0048680	43	0.671875	0
WBGene00006786	GO:0042254	43	0.671875	0
WBGene00006786	GO:0042802	43	0.671875	0
WBGene00006786	GO:0006936	43	0.671875	0
WBGene00000289	GO:0006606	43	0.671875	0
WBGene00000289	GO:0019899	43	0.671875	0
WBGene00000289	GO:0000922	43	0.671875	0
WBGene00006786	GO:0008340	43	0.671875	1
WBGene00006786	GO:0000407	43	0.671875	1
WBGene00000289	GO:0030234	43	0.671875	0
WBGene00006786	GO:0001715	43	0.671875	0
WBGene00006943	GO:1902554	43	0.671875	1
WBGene00000289	GO:0008340	43	0.671875	0
WBGene00000289	GO:0006898	43	0.671875	0
WBGene00006786	GO:0009792	43	0.671875	1
WBGene00006786	GO:0008380	43	0.671875	0
WBGene00006786	GO:0009986	43	0.671875	0
WBGene00000289	GO:0032007	43	0.671875	0
WBGene00000289	GO:0008340	43	0.671875	0
WBGene00006786	GO:0017158	43	0.671875	0
WBGene00006786	GO:0006357	43	0.671875	0
WBGene00000289	GO:0070986	43	0.671875	0
WBGene00006786	GO:0032508	43	0.671875	0
WBGene00006786	GO:0050829	43	0.671875	0
WBGene00000289	GO:0006906	43	0.671875	0
WBGene00006786	GO:0044843	43	0.671875	0
WBGene00006786	GO:0005681	43	0.671875	0
WBGene00000289	GO:0005789	43	0.671875	0
WBGene00000289	GO:0046872	43	0.671875	1
WBGene00000289	GO:0006470	43	0.671875	0
WBGene00000289	GO:0004070	43	0.671875	0
WBGene00006786	GO:0016191	43	0.671875	0
WBGene00006786	GO:0005886	43	0.671875	0
WBGene00006786	GO:0031045	43	0.671875	0
WBGene00000289	GO:0048471	43	0.671875	0
WBGene00006786	GO:0048471	43	0.671875	0
WBGene00000289	GO:0008289	43	0.671875	0
WBGene00006786	GO:0005840	43	0.671875	0
WBGene00000289	GO:0016887	43	0.671875	0
WBGene00006786	GO:0032436	43	0.671875	0
WBGene00006786	GO:0008380	43	0.671875	0
WBGene00000289	GO:1900035	43	0.671875	0
WBGene00006786	GO:0006890	43	0.671875	0
WBGene00006786	GO:0019894	43	0.671875	0
WBGene00000289	GO:0003735	43	0.671875	0
WBGene00000289	GO:0045899	43	0.671875	0
WBGene00000289	GO:0004722	43	0.671875	0
WBGene00004769	GO:0008340	41	0.640625	0
WBGene00004457	GO:0009792	41	0.640625	0
WBGene00004769	GO:0004721	41	0.640625	0
WBGene00004769	GO:0008289	41	0.640625	0
WBGene00004457	GO:0047555	41	0.640625	0
WBGene00001172	GO:0007399	41	0.640625	0
WBGene00004457	GO:0032508	41	0.640625	0
WBGene00004769	GO:0004722	41	0.640625	0
WBGene00001172	GO:0042713	41	0.640625	0
WBGene00004457	GO:0003682	41	0.640625	0
WBGene00004769	GO:0042407	41	0.640625	0
WBGene00004457	GO:0000082	41	0.640625	0
WBGene00004769	GO:0012505	41	0.640625	0
WBGene00004769	GO:0000242	41	0.640625	0
WBGene00004769	GO:0016604	41	0.640625	0
WBGene00004457	GO:0019899	41	0.640625	0
WBGene00004769	GO:0003700	41	0.640625	0
WBGene00004769	GO:0016887	41	0.640625	0
WBGene00001172	GO:0046872	41	0.640625	0
WBGene00001172	GO:0045259	41	0.640625	0
WBGene00004769	GO:0006898	41	0.640625	0
WBGene00001172	GO:0016191	41	0.640625	0
WBGene00001172	GO:0006412	41	0.640625	0
WBGene00004457	GO:0022625	41	0.640625	0
WBGene00004769	GO:0005789	41	0.640625	1
WBGene00004457	GO:0000407	41	0.640625	0
WBGene00001172	GO:0005515	41	0.640625	0
WBGene00001172	GO:0006355	41	0.640625	0
WBGene00004769	GO:0019899	41	0.640625	0
