protein	go_term	protein_neighbor	go_neighbor	go_annotated_protein_neighbors	score	norm_score	true_label
BSU_36860	GO:0015252	9	9	8	1.0	1.0	1
BSU_01190	GO:1901566	70	438	57	1.0	1.0	1
BSU_15340	GO:0006810	33	412	33	1.0	1.0	1
BSU_08330	GO:0098797	35	37	31	1.0	1.0	0
BSU_01350	GO:0015934	66	26	25	1.0	1.0	1
BSU_01400	GO:0008152	65	1247	59	1.0	1.0	1
BSU_30750	GO:0098797	34	37	30	1.0	1.0	1
BSU_15990	GO:0005840	58	62	50	1.0	1.0	1
BSU_35710	GO:0098797	34	37	31	1.0	1.0	0
BSU_01350	GO:0044237	66	816	58	1.0	1.0	1
BSU_16360	GO:0030030	11	31	10	1.0	1.0	1
BSU_15990	GO:0044238	58	976	52	1.0	1.0	1
BSU_28020	GO:0022603	22	49	12	1.0	1.0	1
BSU_08330	GO:0098533	35	31	31	1.0	1.0	0
BSU_25410	GO:0008152	48	1247	47	1.0	1.0	1
BSU_35710	GO:0098533	34	31	31	1.0	1.0	0
BSU_01330	GO:0044391	62	48	43	1.0	1.0	1
BSU_36880	GO:0022803	9	19	9	1.0	1.0	0
BSU_12960	GO:0006810	37	412	37	1.0	1.0	1
BSU_01160	GO:0003735	70	58	54	1.0	1.0	1
BSU_08330	GO:0051234	35	415	33	1.0	1.0	1
BSU_36830	GO:0009145	12	11	8	1.0	1.0	1
BSU_30740	GO:0098533	34	31	30	1.0	1.0	1
BSU_27940	GO:1901566	71	438	58	1.0	1.0	1
BSU_14910	GO:0009055	13	29	10	1.0	1.0	1
BSU_35710	GO:0098797	34	37	31	1.0	1.0	0
BSU_25550	GO:0019843	56	45	34	1.0	1.0	1
BSU_01410	GO:0003723	58	121	38	1.0	1.0	1
BSU_34080	GO:0098797	34	37	30	1.0	1.0	1
BSU_01210	GO:0044237	67	816	59	1.0	1.0	1
BSU_15990	GO:0006412	58	98	50	1.0	1.0	1
BSU_30700	GO:0043229	38	82	35	1.0	1.0	1
BSU_00590	GO:0032991	29	238	29	1.0	1.0	0
BSU_27940	GO:0005198	71	63	54	1.0	1.0	1
BSU_15990	GO:0008152	58	1247	53	0.9999999999999999	0.9999999999999999	1
BSU_29350	GO:0005886	36	841	33	0.9999999999999998	0.9999999999999998	1
BSU_13000	GO:0008104	8	50	8	0.9999999999999978	0.9999999999999978	0
BSU_30750	GO:0005886	34	841	31	0.9999999999999977	0.9999999999999977	1
BSU_03000	GO:0140657	34	112	16	0.9999999999999973	0.9999999999999973	0
BSU_00210	GO:0034654	16	155	13	0.9999999999999972	0.9999999999999972	0
BSU_00630	GO:0019538	16	215	14	0.9999999999999968	0.9999999999999968	0
BSU_05820	GO:0098704	7	32	7	0.9999999999999958	0.9999999999999958	1
BSU_27450	GO:0140657	35	112	16	0.9999999999999953	0.9999999999999953	0
BSU_27460	GO:0140657	35	112	16	0.9999999999999953	0.9999999999999953	0
BSU_23970	GO:0140657	35	112	16	0.9999999999999953	0.9999999999999953	0
BSU_16380	GO:0048870	7	33	7	0.9999999999999946	0.9999999999999946	1
BSU_03370	GO:0140657	36	112	16	0.9999999999999918	0.9999999999999918	0
BSU_29360	GO:0140657	36	112	16	0.9999999999999918	0.9999999999999918	0
BSU_29350	GO:0140657	36	112	16	0.9999999999999918	0.9999999999999918	0
BSU_36860	GO:0006812	9	104	9	0.9999999999999708	0.9999999999999708	1
BSU_01020	GO:0009987	61	1541	57	0.9999999999999644	0.9999999999999644	1
BSU_30750	GO:0140657	34	112	15	0.999999999999931	0.999999999999931	0
BSU_30740	GO:0140657	34	112	15	0.999999999999931	0.999999999999931	0
BSU_02870	GO:0016020	35	913	31	0.9999999999998223	0.9999999999998223	1
BSU_17210	GO:0071770	4	5	4	0.9999999999997592	0.9999999999997592	1
