protein	go_term	walk	norm_score	true_label
Q7T2C4	GO:0072348	0.24369680881500244	1.0	1
Q7ZU91	GO:0070266	0.23660621047019958	0.9709039720316804	1
Q04475	GO:0003823	0.23311081528663635	0.95656073736012	1
A3KPQ7	GO:0030214	0.23013974726200104	0.9443690612649804	1
Q7ZV22	GO:0004731	0.22893573343753815	0.9394284316865905	1
Q6NV04	GO:0003984	0.22857780754566193	0.9379596950223217	1
A1A5X5	GO:1900076	0.22733831405639648	0.932873475852024	1
Q5BJI6	GO:0030677	0.22644062340259552	0.9291898329350569	1
Q5XJ36	GO:0106045	0.22532102465629578	0.9245955977448053	1
Q6DRJ7	GO:0031134	0.22527356445789337	0.9244008464427363	1
Q5U3G1	GO:0001867	0.2250596582889557	0.9235230897892983	1
O93430	GO:0071361	0.22414931654930115	0.9197875335739147	1
A4IG62	GO:0045025	0.22124169766902924	0.9078562188741314	1
Q2EI20	GO:0014043	0.21925269067287445	0.8996943966448803	1
Q9MIX8	GO:0008121	0.21833069622516632	0.8959110239402602	1
O73864	GO:0062009	0.21814633905887604	0.8951545206092721	1
F1QCP6	GO:0035965	0.21747267246246338	0.8923901527551951	1
Q7ZU90	GO:0160002	0.2148619145154953	0.8816769967492321	1
A0A1D5NSM8	GO:0045916	0.1255197376012802	0.5150644272822428	1
Q1L8X9	GO:0051938	0.12179131805896759	0.49976498511876577	1
Q7SY53	GO:0006569	0.12020264565944672	0.49324592222432934	1
O42363	GO:0070325	0.11946647614240646	0.49022507577165625	1
Q6PFJ7	GO:0006685	0.11679917573928833	0.4792798997293665	1
Q7SZP9	GO:1904323	0.11492069065570831	0.47157160039099316	1
A2BFP5	GO:0015377	0.11425243318080902	0.4688294286821754	1
Q90477	GO:0048743	0.11358043551445007	0.4660719092255337	1
F1QBY1	GO:0061780	0.11287941038608551	0.4631952765706407	1
Q6TV19	GO:0098795	0.11252763122320175	0.461751762798712	1
Q6IVV8	GO:0072019	0.11234702914953232	0.4610106683619535	1
Q5PQY6	GO:0007031	0.1123119443655014	0.46086669914979606	1
Q5PQY6	GO:0072662	0.1123119369149208	0.46086666857659325	1
A0A2R8QF68	GO:1990806	0.11221993714570999	0.46048915066796725	1
Q0P436	GO:1901401	0.1121436133980751	0.4601759587781094	1
Q5RIX9	GO:0060718	0.11152691394090652	0.45764535363292075	1
P53405	GO:0003322	0.11118504405021667	0.4562425022207647	1
A3KQ55	GO:1904871	0.11053703725337982	0.4535834284772567	1
A8DZE6	GO:0006942	0.10995021462440491	0.4511754218754427	1
Q9DGD9	GO:1900227	0.10872089117765427	0.4461309351270169	1
Q6TEP1	GO:0099041	0.10777468979358673	0.44224823008638087	1
P26632	GO:0044729	0.1072879433631897	0.44025088274506763	1
O73791	GO:0051897	0.10712248086929321	0.4395719130564731	1
Q90460	GO:0010770	0.10705836862325668	0.4393088306460644	1
O42222	GO:0048634	0.08170054852962494	0.33525388256108174	1
Q6DBR6	GO:1904427	0.08000651746988297	0.32830248400533335	1
A2CEQ0	GO:0005346	0.07911203056573868	0.324631987565586	1
Q502K2	GO:0009394	0.07811622321605682	0.320545726140464	1
Q9I8N6	GO:0031641	0.07637529820203781	0.31340189984606226	1
Q90477	GO:1901863	0.07622069865465164	0.31276750588720337	1
Q5XJQ7	GO:0035850	0.07566996663808823	0.3105075958799297	1
A1A5H6	GO:0060211	0.075238436460495	0.30873682654483836	1
