protein	go_term	degree	norm_score	true_label
Q1L8X9	GO:0032991	158	0.6610878661087866	1
Q1L8X9	GO:0051938	158	0.6610878661087866	1
P57094	GO:1901800	157	0.6569037656903766	1
Q9I9E1	GO:0003690	155	0.6485355648535565	1
Q9I9E1	GO:0001704	155	0.6485355648535565	1
Q1L8J7	GO:0032993	153	0.6401673640167364	1
Q90XF2	GO:0035050	153	0.6401673640167364	1
A8DZE6	GO:0009892	153	0.6401673640167364	1
Q90XF2	GO:0009888	153	0.6401673640167364	1
A8DZE6	GO:0006942	153	0.6401673640167364	1
Q6TV19	GO:0048864	152	0.6359832635983264	1
Q6TV19	GO:0043933	152	0.6359832635983264	1
Q6TV19	GO:0098795	152	0.6359832635983264	1
A0A0R4IXF6	GO:0005856	151	0.6317991631799164	1
A0A0R4IXF6	GO:0065008	151	0.6317991631799164	1
Q8QFX6	GO:0110165	151	0.6317991631799164	1
Q9DDT5	GO:0002682	150	0.6276150627615062	1
A4IG62	GO:0004386	150	0.6276150627615062	1
A4IG62	GO:0048518	150	0.6276150627615062	1
A4IG62	GO:0045025	150	0.6276150627615062	1
Q6PBT8	GO:0051252	149	0.6234309623430963	1
A0A0G2KQY6	GO:0098590	148	0.6192468619246861	1
P46530	GO:0006996	147	0.6150627615062761	1
Q7SXE8	GO:0000166	146	0.6108786610878661	1
B5DE31	GO:0051234	146	0.6108786610878661	1
Q5RHR0	GO:0031324	145	0.606694560669456	1
Q8UVJ6	GO:0071840	144	0.602510460251046	1
Q6PGV1	GO:0048598	144	0.602510460251046	1
A1L1N5	GO:0048566	143	0.5983263598326359	1
A1L1N5	GO:0070727	143	0.5983263598326359	1
Q08BI9	GO:0051259	143	0.5983263598326359	1
Q7T308	GO:0050789	143	0.5983263598326359	1
A1L1N5	GO:2001141	143	0.5983263598326359	1
Q2EI20	GO:0003674	143	0.5983263598326359	1
Q2EI20	GO:0014043	143	0.5983263598326359	1
A1L1N5	GO:0021571	143	0.5983263598326359	1
A1L1N5	GO:0031323	143	0.5983263598326359	1
B0R0I6	GO:0008094	142	0.5941422594142259	1
Q5RIX9	GO:0060718	142	0.5941422594142259	1
F1RD85	GO:0043170	141	0.5899581589958159	1
Q9DE25	GO:0060255	140	0.5857740585774058	1
Q9DE25	GO:0009888	140	0.5857740585774058	1
Q9DE25	GO:0048856	140	0.5857740585774058	1
O13148	GO:0005003	138	0.5774058577405857	1
O13148	GO:0004672	138	0.5774058577405857	1
Q7ZWA3	GO:0010605	138	0.5774058577405857	1
Q5U3H2	GO:0005694	137	0.5732217573221757	1
Q5U3H2	GO:0006325	137	0.5732217573221757	1
Q1JPZ3	GO:0006952	136	0.5690376569037657	1
Q6DRC0	GO:0032555	136	0.5690376569037657	1
Q07998	GO:0035282	134	0.5606694560669456	1
Q92050	GO:0042592	134	0.5606694560669456	1
Q92050	GO:0005575	134	0.5606694560669456	1
Q6NW59	GO:0140467	132	0.5523012552301255	1
O73797	GO:0120035	132	0.5523012552301255	1
O42606	GO:0106030	131	0.5481171548117155	1
Q5PQZ7	GO:0090504	130	0.5439330543933054	1
F1QQC3	GO:0048523	130	0.5439330543933054	1
F1QQC3	GO:0005783	130	0.5439330543933054	1
F1QQC3	GO:0006325	130	0.5439330543933054	1
A1L1V4	GO:0043228	130	0.5439330543933054	1
Q5PQZ7	GO:0009987	130	0.5439330543933054	1
F1QQC3	GO:0009889	130	0.5439330543933054	1
A1A5H6	GO:0048523	129	0.5397489539748954	1
A2CEI6	GO:0045814	129	0.5397489539748954	1
A2CEI6	GO:0141007	129	0.5397489539748954	1
A1A5H6	GO:0060211	129	0.5397489539748954	1
Q5MD89	GO:1902547	128	0.5355648535564853	1
P51028	GO:0030903	128	0.5355648535564853	1
Q5MD89	GO:0030947	128	0.5355648535564853	1
P51028	GO:0048263	128	0.5355648535564853	1
Q6PUR7	GO:0060589	127	0.5313807531380753	1
Q6PUR7	GO:0031323	127	0.5313807531380753	1
Q5BJI7	GO:1901796	126	0.5271966527196653	1
Q5BJI7	GO:0033333	126	0.5271966527196653	1
P0CH95	GO:0046872	125	0.5230125523012552	1
P0CH95	GO:0003682	125	0.5230125523012552	1
O13147	GO:0038023	125	0.5230125523012552	1
P0CH95	GO:0048856	125	0.5230125523012552	1
F1QBY1	GO:0003143	124	0.5188284518828452	1
F1QBY1	GO:0000725	124	0.5188284518828452	1
F1QBY1	GO:0061780	124	0.5188284518828452	1
F1QBY1	GO:0002009	124	0.5188284518828452	1
O57521	GO:0016817	123	0.5146443514644351	1
Q08BS4	GO:0051254	122	0.5104602510460251	1
Q08BS4	GO:0016279	122	0.5104602510460251	1
Q08BS4	GO:0060284	122	0.5104602510460251	1
O93430	GO:0071361	121	0.5062761506276151	1
Q98867	GO:0001067	121	0.5062761506276151	1
Q98880	GO:0030594	121	0.5062761506276151	1
Q98867	GO:0038023	121	0.5062761506276151	1
Q7ZVA6	GO:1990904	121	0.5062761506276151	1
Q7ZVA6	GO:0065007	121	0.5062761506276151	1
Q7ZVA6	GO:0032553	121	0.5062761506276151	1
F1R4C4	GO:0060338	120	0.502092050209205	1
P0DMC2	GO:1903522	120	0.502092050209205	1
F1R4C4	GO:0002682	120	0.502092050209205	1
F1RCY6	GO:0140640	118	0.49372384937238495	1
Q9W6T7	GO:0055082	118	0.49372384937238495	1
Q9W6S8	GO:0009893	117	0.4895397489539749	1
Q90474	GO:0097708	117	0.4895397489539749	1
Q504J1	GO:0005575	117	0.4895397489539749	1
Q504J1	GO:0019538	117	0.4895397489539749	1
Q504J1	GO:0006508	117	0.4895397489539749	1
Q8AXX2	GO:0003676	117	0.4895397489539749	1
Q504J1	GO:0010604	117	0.4895397489539749	1
Q8JFR5	GO:0009966	116	0.48535564853556484	1
Q5I2W8	GO:0032991	116	0.48535564853556484	1
Q5I2W8	GO:0033036	116	0.48535564853556484	1
Q6DG36	GO:0022853	115	0.4811715481171548	1
Q6DC04	GO:0010830	115	0.4811715481171548	1
Q7SXN4	GO:0003729	114	0.4769874476987448	1
Q5M9P8	GO:0009799	114	0.4769874476987448	1
Q7SXN4	GO:0098794	114	0.4769874476987448	1
Q7T2E3	GO:0043226	114	0.4769874476987448	1
F1QWA8	GO:0043207	114	0.4769874476987448	1
Q5M9P8	GO:0044782	114	0.4769874476987448	1
Q7SXN4	GO:0003730	114	0.4769874476987448	1
Q4V908	GO:0017076	113	0.47280334728033474	1
Q90477	GO:0048743	113	0.47280334728033474	1
Q90477	GO:1901863	113	0.47280334728033474	1
Q90ZE2	GO:0007420	113	0.47280334728033474	1
E7F9L8	GO:0051656	113	0.47280334728033474	1
Q6DC64	GO:0043488	113	0.47280334728033474	1
Q90ZE2	GO:0016363	113	0.47280334728033474	1
F1QZ88	GO:0031326	112	0.4686192468619247	1
F1QZ88	GO:0005575	112	0.4686192468619247	1
F1QN54	GO:1901265	112	0.4686192468619247	1
F1QN54	GO:0120025	112	0.4686192468619247	1
F1QZ88	GO:0080090	112	0.4686192468619247	1
B8A4F4	GO:0050794	112	0.4686192468619247	1
P53405	GO:0048675	111	0.46443514644351463	1
P53405	GO:0006355	111	0.46443514644351463	1
Q5RGL7	GO:0045892	111	0.46443514644351463	1
P53405	GO:0007409	111	0.46443514644351463	1
Q5XJQ7	GO:0035850	111	0.46443514644351463	1
Q6NVC5	GO:0097367	111	0.46443514644351463	1
E7F4V8	GO:0036094	111	0.46443514644351463	1
P79735	GO:0071705	111	0.46443514644351463	1
P53405	GO:0003322	111	0.46443514644351463	1
Q5GIT4	GO:0030334	110	0.4602510460251046	1
E7FAM5	GO:0019941	110	0.4602510460251046	1
Q5TZ51	GO:0055085	110	0.4602510460251046	1
Q5GIT4	GO:0005768	110	0.4602510460251046	1
Q5TZ51	GO:0019216	110	0.4602510460251046	1
Q6DHM9	GO:1901363	109	0.4560669456066946	1
Q8JG38	GO:0006796	109	0.4560669456066946	1
Q6PH52	GO:0040020	108	0.45188284518828453	1
Q6PH52	GO:0016787	108	0.45188284518828453	1
Q08BA6	GO:0061014	108	0.45188284518828453	1
Q08BA6	GO:0042382	108	0.45188284518828453	1
O42248	GO:0008152	108	0.45188284518828453	1
O42248	GO:0043229	108	0.45188284518828453	1
Q08BA6	GO:0006405	108	0.45188284518828453	1
O42248	GO:0005575	108	0.45188284518828453	1
E7F6F7	GO:0005575	108	0.45188284518828453	1
Q6IWL4	GO:0061659	107	0.4476987447698745	1
A8HAL1	GO:0140993	107	0.4476987447698745	1
B0S6T2	GO:0098655	107	0.4476987447698745	1
Q6EIG3	GO:0048598	107	0.4476987447698745	1
B0S6T2	GO:0034220	107	0.4476987447698745	1
Q0V967	GO:0043167	106	0.4435146443514644	1
Q7T394	GO:0051294	106	0.4435146443514644	1
Q1L673	GO:2001141	105	0.4393305439330544	1
Q5U3A7	GO:0009987	105	0.4393305439330544	1
Q2I6J1	GO:0003779	105	0.4393305439330544	1
Q5U3A7	GO:0032502	105	0.4393305439330544	1
O73791	GO:0051897	105	0.4393305439330544	1
O73791	GO:0005737	105	0.4393305439330544	1
Q9YHE8	GO:0140513	104	0.4351464435146444	1
F5HSE3	GO:0035138	104	0.4351464435146444	1
Q6DH42	GO:0051254	104	0.4351464435146444	1
Q9YHE8	GO:0048519	104	0.4351464435146444	1
Q1LVK9	GO:0061136	104	0.4351464435146444	1
Q7ZVV1	GO:0048869	104	0.4351464435146444	1
Q1LYM3	GO:0080135	104	0.4351464435146444	1
P0C928	GO:0033044	103	0.4309623430962343	1
Q5M7X9	GO:0040008	103	0.4309623430962343	1
Q90419	GO:0016540	103	0.4309623430962343	1
Q08BM8	GO:0010629	103	0.4309623430962343	1
Q9DE49	GO:0016310	102	0.42677824267782427	1
Q7ZUH1	GO:0043232	102	0.42677824267782427	1
Q7ZUH1	GO:0019222	102	0.42677824267782427	1
Q9W5Z2	GO:0005634	101	0.4225941422594142	1
Q9W5Z2	GO:0043010	101	0.4225941422594142	1
Q6PFM0	GO:0051260	100	0.41841004184100417	1
Q5XJQ5	GO:0005654	100	0.41841004184100417	1
Q6PFM0	GO:0065003	100	0.41841004184100417	1
B3DJT0	GO:0048871	99	0.41422594142259417	1
B3DJT0	GO:0048856	99	0.41422594142259417	1
O42202	GO:0010648	99	0.41422594142259417	1
B3DHS1	GO:0050728	98	0.4100418410041841	1
Q6TEL1	GO:0009889	98	0.4100418410041841	1
O93507	GO:0030099	98	0.4100418410041841	1
Q6NZW8	GO:1901265	98	0.4100418410041841	1
A2T929	GO:0009891	98	0.4100418410041841	1
E7EZG2	GO:0140657	98	0.4100418410041841	1
Q58EC8	GO:0000209	98	0.4100418410041841	1
Q8JHF4	GO:0097367	97	0.40585774058577406	1
Q9DG12	GO:0043231	97	0.40585774058577406	1
A5PN43	GO:0031410	97	0.40585774058577406	1
Q49GP3	GO:0016301	97	0.40585774058577406	1
Q9DG12	GO:0005634	97	0.40585774058577406	1
A3KNA7	GO:0010557	97	0.40585774058577406	1
A5PN43	GO:0016050	97	0.40585774058577406	1
Q6NYW6	GO:0032587	97	0.40585774058577406	1
Q7SYN5	GO:0110165	97	0.40585774058577406	1
A3KNA7	GO:0048583	97	0.40585774058577406	1
Q6NYW6	GO:0031256	97	0.40585774058577406	1
Q6TGU2	GO:0050789	97	0.40585774058577406	1
