protein	go_term	walk	norm_score	true_label
P32459	GO:0004848	0.2207440882921219	1.0	1
P07702	GO:0031177	0.21629561483860016	0.979847825199129	1
P20053	GO:0000393	0.21397869288921356	0.969351861446204	1
P53954	GO:0004377	0.21376527845859528	0.9683850657676902	1
P53725	GO:0071030	0.21330809593200684	0.9663139682804343	1
Q04728	GO:0103045	0.1095791831612587	0.4964082345718223	1
Q02890	GO:0120125	0.10762790590524673	0.4875686897798923	1
P31382	GO:0097582	0.10724861174821854	0.4858504369380483	1
P34232	GO:0042272	0.10666671395301819	0.4832143627414416	1
P47058	GO:0004000	0.07624330371618271	0.3453922789329065	1
P19145	GO:0015192	0.07486977428197861	0.3391700084076527	1
P53615	GO:0015976	0.07258465141057968	0.3288180986959194	1
P32435	GO:0048018	0.05883091315627098	0.2665118400743627	1
Q12189	GO:0009052	0.0554051510989666	0.2509926835533015	1
P40035	GO:0035435	0.054752934724092484	0.2480380568635439	1
P35691	GO:0031114	0.05416462570428848	0.24537293896908205	1
P0CE11	GO:0005338	0.04578075185418129	0.20739287837052872	1
Q06580	GO:0032038	0.04488620162010193	0.20334044715481456	1
P47818	GO:0015093	0.044791050255298615	0.2029093988511454	1
P39717	GO:0046580	0.044331181794404984	0.20082613372521793	1
P19073	GO:0051047	0.0437714084982872	0.19829028644410296	1
P09932	GO:0007534	0.04311847686767578	0.19533241955098207	1
Q12458	GO:0004032	0.03890325501561165	0.1762369054437779	1
P50077	GO:0005244	0.03855801746249199	0.174672933534991	1
P29539	GO:0016233	0.03723379597067833	0.16867403452909213	1
P20606	GO:0070861	0.03682107478380203	0.1668043528081931	1
P16892	GO:0046824	0.036450132727622986	0.16512393609103893	1
Q99394	GO:1990070	0.03643970564007759	0.16507670000138383	1
P35817	GO:0001094	0.036164283752441406	0.16382900231775796	1
P53939	GO:0032183	0.035977307707071304	0.16298197603127065	1
P53295	GO:1903833	0.03566942736506462	0.16158723724397753	1
P40474	GO:0015562	0.03281964361667633	0.1486773388614803	1
P43577	GO:0006047	0.03197600692510605	0.14485555274662926	1
P39933	GO:0080084	0.031701501458883286	0.14361200657356257	1
P32629	GO:0000136	0.03158126026391983	0.14306729801129142	1
P47040	GO:1903826	0.03150578960776329	0.14272540592828958	1
P38427	GO:0046351	0.028943432494997978	0.13111758833013756	1
Q99271	GO:0015081	0.02831251733005047	0.12825945894679214	1
P26309	GO:0045842	0.028293071314692497	0.1281713659178534	1
P52286	GO:0051597	0.02781291864812374	0.1259962106496709	1
P10870	GO:0010255	0.027561217546463013	0.12485597127289702	1
P39940	GO:0034517	0.027435846626758575	0.12428802437712996	1
Q01477	GO:0034517	0.027232950553297997	0.12336887825172127	1
P32914	GO:0006370	0.027132408693432808	0.12291341029041335	1
Q12675	GO:0015917	0.026254866272211075	0.1189380267229022	1
Q03649	GO:0047372	0.02544664777815342	0.11527668974073986	1
P47164	GO:0019346	0.024955004453659058	0.11304948026800532	1
P06103	GO:0001732	0.024656303226947784	0.11169632409054073	1
P46964	GO:0008250	0.02393648773431778	0.10843546443083633	1
Q06349	GO:0070966	0.023826157674193382	0.10793565462402334	1
P32356	GO:0071462	0.023602088913321495	0.10692059341624428	1
P38840	GO:0170044	0.022794710472226143	0.10326306198542785	1
P32458	GO:0010314	0.022151244804263115	0.10034807715869268	1
Q05024	GO:0000120	0.021892057731747627	0.09917392534098922	1
P25491	GO:0051131	0.021491656079888344	0.09736005274781058	1
P53538	GO:0009302	0.021465333178639412	0.09724080651361881	1
P0CT04	GO:0061134	0.020698994398117065	0.09376919018879923	1
P47771	GO:0170043	0.0206221304833889	0.09342098645966268	1
Q05676	GO:0006465	0.020208340138196945	0.09154646130977795	1
Q12142	GO:0140303	0.01999778114259243	0.09059260113062846	1
P33299	GO:0045899	0.019920457154512405	0.09024231320818273	1
P20967	GO:0050997	0.019801555201411247	0.08970367158918811	1
P38126	GO:0051598	0.019669722765684128	0.089106453168767	1
P38881	GO:0005640	0.019637752324342728	0.0889616228288528	1
Q03656	GO:0032988	0.019621893763542175	0.08888978144490793	1
P00330	GO:0006067	0.01926325261592865	0.08726508947517819	1
P39076	GO:0101031	0.017099643126130104	0.07746365149992726	1
P32598	GO:0008360	0.017096752300858498	0.07745055567800074	1
P32492	GO:0048309	0.01683352142572403	0.07625808489805341	1
Q12375	GO:0005740	0.016691260039806366	0.07561362194994764	1
Q07895	GO:0005615	0.01641530729830265	0.07436351942788809	1
Q04533	GO:0009092	0.016287438571453094	0.0737842571344384	1
P03962	GO:0009220	0.015838440507650375	0.07175023634920887	1
P32468	GO:0005621	0.015619573183357716	0.070758738339065	1
Q12530	GO:0042134	0.015381017699837685	0.06967805035613547	1
P30656	GO:0005839	0.015129676088690758	0.06853943951907282	1
Q12446	GO:0032231	0.014781879261136055	0.06696387375762672	1
P32829	GO:0019205	0.01477904338389635	0.06695102685757315	1
P12695	GO:0034030	0.014505133964121342	0.06571018085397584	1
P40989	GO:0070592	0.014429306611418724	0.06536667288830715	1
P39924	GO:0015755	0.013990911655128002	0.06338068558652912	1
P40509	GO:0030663	0.013924201019108295	0.06307847755669765	1
P36094	GO:0030474	0.013891803100705147	0.06293171068899212	1
P33420	GO:0000132	0.013637963682413101	0.06178178445424681	1
P25656	GO:0034204	0.013543343171477318	0.061353140989011325	1
P38968	GO:0033157	0.013348845764994621	0.060472041939032196	1
P38077	GO:0046933	0.013187763281166553	0.05974231692091575	1
P07560	GO:0035592	0.01299981214106083	0.05889087332593712	1
P53631	GO:0051119	0.012949945405125618	0.05866497039770459	1
P39004	GO:0015145	0.012887963093817234	0.05838418230599198	1
P20436	GO:0006362	0.012870564125478268	0.05830536267157468	1
Q3E824	GO:0005753	0.012734564021229744	0.05768926415994184	1
P52891	GO:0000973	0.01229173969477415	0.05568321122379443	1
P32325	GO:0010972	0.01217969786375761	0.05517564686778654	1
Q01919	GO:1905508	0.01203936617821455	0.0545399257183379	1
P40464	GO:0042887	0.011779923923313618	0.053364617890580356	1
P50947	GO:2000217	0.010621289722621441	0.0481158512773658	1
P16861	GO:0042625	0.010490262880921364	0.04752228230474315	1
Q07454	GO:0031400	0.010464342311024666	0.047404858684943214	1
Q12369	GO:0031023	0.010461398400366306	0.04739152237917332	1
P53917	GO:0031985	0.010439138859510422	0.04729068370653613	1
Q03898	GO:0072686	0.010422279126942158	0.04721430688168566	1
Q04338	GO:0030658	0.010144317522644997	0.04595510394471133	1
Q99394	GO:0016239	0.009868043474853039	0.0447035458625472	1
P14905	GO:0050661	0.009820115752518177	0.044486426923119764	1
P16862	GO:0009134	0.00968360248953104	0.043868003734334374	1
P32494	GO:0070461	0.009631525725126266	0.04363208908399113	1
P47025	GO:0010821	0.009492387995123863	0.043001776711510856	1
P36119	GO:0022626	0.009475651197135448	0.04292595679661345	1
P32473	GO:0042645	0.00940964836627245	0.04262695521802687	1
P31787	GO:0033218	0.009251011535525322	0.041908309332764494	1
P46676	GO:0045835	0.009243668988347054	0.041875046620113494	1
Q08646	GO:0019209	0.009220045991241932	0.04176803130981508	1
P13586	GO:0055074	0.009161001071333885	0.0415005499907688	1
Q05931	GO:0031072	0.009106861427426338	0.0412552902226526	1
P36115	GO:0000183	0.008950170129537582	0.040545457859298896	1
P53885	GO:0032005	0.008796141482889652	0.03984768765924671	1
P17121	GO:1903338	0.008206643164157867	0.037177182082890475	1
P48562	GO:0070201	0.008180481381714344	0.037058665738258396	1
Q03262	GO:0043094	0.00796273723244667	0.03607225585995841	1
P43581	GO:0015295	0.007797474507242441	0.03532359379393049	1
P12685	GO:0098857	0.007652650587260723	0.03466752222661375	1
P47116	GO:0008361	0.0075146472081542015	0.034042348614154894	1
P34160	GO:0031124	0.007411224767565727	0.03357383124008321	1
P50101	GO:0008234	0.007356380112469196	0.0333253776777665	1
P89105	GO:0006282	0.0073409248143434525	0.03325536312722827	1
P89886	GO:0000184	0.007187076844274998	0.0325584114160465	1
Q12466	GO:0098827	0.007174085825681686	0.03249956037865827	1
P36024	GO:0033875	0.007076916750520468	0.032059371579433754	1
Q92328	GO:0051646	0.006995135918259621	0.03168889356168216	1
P38953	GO:0051054	0.006980373058468103	0.0316220158486447	1
P36048	GO:0071013	0.006943190470337868	0.031453573792425145	1
P32472	GO:0061077	0.0068184672854840755	0.03088856122144866	1
P08964	GO:0030866	0.0067712487652897835	0.030674655061788316	1
Q05871	GO:0030258	0.006770607549697161	0.030671750270101328	1
P40457	GO:0050000	0.00661056162789464	0.029946721015452732	1
P36775	GO:0006515	0.006583679933100939	0.02982494337238341	1
P32179	GO:0006972	0.006572381593286991	0.029773760394386752	1
P33413	GO:0042886	0.006461752112954855	0.029272594174316866	1
Q03768	GO:0042325	0.0063980924896895885	0.028984207636956815	1
P06786	GO:0000018	0.006348349619656801	0.02875886583769214	1
P54862	GO:0015293	0.0063318898901343346	0.028684301079696516	1
P22276	GO:0000428	0.0063003115355968475	0.028541246945011388	1
P09950	GO:1902115	0.0062913913279771805	0.0285008372212961	1
P47102	GO:0006890	0.006039874628186226	0.027361433209451808	1
Q07651	GO:0030865	0.005907896906137466	0.026763556622722534	1
P32838	GO:0009895	0.005774607881903648	0.026159739663160608	1
P47818	GO:0006826	0.005740255117416382	0.026004117083398448	1
P53168	GO:0000278	0.005729765631258488	0.025956598319752045	1
Q12495	GO:0006334	0.005728458054363728	0.025950674822978578	1
P52917	GO:0045185	0.005696444306522608	0.025805648298876358	1
P06780	GO:0019901	0.005689184181392193	0.025772758969034793	1
Q03262	GO:0072523	0.005668191239237785	0.02567765815652005	1
P53540	GO:0032271	0.005546268075704575	0.025125330053527486	1
P53166	GO:0000027	0.005515924654901028	0.02498787033246174	1
P05739	GO:0000027	0.005417659413069487	0.024542715752822436	1
P25340	GO:0016125	0.00541177112609148	0.02451604103177526	1
Q06504	GO:0008080	0.005392502527683973	0.02442875172515515	1
P31383	GO:0033045	0.0053549353033304214	0.024258567215824884	1
P52286	GO:0007096	0.005300132557749748	0.024010303509173995	1
P08678	GO:0009967	0.005218926351517439	0.023642428623551485	1
P46962	GO:0006356	0.005160484462976456	0.023377679116585556	1
P34730	GO:0007264	0.00514341052621603	0.023300331918332026	1
Q12446	GO:0051020	0.005049985833466053	0.022877105668094495	1
P15732	GO:0000209	0.005031635984778404	0.02279397841957056	1
P16474	GO:0044183	0.005028835032135248	0.02278128973257184	1
Q12269	GO:0015074	0.004999387543648481	0.02264788870373977	1
P35728	GO:0000209	0.004996658768504858	0.022635526990387733	1
P53549	GO:0060260	0.004992000292986631	0.02261442347837856	1
P53390	GO:0022803	0.004929725546389818	0.022332310616020038	1
P32833	GO:0030466	0.004879973363131285	0.022106926626607404	1
P16861	GO:0009144	0.0048574721440672874	0.02200499311963067	1
Q03530	GO:0016485	0.0048439232632517815	0.021943614892379684	1
Q03937	GO:0000228	0.0048167286440730095	0.021820419660338933	1
P40316	GO:2000243	0.004785505589097738	0.021678975079798445	1
Q03289	GO:0006612	0.004785012919455767	0.021676743220971406	1
P21951	GO:0051536	0.004742610268294811	0.021484653586820744	1
P25374	GO:0051540	0.0047215307131409645	0.021389160405929978	1
P38319	GO:0004527	0.004646748770028353	0.021050388284369698	1
P02400	GO:0006414	0.004531852900981903	0.02052989475751972	1
Q03973	GO:0044804	0.00451568653807044	0.02045665898918481	1
P39542	GO:1903825	0.004493618384003639	0.020356687324088178	1
P06100	GO:0043487	0.00442334683611989	0.02003834789118452	1
P53744	GO:0009110	0.004402893129736185	0.019945689888236612	1
Q12202	GO:0070726	0.00439929123967886	0.019929372848513406	1
Q12366	GO:0140527	0.00439387746155262	0.019904847715504746	1
P16523	GO:0007131	0.004212404601275921	0.019082751587446507	1
P33322	GO:0016074	0.0041987597942352295	0.01902093880167154	1
