protein	go_term	protein_neighbor	go_neighbor	go_annotated_protein_neighbors	score	norm_score	true_label
Q12481	GO:0006364	72	207	54	1.0	1.0	1
P32529	GO:0006362	72	18	13	1.0	1.0	1
P36517	GO:0006412	123	270	43	1.0	1.0	1
P39938	GO:0000054	103	27	14	1.0	1.0	1
Q04322	GO:0005829	32	996	12	1.0	1.0	0
Q02554	GO:0005686	69	23	19	1.0	1.0	1
P47128	GO:0005829	49	996	10	1.0	1.0	0
P36018	GO:0015031	54	395	25	1.0	1.0	1
P38308	GO:0006338	8	138	2	1.0	1.0	0
Q12427	GO:0000432	63	1	1	1.0	1.0	1
P23724	GO:0043161	54	73	28	1.0	1.0	1
P46963	GO:0005829	37	996	21	1.0	1.0	0
P36531	GO:0005739	150	1188	104	1.0	1.0	1
P53295	GO:0005829	45	996	25	1.0	1.0	0
P48589	GO:0022627	695	61	41	1.0	1.0	1
P36124	GO:0005829	44	996	18	1.0	1.0	0
P36162	GO:0008017	52	38	12	1.0	1.0	1
Q03370	GO:0005783	82	671	40	1.0	1.0	1
P32835	GO:0006606	416	58	25	1.0	1.0	1
P08518	GO:0005665	185	13	12	1.0	1.0	1
P15938	GO:0006397	51	182	30	1.0	1.0	1
Q12019	GO:0005730	120	288	43	1.0	1.0	1
Q02208	GO:0005829	48	996	6	1.0	1.0	0
P47822	GO:0000122	52	144	19	1.0	1.0	1
P35996	GO:0005743	94	337	51	1.0	1.0	1
P42842	GO:0005829	49	996	24	1.0	1.0	0
Q12462	GO:0005829	41	996	12	1.0	1.0	0
P39990	GO:0030490	122	89	19	0.9999999999999999	1.0	1
P53615	GO:0005829	11	996	2	1.0	1.0	0
P21951	GO:0003697	103	59	17	1.0	1.0	1
Q02455	GO:0005515	138	2428	95	1.0	1.0	1
Q02326	GO:0022625	200	84	45	1.0	1.0	1
Q07979	GO:0006337	82	23	17	1.0	1.0	1
P32798	GO:0005773	28	220	16	1.0	1.0	1
Q12386	GO:0006355	74	225	23	1.0	1.0	1
Q12527	GO:0000407	82	40	13	0.9999999999999999	1.0	1
P25441	GO:0005634	65	2285	56	1.0	1.0	1
P32849	GO:0005829	29	996	6	1.0	1.0	0
P15646	GO:0003723	255	478	73	1.0	1.0	1
P22139	GO:0006367	99	41	16	1.0	1.0	1
P39705	GO:0051028	69	66	23	1.0	1.0	1
P29453	GO:0002181	203	137	61	1.0	1.0	1
P38805	GO:0006364	147	207	52	1.0	1.0	1
P40546	GO:0005634	81	2285	74	1.0	1.0	1
P53833	GO:0005655	26	10	9	1.0	1.0	1
Q12748	GO:0005694	42	157	27	1.0	1.0	1
P29468	GO:0005829	49	996	17	1.0	1.0	0
P40316	GO:0005829	42	996	18	1.0	1.0	0
P32523	GO:0008380	150	110	83	1.0	1.0	1
Q02354	GO:0005654	137	169	47	1.0	1.0	1
P38225	GO:0005811	28	64	21	1.0	1.0	1
Q12186	GO:0008380	86	110	23	1.0	1.0	1
P32799	GO:0005743	49	337	37	1.0	1.0	1
P53277	GO:0000974	52	11	10	1.0	1.0	1
Q12030	GO:0046695	75	19	18	1.0	1.0	1
P46948	GO:0000178	87	12	11	1.0	1.0	1
P53741	GO:0005829	384	996	159	1.0	1.0	1
P22224	GO:0006887	40	38	12	1.0	1.0	1
P40482	GO:0005515	129	2428	91	1.0	1.0	1
Q02554	GO:0000245	69	26	14	1.0	1.0	1
P38011	GO:0022627	595	61	41	1.0	1.0	1
P47141	GO:0005763	55	36	33	1.0	1.0	1
P40212	GO:0006412	168	270	43	1.0	1.0	1
P53218	GO:0001682	24	11	8	1.0	1.0	1
P36012	GO:0005694	405	157	46	1.0	1.0	1
P36531	GO:1990904	150	307	69	1.0	1.0	1
P46989	GO:0005794	95	264	37	1.0	1.0	1
Q03465	GO:0071243	5350	6	6	1.0	1.0	1
P40362	GO:0030686	119	80	51	1.0	1.0	1
P38882	GO:0005634	134	2285	111	1.0	1.0	1
Q12406	GO:0006325	95	155	29	1.0	1.0	1
P31539	GO:0005829	630	996	204	1.0	1.0	1
Q00539	GO:0008380	78	110	32	1.0	1.0	1
P32481	GO:0006412	133	270	45	1.0	1.0	1
P39013	GO:0005856	132	152	32	1.0	1.0	1
P38902	GO:0006367	70	41	17	1.0	1.0	1
P09798	GO:0031145	49	17	15	1.0	1.0	1
Q06179	GO:0005829	39	996	6	1.0	1.0	0
Q03640	GO:0005886	98	553	38	1.0	1.0	1
P33204	GO:0030479	37	59	16	1.0	1.0	1
P34232	GO:0006406	46	35	12	1.0	1.0	1
P46673	GO:0005635	64	108	33	1.0	1.0	1
Q12493	GO:0000776	29	71	16	1.0	1.0	1
P33895	GO:0005515	131	2428	97	1.0	1.0	1
P38110	GO:0000723	26	47	10	0.9999999999999999	1.0	1
P40040	GO:0005829	40	996	15	1.0	1.0	0
P41697	GO:0043332	67	121	21	1.0	1.0	1
P0C0W1	GO:0005840	623	239	100	1.0	1.0	1
P20435	GO:0042790	96	34	14	1.0	1.0	1
Q05359	GO:0005794	94	264	39	1.0	1.0	1
P07280	GO:0005829	611	996	187	1.0	1.0	1
P22202	GO:0005737	121	2583	85	0.9999999999999999	1.0	1
P43598	GO:0005829	18	996	5	1.0	1.0	0
P26321	GO:0005840	252	239	79	1.0	1.0	1
P25451	GO:0010499	67	17	14	1.0	1.0	1
P42847	GO:1990904	84	307	55	1.0	1.0	1
P25341	GO:0005829	41	996	7	1.0	1.0	0
P40091	GO:0005935	32	198	16	1.0	1.0	1
P10962	GO:0005634	101	2285	81	1.0	1.0	1
P56628	GO:0003735	83	220	40	1.0	1.0	1
Q06631	GO:0032040	128	86	56	1.0	1.0	1
P53849	GO:0003729	1147	214	88	1.0	1.0	1
Q12158	GO:0005634	732	2285	458	1.0	1.0	1
P40093	GO:0005737	81	2583	64	1.0	1.0	1
P20434	GO:0001172	134	12	11	1.0	1.0	1
P53724	GO:0005739	88	1188	58	1.0	1.0	1
Q12488	GO:0071162	31	11	10	1.0	1.0	1
Q06406	GO:0000398	93	101	24	1.0	1.0	1
Q12522	GO:0005634	174	2285	123	1.0	1.0	1
P22579	GO:0005634	110	2285	86	1.0	1.0	1
Q08004	GO:0000055	122	33	14	1.0	1.0	1
P39727	GO:0015031	75	395	27	0.9999999999999999	1.0	1
P32770	GO:0005829	37	996	14	1.0	1.0	0
P26783	GO:0030686	181	80	25	1.0	1.0	1
Q03654	GO:0000350	72	10	9	1.0	1.0	1
Q04651	GO:0005794	72	264	36	1.0	1.0	1
P22276	GO:0001056	339	17	16	1.0	1.0	1
P38132	GO:0005634	85	2285	65	1.0	1.0	1
P38810	GO:0005829	40	996	11	1.0	1.0	0
P53045	GO:0016020	90	1628	73	1.0	1.0	1
P53337	GO:0016020	96	1628	61	1.0	1.0	1
P20436	GO:0005654	111	169	27	1.0	1.0	1
P04039	GO:0005751	31	17	9	1.0	1.0	1
Q00416	GO:0005515	124	2428	92	1.0	1.0	1
P53538	GO:0006397	40	182	18	1.0	1.0	1
P20434	GO:0042790	134	34	18	1.0	1.0	1
P53729	GO:0006338	18	138	2	1.0	1.0	0
Q06506	GO:0032040	107	86	52	1.0	1.0	1
P07702	GO:0006338	17	138	2	1.0	1.0	0
P69850	GO:0031116	25	12	9	1.0	1.0	1
P40212	GO:0003723	168	478	59	1.0	1.0	1
Q12344	GO:0005515	66	2428	54	1.0	1.0	1
P33338	GO:0030479	87	59	23	1.0	1.0	1
Q12522	GO:0006412	174	270	36	1.0	1.0	1
P14724	GO:0031145	27	17	13	1.0	1.0	1
P16649	GO:0005634	2735	2285	1030	1.0	1.0	1
P50276	GO:0071944	74	284	24	1.0	1.0	1
P53890	GO:0000921	25	18	9	1.0	1.0	1
P32611	GO:0006412	95	270	41	1.0	1.0	1
P08004	GO:0005829	30	996	5	1.0	1.0	0
P38137	GO:0005829	31	996	15	1.0	1.0	0
Q06146	GO:0005829	33	996	11	1.0	1.0	0
Q99186	GO:0005773	30	220	3	1.0	1.0	0
P22148	GO:0097238	292	1	1	1.0	1.0	1
P36024	GO:0005829	26	996	5	1.0	1.0	0
P20053	GO:0005681	71	90	30	1.0	1.0	1
Q04632	GO:0000301	29	11	7	0.9999999999999993	0.9999999999999993	1
Q08278	GO:0051123	751	42	25	0.9999999999999991	0.9999999999999991	1
Q12038	GO:0006893	40	24	9	0.9999999999999991	0.9999999999999991	1
P53905	GO:0003723	86	478	30	0.9999999999999987	0.9999999999999987	1
Q12068	GO:0005829	18	996	6	0.9999999999999981	0.9999999999999982	0
P22803	GO:0005829	89	996	42	0.9999999999999976	0.9999999999999976	1
Q08986	GO:0005783	29	671	20	0.9999999999999976	0.9999999999999976	1
Q08923	GO:0005634	45	2285	39	0.9999999999999972	0.9999999999999973	1
P41695	GO:0007094	29	22	8	0.9999999999999971	0.9999999999999971	1
P39517	GO:0010494	3565	99	83	0.9999999999999967	0.9999999999999967	1
Q05040	GO:0090443	33	7	6	0.999999999999996	0.999999999999996	1
P40094	GO:0032258	49	49	11	0.9999999999999958	0.9999999999999958	1
P42949	GO:0030150	40	28	9	0.9999999999999951	0.9999999999999951	1
P38249	GO:0003729	152	214	27	0.9999999999999944	0.9999999999999944	1
P32497	GO:0005515	132	2428	85	0.9999999999999938	0.9999999999999938	1
Q99380	GO:0005789	38	413	19	0.9999999999999931	0.9999999999999931	1
P38691	GO:0005515	273	2428	147	0.9999999999999923	0.9999999999999925	1
P54784	GO:0006270	309	33	16	0.9999999999999888	0.999999999999989	1
P28005	GO:0006364	21	207	12	0.9999999999999751	0.9999999999999754	1
Q99332	GO:0031204	62	15	8	0.9999999999999662	0.9999999999999665	1
P16140	GO:0048388	165	16	10	0.9999999999999547	0.999999999999955	1
P40327	GO:0008540	129	10	8	0.9999999999999531	0.9999999999999535	1
Q03920	GO:0005737	173	2583	106	0.9999999999999498	0.9999999999999502	1
P31755	GO:0006487	44	48	10	0.9999999999999416	0.999999999999942	1
P53951	GO:0006891	14	36	7	0.9999999999999255	0.999999999999926	1
P53271	GO:0000139	49	177	15	0.9999999999998868	0.9999999999998875	1
P25045	GO:0005829	29	996	6	0.9999999999998561	0.9999999999998571	0
P36086	GO:0005829	48	996	30	0.9999999999998471	0.9999999999998483	0
P40217	GO:0006413	101	44	12	0.9999999999998458	0.999999999999847	1
Q05471	GO:0042393	59	43	10	0.999999999999597	0.9999999999995999	1
Q99394	GO:0000407	27	40	8	0.9999999999995611	0.9999999999995643	1
Q2V2P8	GO:0000776	10	71	7	0.9999999999995349	0.9999999999995384	1
P47079	GO:0005832	136	8	7	0.9999999999995163	0.9999999999995198	1
Q03067	GO:0005515	34	2428	31	0.9999999999993952	0.9999999999993995	1
P32529	GO:0003899	72	18	8	0.9999999999990635	0.9999999999990702	1
Q03656	GO:0005634	83	2285	56	0.9999999999989125	0.9999999999989202	1
P19524	GO:0006904	164	15	9	0.9999999999986016	0.9999999999986117	1
P33339	GO:0001003	36	6	5	0.9999999999982643	0.9999999999982767	1
P53011	GO:0031080	87	7	6	0.9999999999981739	0.999999999998187	1
Q04636	GO:0042393	128	43	12	0.9999999999979899	0.9999999999980045	1
P32386	GO:0016020	68	1628	41	0.9999999999977033	0.9999999999977197	1
P29478	GO:0005786	38	6	5	0.999999999997689	0.9999999999977056	1
P32591	GO:0005515	101	2428	66	0.9999999999975769	0.9999999999975945	1
P43554	GO:0006338	31	138	11	0.9999999999975195	0.9999999999975374	1
Q04175	GO:0006606	71	58	11	0.999999999997465	0.9999999999974833	1
P21242	GO:0019773	94	7	6	0.9999999999970556	0.9999999999970769	1
Q12200	GO:0000329	42	221	14	0.9999999999956461	0.9999999999956775	1
Q08951	GO:0015031	520	395	65	0.9999999999944911	0.9999999999945307	1
P39926	GO:0006886	59	127	13	0.9999999999928201	0.9999999999928716	1
P36040	GO:0005515	44	2428	36	0.9999999999916336	0.9999999999916938	1
P38334	GO:0016236	21	79	8	0.9999999999853061	0.9999999999854117	1
Q06698	GO:0003723	71	478	23	0.9999999999838315	0.999999999983948	1
Q12393	GO:0097745	17	5	4	0.9999999999832565	0.999999999983377	1
P53335	GO:0005515	69	2428	49	0.9999999999827501	0.9999999999828744	1
P46669	GO:0006351	79	80	12	0.9999999999824106	0.9999999999825371	1
P40219	GO:0003674	31	2291	7	0.9999999999786187	0.9999999999787725	0
Q9URQ5	GO:0005829	49	996	6	0.9999999999770294	0.9999999999771947	0
P16140	GO:0005515	165	2428	93	0.9999999999756196	0.9999999999757949	1
P38785	GO:0005829	35	996	5	0.9999999999686126	0.9999999999688385	0
P53845	GO:0016020	54	1628	34	0.999999999968416	0.9999999999686432	1
P50944	GO:0016020	42	1628	29	0.9999999999680897	0.9999999999683193	1
P36053	GO:0005515	47	2428	37	0.9999999999638672	0.999999999964127	1
P04819	GO:0005829	42	996	10	0.9999999999594372	0.9999999999597291	0
P39012	GO:0016255	21	5	4	0.999999999957895	0.9999999999581979	1
Q12072	GO:0006355	57	225	15	0.9999999999566221	0.9999999999569343	1
P50110	GO:0001401	22	5	4	0.9999999999485384	0.9999999999489088	1
P25655	GO:0017148	103	20	8	0.9999999999456423	0.9999999999460332	1
P25604	GO:0005768	58	153	13	0.9999999999376608	0.9999999999381093	1
