protein	go_term	protein_neighbor	go_neighbor	go_annotated_protein_neighbors	score	norm_score	true_label
P16649	GO:0005634	2735	2285	1030	1030	1.0	1
P10961	GO:0005515	2060	2428	707	707	0.6864077669902913	1
Q12158	GO:0005634	732	2285	458	458	0.4446601941747573	1
P38889	GO:0005634	1165	2285	420	420	0.4077669902912621	1
P53032	GO:0005737	748	2583	285	285	0.2766990291262136	1
P31539	GO:0005829	630	996	204	204	0.19805825242718447	1
P32862	GO:0005634	554	2285	188	188	0.1825242718446602	1
P07280	GO:0005829	611	996	187	187	0.18155339805825244	1
P32561	GO:0005737	378	2583	184	184	0.1786407766990291	1
P34761	GO:0005515	388	2428	161	161	0.1563106796116505	1
P53741	GO:0005829	384	996	159	159	0.15436893203883495	1
P38691	GO:0005515	273	2428	147	147	0.14271844660194175	1
Q07468	GO:0016020	825	1628	125	125	0.12135922330097088	1
Q12522	GO:0005634	174	2285	123	123	0.11941747572815534	1
P38882	GO:0005634	134	2285	111	111	0.10776699029126213	1
Q03920	GO:0005737	173	2583	106	106	0.1029126213592233	1
P36531	GO:0005739	150	1188	104	104	0.10097087378640776	1
P0C0W1	GO:0005840	623	239	100	100	0.0970873786407767	1
Q04217	GO:0005739	483	1188	99	99	0.09611650485436893	1
P33895	GO:0005515	131	2428	97	97	0.0941747572815534	1
Q02455	GO:0005515	138	2428	95	95	0.09223300970873786	1
P16370	GO:0046872	596	826	94	94	0.0912621359223301	1
P16140	GO:0005515	165	2428	93	93	0.09029126213592233	1
Q00416	GO:0005515	124	2428	92	92	0.08932038834951456	1
P40482	GO:0005515	129	2428	91	91	0.0883495145631068	1
P53849	GO:0003729	1147	214	88	88	0.0854368932038835	1
P22579	GO:0005634	110	2285	86	86	0.08349514563106795	1
P32497	GO:0005515	132	2428	85	85	0.0825242718446602	1
P22202	GO:0005737	121	2583	85	85	0.0825242718446602	1
P32523	GO:0008380	150	110	83	83	0.08058252427184466	1
P39517	GO:0010494	3565	99	83	83	0.08058252427184466	1
P40535	GO:0006355	2862	225	82	82	0.07961165048543689	1
P53686	GO:0005737	137	2583	82	82	0.07961165048543689	1
Q08951	GO:0016020	520	1628	82	82	0.07961165048543689	1
P10962	GO:0005634	101	2285	81	81	0.07864077669902912	1
Q06596	GO:0003677	1083	480	80	80	0.07766990291262135	1
P26321	GO:0005840	252	239	79	79	0.0766990291262136	1
Q12690	GO:0005737	127	2583	77	77	0.07475728155339806	1
P40546	GO:0005634	81	2285	74	74	0.07184466019417475	1
P53045	GO:0016020	90	1628	73	73	0.070873786407767	1
P15646	GO:0003723	255	478	73	73	0.070873786407767	1
Q12216	GO:0005737	143	2583	72	72	0.06990291262135923	1
P25046	GO:0045944	962	264	69	69	0.06699029126213592	1
P36531	GO:1990904	150	307	69	69	0.06699029126213592	1
P32591	GO:0005515	101	2428	66	66	0.06407766990291262	1
P38132	GO:0005634	85	2285	65	65	0.06310679611650485	1
P25343	GO:0005515	108	2428	65	65	0.06310679611650485	1
Q08951	GO:0015031	520	395	65	65	0.06310679611650485	1
P40093	GO:0005737	81	2583	64	64	0.062135922330097085	1
Q12449	GO:0005634	108	2285	63	63	0.06116504854368932	1
P25623	GO:0005737	96	2583	62	62	0.06019417475728155	1
P29453	GO:0002181	203	137	61	61	0.059223300970873784	1
P39517	GO:0004386	3565	97	61	61	0.059223300970873784	1
P53337	GO:0016020	96	1628	61	61	0.059223300970873784	1
P40212	GO:0003723	168	478	59	59	0.05728155339805825	1
P53724	GO:0005739	88	1188	58	58	0.05631067961165048	1
P39521	GO:0043565	1872	120	57	57	0.05533980582524272	1
Q06631	GO:0032040	128	86	56	56	0.05436893203883495	1
Q03656	GO:0005634	83	2285	56	56	0.05436893203883495	1
P25441	GO:0005634	65	2285	56	56	0.05436893203883495	1
P42847	GO:1990904	84	307	55	55	0.05339805825242718	1
P41056	GO:0005737	82	2583	54	54	0.05242718446601942	1
Q12481	GO:0006364	72	207	54	54	0.05242718446601942	1
Q12344	GO:0005515	66	2428	54	54	0.05242718446601942	1
P38805	GO:0006364	147	207	52	52	0.05048543689320388	1
P53971	GO:0005829	75	996	52	52	0.05048543689320388	0
Q06506	GO:0032040	107	86	52	52	0.05048543689320388	1
P32524	GO:0005515	78	2428	51	51	0.04951456310679612	1
P40362	GO:0030686	119	80	51	51	0.04951456310679612	1
P35996	GO:0005743	94	337	51	51	0.04951456310679612	1
Q04600	GO:0005737	61	2583	50	50	0.04854368932038835	0
P32504	GO:0005515	84	2428	50	50	0.04854368932038835	1
P38747	GO:0005829	76	996	50	50	0.04854368932038835	0
P46784	GO:0005737	68	2583	49	49	0.04757281553398058	1
P53335	GO:0005515	69	2428	49	49	0.04757281553398058	1
Q02354	GO:0005654	137	169	47	47	0.04563106796116505	1
P36012	GO:0005694	405	157	46	46	0.04466019417475728	1
P23287	GO:0005515	72	2428	46	46	0.04466019417475728	1
P12683	GO:0005515	81	2428	46	46	0.04466019417475728	1
Q02326	GO:0022625	200	84	45	45	0.043689320388349516	1
P32481	GO:0006412	133	270	45	45	0.043689320388349516	1
P19073	GO:0005737	60	2583	44	44	0.04271844660194175	1
P47029	GO:0005737	70	2583	43	43	0.04174757281553398	1
P40212	GO:0006412	168	270	43	43	0.04174757281553398	1
Q07653	GO:0005737	90	2583	43	43	0.04174757281553398	1
Q07468	GO:0000329	825	221	43	43	0.04174757281553398	1
Q12019	GO:0005730	120	288	43	43	0.04174757281553398	1
P36517	GO:0006412	123	270	43	43	0.04174757281553398	1
Q04116	GO:0006357	958	248	42	42	0.040776699029126215	1
P22803	GO:0005829	89	996	42	42	0.040776699029126215	1
P38689	GO:0005737	57	2583	42	42	0.040776699029126215	1
P32611	GO:0006412	95	270	41	41	0.039805825242718446	1
P32386	GO:0016020	68	1628	41	41	0.039805825242718446	1
Q03373	GO:0005737	58	2583	41	41	0.039805825242718446	0
P38011	GO:0022627	595	61	41	41	0.039805825242718446	1
P48589	GO:0022627	695	61	41	41	0.039805825242718446	1
P38833	GO:0005737	55	2583	40	40	0.038834951456310676	0
P38086	GO:0005829	64	996	40	40	0.038834951456310676	0
Q03370	GO:0005783	82	671	40	40	0.038834951456310676	1
P56628	GO:0003735	83	220	40	40	0.038834951456310676	1
Q12152	GO:0005634	66	2285	40	40	0.038834951456310676	0
Q05359	GO:0005794	94	264	39	39	0.037864077669902914	1
Q05812	GO:0005737	55	2583	39	39	0.037864077669902914	0
P25659	GO:0005515	43	2428	39	39	0.037864077669902914	0
P40825	GO:0005634	55	2285	39	39	0.037864077669902914	0
Q08923	GO:0005634	45	2285	39	39	0.037864077669902914	1
P32567	GO:0005524	53	679	39	39	0.037864077669902914	0
Q06834	GO:0005515	49	2428	38	38	0.036893203883495145	0
P40084	GO:0005515	49	2428	38	38	0.036893203883495145	0
P37263	GO:0005829	74	996	38	38	0.036893203883495145	0
Q12504	GO:0005737	46	2583	38	38	0.036893203883495145	0
Q03640	GO:0005886	98	553	38	38	0.036893203883495145	1
Q12504	GO:0005737	46	2583	38	38	0.036893203883495145	0
P32797	GO:0005634	52	2285	38	38	0.036893203883495145	0
P46675	GO:0005634	47	2285	37	37	0.035922330097087375	0
P48415	GO:0005515	62	2428	37	37	0.035922330097087375	1
P25569	GO:0005829	67	996	37	37	0.035922330097087375	0
P46989	GO:0005794	95	264	37	37	0.035922330097087375	1
P32799	GO:0005743	49	337	37	37	0.035922330097087375	1
P53336	GO:0005515	46	2428	37	37	0.035922330097087375	0
P36053	GO:0005515	47	2428	37	37	0.035922330097087375	1
P00937	GO:0005634	53	2285	37	37	0.035922330097087375	0
Q12522	GO:0006412	174	270	36	36	0.03495145631067961	1
P47128	GO:0005515	49	2428	36	36	0.03495145631067961	0
Q02979	GO:0005634	61	2285	36	36	0.03495145631067961	0
Q04651	GO:0005794	72	264	36	36	0.03495145631067961	1
P40986	GO:0005515	52	2428	36	36	0.03495145631067961	0
P36040	GO:0005515	44	2428	36	36	0.03495145631067961	1
Q03782	GO:0005515	52	2428	36	36	0.03495145631067961	0
P32801	GO:0005515	44	2428	36	36	0.03495145631067961	0
P25659	GO:0005737	43	2583	35	35	0.03398058252427184	0
P25558	GO:0005634	64	2285	35	35	0.03398058252427184	0
P19812	GO:0005634	51	2285	35	35	0.03398058252427184	0
P53207	GO:0005515	50	2428	35	35	0.03398058252427184	0
P39993	GO:0005515	44	2428	35	35	0.03398058252427184	0
P32263	GO:0005829	62	996	35	35	0.03398058252427184	0
Q03306	GO:0005737	53	2583	34	34	0.03300970873786408	0
P34077	GO:0016020	71	1628	34	34	0.03300970873786408	1
P34226	GO:0005515	42	2428	34	34	0.03300970873786408	0
P34226	GO:0005515	42	2428	34	34	0.03300970873786408	0
P34226	GO:0005515	42	2428	34	34	0.03300970873786408	0
Q01846	GO:0005515	45	2428	34	34	0.03300970873786408	0
Q07732	GO:0005737	60	2583	34	34	0.03300970873786408	1
P53845	GO:0016020	54	1628	34	34	0.03300970873786408	1
P38266	GO:0005737	41	2583	34	34	0.03300970873786408	0
P50111	GO:0005634	45	2285	34	34	0.03300970873786408	0
Q12345	GO:0005515	49	2428	34	34	0.03300970873786408	0
Q03654	GO:0005737	72	2583	33	33	0.03203883495145631	1
Q00776	GO:0005634	55	2285	33	33	0.03203883495145631	0
P32606	GO:0005737	55	2583	33	33	0.03203883495145631	0
Q06835	GO:0005515	43	2428	33	33	0.03203883495145631	0
P50086	GO:0005737	49	2583	33	33	0.03203883495145631	0
P17883	GO:0003723	71	478	33	33	0.03203883495145631	0
P50109	GO:0005515	47	2428	33	33	0.03203883495145631	0
P40210	GO:0005634	45	2285	33	33	0.03203883495145631	0
P50086	GO:0005737	49	2583	33	33	0.03203883495145631	0
Q06410	GO:0016020	139	1628	33	33	0.03203883495145631	1
P32875	GO:0005737	43	2583	33	33	0.03203883495145631	0
P40210	GO:0005634	45	2285	33	33	0.03203883495145631	0
P53120	GO:0005634	64	2285	33	33	0.03203883495145631	0
P50086	GO:0005737	49	2583	33	33	0.03203883495145631	0
P42841	GO:0005515	43	2428	33	33	0.03203883495145631	0
P35179	GO:0005515	48	2428	33	33	0.03203883495145631	1
P40433	GO:0005634	51	2285	33	33	0.03203883495145631	0
P46673	GO:0005635	64	108	33	33	0.03203883495145631	1
P40210	GO:0005634	45	2285	33	33	0.03203883495145631	0
P37840	GO:0005515	48	2428	33	33	0.03203883495145631	0
P32875	GO:0005737	43	2583	33	33	0.03203883495145631	0
P47141	GO:0005763	55	36	33	33	0.03203883495145631	1
Q12348	GO:0005515	42	2428	32	32	0.031067961165048542	0
P39013	GO:0005856	132	152	32	32	0.031067961165048542	1
Q00539	GO:0008380	78	110	32	32	0.031067961165048542	1
P47136	GO:0005737	43	2583	32	32	0.031067961165048542	0
Q03407	GO:0005737	40	2583	32	32	0.031067961165048542	0
P53120	GO:0005737	64	2583	32	32	0.031067961165048542	0
P25648	GO:0005515	39	2428	32	32	0.031067961165048542	0
P39734	GO:0005524	60	679	32	32	0.031067961165048542	0
P00899	GO:0005634	49	2285	32	32	0.031067961165048542	0
Q08281	GO:0005634	57	2285	32	32	0.031067961165048542	0
P00899	GO:0005634	49	2285	32	32	0.031067961165048542	0
Q03067	GO:0005515	34	2428	31	31	0.030097087378640777	1
P32608	GO:0005634	48	2285	31	31	0.030097087378640777	0
Q12222	GO:0005737	35	2583	31	31	0.030097087378640777	0
Q03306	GO:0005634	53	2285	31	31	0.030097087378640777	0
Q12222	GO:0005737	35	2583	31	31	0.030097087378640777	0
P38164	GO:0005634	55	2285	31	31	0.030097087378640777	0
P32855	GO:0005515	38	2428	31	31	0.030097087378640777	1
P39547	GO:0005783	69	671	31	31	0.030097087378640777	0
P06197	GO:0016020	57	1628	31	31	0.030097087378640777	1
Q03306	GO:0005634	53	2285	31	31	0.030097087378640777	0
P20053	GO:0003723	71	478	31	31	0.030097087378640777	0
P89102	GO:0005737	44	2583	31	31	0.030097087378640777	0
P89102	GO:0005737	44	2583	31	31	0.030097087378640777	0
P89102	GO:0005737	44	2583	31	31	0.030097087378640777	0
P07866	GO:0005829	71	996	31	31	0.030097087378640777	0
P32608	GO:0005634	48	2285	31	31	0.030097087378640777	0
P38164	GO:0005634	55	2285	31	31	0.030097087378640777	0
P32608	GO:0005634	48	2285	31	31	0.030097087378640777	0
P38164	GO:0005634	55	2285	31	31	0.030097087378640777	0
Q12222	GO:0005737	35	2583	31	31	0.030097087378640777	0
