protein	go_term	protein_neighbor	go_neighbor	go_annotated_protein_neighbors	score	norm_score	true_label
FBgn0036058	GO:0005515	42	2517	16	1.0	1.0	0
FBgn0035124	GO:0003700	51	545	2	1.0	1.0	0
FBgn0030613	GO:0005515	11	2517	6	0.9999999999999999	1.0	0
FBgn0039110	GO:0005515	40	2517	17	1.0	1.0	0
FBgn0262519	GO:2001141	378	1081	91	1.0	1.0	1
FBgn0027599	GO:0040012	33	124	1	1.0	1.0	0
FBgn0015520	GO:0065007	286	4222	166	1.0	1.0	1
FBgn0027329	GO:1901265	408	1027	102	1.0	1.0	1
FBgn0028683	GO:0090304	46	1067	27	1.0	1.0	1
FBgn0010263	GO:0032502	1003	2319	301	1.0	1.0	1
FBgn0026175	GO:0003700	88	545	2	1.0	1.0	0
FBgn0021796	GO:0005515	161	2517	96	1.0	1.0	1
FBgn0010411	GO:0006310	73	99	0	1.0	1.0	0
FBgn0264492	GO:0043231	566	4116	333	1.0	1.0	1
FBgn0032160	GO:0005515	51	2517	19	1.0	1.0	0
FBgn0030329	GO:0006310	67	99	0	1.0	1.0	0
FBgn0051051	GO:0040012	41	124	1	1.0	1.0	0
FBgn0039757	GO:0044391	227	175	55	1.0	1.0	1
FBgn0034181	GO:0003824	24	3538	9	1.0	1.0	0
FBgn0011604	GO:0006357	139	868	44	1.0	1.0	1
FBgn0029879	GO:0005515	28	2517	12	1.0	1.0	0
FBgn0034527	GO:0003824	25	3538	6	1.0	1.0	0
FBgn0050293	GO:0046348	7	16	6	1.0	1.0	1
FBgn0020392	GO:0005515	54	2517	28	0.9999999999999999	1.0	0
FBgn0036686	GO:0000479	147	15	11	1.0	1.0	1
FBgn0016650	GO:0003824	26	3538	9	1.0	1.0	0
FBgn0038870	GO:0005515	42	2517	14	1.0	1.0	0
FBgn0039413	GO:0040012	42	124	1	1.0	1.0	0
FBgn0035603	GO:0003824	41	3538	18	1.0	1.0	0
FBgn0037602	GO:0003824	39	3538	13	1.0	1.0	0
FBgn0004107	GO:1903047	497	265	47	1.0	1.0	1
FBgn0020496	GO:0005515	198	2517	113	1.0	1.0	1
FBgn0034795	GO:0060255	68	1935	51	1.0	1.0	1
FBgn0004698	GO:0006310	68	99	3	1.0	1.0	0
FBgn0020616	GO:0005515	45	2517	28	1.0	1.0	0
FBgn0001125	GO:0003700	49	545	0	1.0	1.0	0
FBgn0037383	GO:0048193	35	136	13	1.0	1.0	1
FBgn0087021	GO:0031262	32	8	7	1.0	1.0	1
FBgn0052369	GO:0005515	69	2517	23	1.0	1.0	0
FBgn0021750	GO:0005515	35	2517	18	1.0	1.0	0
FBgn0030365	GO:0071013	140	125	32	1.0	1.0	1
FBgn0000097	GO:0032502	56	2319	41	1.0	1.0	1
FBgn0036623	GO:0005515	75	2517	23	1.0	1.0	0
FBgn0037661	GO:0006310	50	99	0	1.0	1.0	0
FBgn0036213	GO:0005198	165	447	50	1.0	1.0	1
FBgn0020653	GO:0003700	58	545	0	1.0	1.0	0
FBgn0038109	GO:0040012	42	124	1	1.0	1.0	0
FBgn0034842	GO:0003700	87	545	1	1.0	1.0	0
FBgn0266599	GO:0008150	724	9801	689	1.0	1.0	1
FBgn0015509	GO:0045732	434	73	23	0.9999999999999999	1.0	1
FBgn0030482	GO:0005515	23	2517	13	1.0	1.0	0
FBgn0259162	GO:0005515	37	2517	25	1.0	1.0	0
FBgn0023506	GO:0005515	59	2517	24	1.0	1.0	0
FBgn0000152	GO:0005515	25	2517	14	1.0	1.0	0
