protein	go_term	degree	norm_score	true_label
FBgn0028734	GO:0043488	407	1.0	1
FBgn0028734	GO:1902737	407	1.0	1
FBgn0010333	GO:0019901	389	0.9557739557739557	1
FBgn0014020	GO:0090688	341	0.8378378378378378	1
FBgn0014020	GO:0050790	341	0.8378378378378378	1
FBgn0014020	GO:0033674	341	0.8378378378378378	1
FBgn0010341	GO:0007600	322	0.7911547911547911	1
FBgn0021796	GO:0005515	284	0.6977886977886978	1
FBgn0021796	GO:0031929	284	0.6977886977886978	1
FBgn0026379	GO:0042594	280	0.687960687960688	1
FBgn0010303	GO:0045935	279	0.6855036855036855	1
FBgn0015279	GO:0098796	271	0.6658476658476659	1
FBgn0015279	GO:0048609	271	0.6658476658476659	1
FBgn0015279	GO:0051962	271	0.6658476658476659	1
FBgn0000229	GO:0070887	270	0.6633906633906634	1
FBgn0283468	GO:0000902	265	0.6511056511056511	1
FBgn0038197	GO:0045892	241	0.5921375921375921	1
FBgn0039141	GO:0032101	240	0.5896805896805897	1
FBgn0016917	GO:0048869	240	0.5896805896805897	1
FBgn0286784	GO:0007276	233	0.5724815724815725	1
FBgn0286784	GO:0005515	233	0.5724815724815725	1
FBgn0286784	GO:0031593	233	0.5724815724815725	1
FBgn0011661	GO:0031234	227	0.5577395577395577	1
FBgn0004644	GO:0002385	226	0.5552825552825553	1
FBgn0260945	GO:0051641	223	0.547911547911548	1
FBgn0260945	GO:0003824	223	0.547911547911548	1
FBgn0000273	GO:0048522	217	0.5331695331695332	1
FBgn0003870	GO:0010634	216	0.5307125307125307	1
FBgn0011300	GO:0043467	216	0.5307125307125307	1
FBgn0000017	GO:0051960	215	0.5282555282555282	1
FBgn0003716	GO:0002064	215	0.5282555282555282	1
FBgn0000117	GO:0016055	213	0.5233415233415234	1
FBgn0000146	GO:0051179	213	0.5233415233415234	1
FBgn0041191	GO:0043167	210	0.515970515970516	1
FBgn0014011	GO:0051017	208	0.5110565110565111	1
FBgn0002413	GO:0051246	205	0.5036855036855037	1
FBgn0285896	GO:0009887	203	0.4987714987714988	1
FBgn0000482	GO:0051668	202	0.4963144963144963	1
FBgn0020618	GO:0035220	200	0.4914004914004914	1
FBgn0025637	GO:0023057	199	0.48894348894348894	1
FBgn0002525	GO:0032880	199	0.48894348894348894	1
FBgn0262432	GO:0009893	199	0.48894348894348894	1
FBgn0002525	GO:0043254	199	0.48894348894348894	1
FBgn0003118	GO:0001216	197	0.48402948402948404	1
FBgn0003360	GO:0006950	197	0.48402948402948404	1
FBgn0262656	GO:0031347	195	0.47911547911547914	1
FBgn0287873	GO:0042060	193	0.4742014742014742	1
FBgn0036448	GO:0002920	186	0.457002457002457	1
FBgn0013733	GO:0048729	185	0.45454545454545453	1
FBgn0004657	GO:0030336	184	0.4520884520884521	1
FBgn0025800	GO:0065008	184	0.4520884520884521	1
