protein	go_term	degree	norm_score	true_label
Q43125	GO:0044281	243	1.0	1
Q9STM3	GO:0051239	201	0.8264462809917356	1
Q96262	GO:0043231	184	0.756198347107438	1
Q8GUI6	GO:2000241	182	0.7479338842975206	1
Q96524	GO:0009881	177	0.7272727272727273	1
P11574	GO:0019693	171	0.7024793388429752	1
P11574	GO:0006885	171	0.7024793388429752	1
P18064	GO:0044283	162	0.6652892561983471	1
P18064	GO:0170034	162	0.6652892561983471	1
Q9LJX0	GO:0023051	159	0.6528925619834711	1
Q9ZR72	GO:0003824	153	0.628099173553719	1
Q9ZR72	GO:0009314	153	0.628099173553719	1
Q9S745	GO:0042221	150	0.6157024793388429	1
Q38847	GO:0000981	150	0.6157024793388429	1
Q9SZN1	GO:0033178	150	0.6157024793388429	1
Q9SZD4	GO:0016787	148	0.6074380165289256	1
Q9SZD4	GO:0048856	148	0.6074380165289256	1
P42697	GO:0005773	148	0.6074380165289256	1
Q7X9V3	GO:0032881	148	0.6074380165289256	1
Q7X9V3	GO:0042221	148	0.6074380165289256	1
Q8RWR1	GO:1901700	143	0.5867768595041323	1
Q8RWR1	GO:0043565	143	0.5867768595041323	1
P93002	GO:0009607	142	0.5826446280991735	1
O23702	GO:0005488	139	0.5702479338842975	1
Q9SJZ6	GO:0044249	138	0.5661157024793388	1
Q9SA52	GO:0005576	138	0.5661157024793388	1
Q9SA52	GO:2001141	138	0.5661157024793388	1
Q9SJZ6	GO:0010219	138	0.5661157024793388	1
Q9FUY2	GO:0009624	138	0.5661157024793388	1
Q501D8	GO:0044419	137	0.5619834710743802	1
Q501D8	GO:0033036	137	0.5619834710743802	1
Q8RWY3	GO:0140751	136	0.5578512396694215	1
P93831	GO:0050793	132	0.5413223140495868	1
Q9ZTZ7	GO:0009743	131	0.5371900826446281	1
Q9MAK9	GO:0045944	131	0.5371900826446281	1
F4IHY7	GO:0010218	131	0.5371900826446281	1
Q9C969	GO:0016740	130	0.5330578512396694	1
Q9FLT0	GO:0033554	130	0.5330578512396694	1
Q9C969	GO:0048523	130	0.5330578512396694	1
Q9SJQ9	GO:0001666	129	0.5289256198347108	1
O24456	GO:0009507	129	0.5289256198347108	1
Q9LK34	GO:0005525	128	0.5247933884297521	1
Q9LK34	GO:0006206	128	0.5247933884297521	1
Q9LK34	GO:0016757	128	0.5247933884297521	1
Q9SQI8	GO:0003674	126	0.5165289256198347	1
O81346	GO:0009617	125	0.512396694214876	1
Q9LF98	GO:0005741	123	0.5041322314049587	1
F4J9M5	GO:0048523	123	0.5041322314049587	1
F4J9M5	GO:0010162	123	0.5041322314049587	1
F4JKK0	GO:0010025	123	0.5041322314049587	1
Q9FLW9	GO:0008152	122	0.5	1
A9LLI7	GO:0016896	122	0.5	1
Q38882	GO:0005546	121	0.49586776859504134	1
Q38970	GO:0006164	120	0.49173553719008267	1
Q2LAE1	GO:0006325	119	0.48760330578512395	1
Q9FPR3	GO:1900424	119	0.48760330578512395	1
Q9SGH6	GO:0044283	119	0.48760330578512395	1
Q2LAE1	GO:0008757	119	0.48760330578512395	1
Q6NQ54	GO:0031325	117	0.4793388429752066	1
Q8RW96	GO:0008047	117	0.4793388429752066	1
Q9LDX1	GO:0043229	117	0.4793388429752066	1
Q9SFU0	GO:0046740	115	0.47107438016528924	1
Q5HZ36	GO:0010380	115	0.47107438016528924	1
Q56Y74	GO:0006282	115	0.47107438016528924	1
Q5HZ36	GO:0010476	115	0.47107438016528924	1
O22287	GO:0000271	114	0.4669421487603306	1
P31265	GO:1901700	114	0.4669421487603306	1
Q9SZJ5	GO:0006950	114	0.4669421487603306	1
Q8RXK6	GO:0016071	114	0.4669421487603306	1
Q05609	GO:0048519	113	0.4628099173553719	1
O49203	GO:0065008	111	0.45454545454545453	0
Q9LD43	GO:1901564	111	0.45454545454545453	1
O49203	GO:0009224	111	0.45454545454545453	0
Q944G9	GO:0016052	111	0.45454545454545453	1
Q9LXM2	GO:0006996	111	0.45454545454545453	0
Q9LXM2	GO:0009224	111	0.45454545454545453	0
O49203	GO:0005840	111	0.45454545454545453	0
F4JGR5	GO:0009224	111	0.45454545454545453	0
O49203	GO:0006865	111	0.45454545454545453	0
F4JGR5	GO:0065008	111	0.45454545454545453	0
Q9LXM2	GO:0006865	111	0.45454545454545453	0
Q9LXM2	GO:0005840	111	0.45454545454545453	0
F4JGR5	GO:0005840	111	0.45454545454545453	0
F4JGR5	GO:0006996	111	0.45454545454545453	0
O49203	GO:0006996	111	0.45454545454545453	0
Q9LTY6	GO:0009826	110	0.45041322314049587	0
Q9LTY6	GO:0006865	110	0.45041322314049587	0
Q9LTY6	GO:0009224	110	0.45041322314049587	1
Q9LTY6	GO:0065008	110	0.45041322314049587	0
Q9M9K1	GO:0009725	110	0.45041322314049587	1
Q9LTY6	GO:0006996	110	0.45041322314049587	0
Q9LTY6	GO:0005840	110	0.45041322314049587	0
Q9C718	GO:0009224	109	0.4462809917355372	0
Q9SIV0	GO:0005840	109	0.4462809917355372	0
Q9C718	GO:0006865	109	0.4462809917355372	0
O80501	GO:0006865	109	0.4462809917355372	0
Q9SIV0	GO:0006996	109	0.4462809917355372	0
O22218	GO:0080048	109	0.4462809917355372	0
Q9S9P2	GO:0080048	109	0.4462809917355372	0
O22218	GO:0006865	109	0.4462809917355372	0
Q9S9P2	GO:0009826	109	0.4462809917355372	0
Q9SAI2	GO:0006865	109	0.4462809917355372	0
Q9SAI2	GO:0009826	109	0.4462809917355372	0
Q9SIV0	GO:0080048	109	0.4462809917355372	0
O22218	GO:0030234	109	0.4462809917355372	0
Q9SAI2	GO:0030234	109	0.4462809917355372	0
Q9S9P2	GO:0030234	109	0.4462809917355372	0
Q9SIV0	GO:0009738	109	0.4462809917355372	0
P31414	GO:0043227	109	0.4462809917355372	1
Q9S9P2	GO:0006865	109	0.4462809917355372	0
Q9SAI2	GO:0005840	109	0.4462809917355372	0
Q9C718	GO:0030234	109	0.4462809917355372	0
Q9S9P2	GO:0005840	109	0.4462809917355372	0
O80501	GO:0009224	109	0.4462809917355372	0
Q9S9P2	GO:0009224	109	0.4462809917355372	0
Q9SAI2	GO:0009224	109	0.4462809917355372	0
O22218	GO:0009224	109	0.4462809917355372	0
Q9S9P2	GO:0046685	109	0.4462809917355372	0
Q9S9P2	GO:0010214	109	0.4462809917355372	0
Q9SIV0	GO:0010214	109	0.4462809917355372	0
O22218	GO:0044281	109	0.4462809917355372	0
O22218	GO:0010214	109	0.4462809917355372	0
Q9C718	GO:0044281	109	0.4462809917355372	0
Q9SIV0	GO:0009224	109	0.4462809917355372	0
Q9S9P2	GO:0044281	109	0.4462809917355372	0
Q9SAI2	GO:0044281	109	0.4462809917355372	0
O22218	GO:0005840	109	0.4462809917355372	0
O80501	GO:0005840	109	0.4462809917355372	0
Q9C718	GO:0005840	109	0.4462809917355372	0
O80501	GO:0065008	109	0.4462809917355372	0
O22218	GO:0009738	109	0.4462809917355372	0
Q96250	GO:0009987	109	0.4462809917355372	1
O80501	GO:0006996	109	0.4462809917355372	0
Q9S9P2	GO:0009908	109	0.4462809917355372	0
O22218	GO:0045839	109	0.4462809917355372	0
Q9C718	GO:0065008	109	0.4462809917355372	0
Q9S9P2	GO:0006996	109	0.4462809917355372	0
O22218	GO:0009908	109	0.4462809917355372	0
O22218	GO:0065008	109	0.4462809917355372	0
Q9SAI2	GO:0009908	109	0.4462809917355372	0
Q8VZS9	GO:1901800	109	0.4462809917355372	1
Q9SAI2	GO:0006996	109	0.4462809917355372	0
O22218	GO:0009826	109	0.4462809917355372	0
Q9C718	GO:0006996	109	0.4462809917355372	0
Q9C718	GO:0009908	109	0.4462809917355372	0
Q9S9P2	GO:0009738	109	0.4462809917355372	0
O22218	GO:0006996	109	0.4462809917355372	0
Q01909	GO:0043565	108	0.44214876033057854	0
Q3EDG5	GO:0046685	108	0.44214876033057854	0
Q3EDG5	GO:0009826	108	0.44214876033057854	0
Q9SN86	GO:0005840	108	0.44214876033057854	0
Q01909	GO:0016817	108	0.44214876033057854	0
Q01909	GO:0030154	108	0.44214876033057854	0
Q3EDG5	GO:0009855	108	0.44214876033057854	0
Q9FKS0	GO:0005840	108	0.44214876033057854	0
Q9SN86	GO:0065008	108	0.44214876033057854	0
Q3EDG5	GO:0006996	108	0.44214876033057854	0
Q01909	GO:0006865	108	0.44214876033057854	0
Q3EDG5	GO:0045839	108	0.44214876033057854	0
Q9SN86	GO:0009224	108	0.44214876033057854	0
Q3EDG5	GO:0009738	108	0.44214876033057854	0
Q3EDG5	GO:0045995	108	0.44214876033057854	0
