protein	go_term	protein_neighbor	go_neighbor	go_annotated_protein_neighbors	score	norm_score	true_label
Q9M352	GO:0008152	145	3560	141	141	1.0	1
P42798	GO:0044238	135	2898	130	130	0.9219858156028369	1
Q9LYK9	GO:0005198	128	357	117	117	0.8297872340425532	1
Q9SK22	GO:0044249	136	1170	113	113	0.8014184397163121	1
Q9LUQ6	GO:0019538	118	1098	113	113	0.8014184397163121	1
Q9SHI7	GO:0050789	337	3495	104	104	0.7375886524822695	1
Q9CAX6	GO:0043232	98	1291	95	95	0.6737588652482269	1
Q9M3D2	GO:0043228	93	1291	93	93	0.6595744680851063	1
Q9M3C3	GO:0015934	134	129	92	92	0.6524822695035462	1
Q8RYC8	GO:0005515	124	4184	88	88	0.624113475177305	1
Q9C9C6	GO:0022626	142	183	85	85	0.6028368794326241	1
P34788	GO:0022626	143	183	83	83	0.5886524822695035	1
O24456	GO:0009507	232	1099	82	82	0.5815602836879432	1
Q9LF30	GO:0009059	85	654	79	79	0.5602836879432624	1
Q42351	GO:0005840	70	318	66	66	0.46808510638297873	1
O49545	GO:0005515	73	4184	64	64	0.45390070921985815	1
P49691	GO:0030054	164	565	61	61	0.4326241134751773	1
Q8W4S5	GO:0030554	66	1391	57	57	0.40425531914893614	1
Q6XJG8	GO:0006508	113	400	55	55	0.3900709219858156	1
Q8L4Y5	GO:0032991	60	1930	54	54	0.3829787234042553	0
Q9XI84	GO:0051252	55	1699	51	51	0.3617021276595745	0
Q9LNT9	GO:0008150	67	7957	49	49	0.3475177304964539	1
O23712	GO:1905369	65	60	49	49	0.3475177304964539	1
Q9FIB6	GO:0005829	84	1563	49	49	0.3475177304964539	0
P35631	GO:0019219	58	1759	49	49	0.3475177304964539	1
Q9ZSD4	GO:0043226	57	6445	46	46	0.3262411347517731	1
Q9FG01	GO:0010468	55	1950	46	46	0.3262411347517731	0
Q08733	GO:0110165	45	7996	45	45	0.3191489361702128	1
Q9SZD4	GO:0016787	267	1116	45	45	0.3191489361702128	1
O81098	GO:0043229	46	6440	44	44	0.3120567375886525	1
Q8W475	GO:0060255	68	2074	44	44	0.3120567375886525	0
Q9LVG2	GO:0006355	75	1645	43	43	0.3049645390070922	1
Q8L4Y5	GO:0043170	60	1995	43	43	0.3049645390070922	0
C0LGR6	GO:0035639	43	1432	43	43	0.3049645390070922	1
Q9LT08	GO:0043161	81	155	42	42	0.2978723404255319	1
Q93Y00	GO:0031323	47	2095	42	42	0.2978723404255319	1
Q9C966	GO:0005515	43	4184	42	42	0.2978723404255319	0
Q9SLA1	GO:0031326	42	2008	41	41	0.2907801418439716	0
O23379	GO:0043565	74	1007	40	40	0.28368794326241137	0
Q9SQZ1	GO:0044249	39	1170	39	39	0.2765957446808511	1
Q8W475	GO:0031326	68	2008	39	39	0.2765957446808511	0
Q9FG01	GO:0003677	55	1666	38	38	0.2695035460992908	0
Q9SLA1	GO:0097159	42	4068	38	38	0.2695035460992908	0
Q9ZW36	GO:0080090	40	1973	38	38	0.2695035460992908	0
Q0WV90	GO:0003676	50	2530	38	38	0.2695035460992908	0
O23712	GO:0005829	65	1563	38	38	0.2695035460992908	1
Q84JM4	GO:0000976	64	826	38	38	0.2695035460992908	0
P93022	GO:0005515	43	4184	38	38	0.2695035460992908	1
Q84VG7	GO:0060255	41	2074	37	37	0.2624113475177305	0
Q56XU4	GO:0043231	36	6200	36	36	0.2553191489361702	0
Q84VG7	GO:0010468	41	1950	36	36	0.2553191489361702	0
Q84VG7	GO:0050794	41	3222	36	36	0.2553191489361702	0
Q9FL63	GO:0097367	37	1484	35	35	0.24822695035460993	1
Q9SJN0	GO:0007165	78	1257	35	35	0.24822695035460993	1
Q8W475	GO:2001141	68	1645	35	35	0.24822695035460993	0
Q56XU4	GO:0065007	36	3616	35	35	0.24822695035460993	0
Q84VG7	GO:0080090	41	1973	35	35	0.24822695035460993	0
Q84VG7	GO:0051252	41	1699	35	35	0.24822695035460993	0
Q8L9S1	GO:0043170	35	1995	34	34	0.24113475177304963	0
Q56XU4	GO:0010468	36	1950	34	34	0.24113475177304963	0
Q8L9S1	GO:0008152	35	3560	34	34	0.24113475177304963	0
Q8S307	GO:0003677	86	1666	33	33	0.23404255319148937	1
O24409	GO:0003677	56	1666	33	33	0.23404255319148937	0
Q9FJ09	GO:0005515	38	4184	32	32	0.22695035460992907	0
Q7XJU2	GO:0097159	35	4068	32	32	0.22695035460992907	1
Q9C8F7	GO:0005829	80	1563	32	32	0.22695035460992907	0
P48000	GO:0043565	59	1007	32	32	0.22695035460992907	0
Q9XI05	GO:0010498	37	180	32	32	0.22695035460992907	1
O24410	GO:0043565	51	1007	31	31	0.2198581560283688	0
Q9LEZ9	GO:0006355	33	1645	31	31	0.2198581560283688	1
Q93VJ4	GO:0043565	43	1007	31	31	0.2198581560283688	0
Q9LZF6	GO:0043632	60	248	31	31	0.2198581560283688	1
Q9C966	GO:0097159	43	4068	31	31	0.2198581560283688	0
Q38829	GO:0003677	61	1666	30	30	0.2127659574468085	0
Q9FFS8	GO:0044238	34	2898	30	30	0.2127659574468085	0
Q9LTF2	GO:0044249	36	1170	30	30	0.2127659574468085	0
Q94ID6	GO:0050794	34	3222	30	30	0.2127659574468085	1
Q9SJT9	GO:1905369	54	60	30	30	0.2127659574468085	0
O23249	GO:0030234	48	283	30	30	0.2127659574468085	1
Q9LTF2	GO:0044249	36	1170	30	30	0.2127659574468085	0
F4I366	GO:0043226	33	6445	30	30	0.2127659574468085	1
Q9XGN1	GO:0010556	34	1965	29	29	0.20567375886524822	0
Q9SW09	GO:0044237	32	1984	29	29	0.20567375886524822	0
O81836	GO:0097159	35	4068	29	29	0.20567375886524822	0
Q9FFS8	GO:0044249	34	1170	29	29	0.20567375886524822	0
Q9XGN1	GO:0010556	34	1965	29	29	0.20567375886524822	0
Q9XGN1	GO:0060255	34	2074	29	29	0.20567375886524822	0
O24409	GO:0000976	56	826	29	29	0.20567375886524822	0
Q9XGN1	GO:0031326	34	2008	29	29	0.20567375886524822	0
O81836	GO:0003676	35	2530	29	29	0.20567375886524822	0
Q8LAL2	GO:0032502	53	1664	28	28	0.19858156028368795	0
Q9LXD8	GO:0000976	55	826	28	28	0.19858156028368795	0
