protein	goTerm	proProNeighbor	goNeighbor	goAnnotatedProProNeighbors	score	label
FBgn0014011	GO:0005783	136	315	4	0.008869179600886918	FN
FBgn0004867	GO:0003735	130	290	23	0.05476190476190476	FP
FBgn0019932	GO:0003735	10	290	0	0.0	FN
FBgn0261930	GO:0030154	15	65	0	0.0	FP
FBgn0003205	GO:0030154	270	65	4	0.011940298507462687	TN
FBgn0261599	GO:0008270	78	516	11	0.018518518518518517	FP
FBgn0030318	GO:0008270	11	516	1	0.0018975332068311196	FN
FBgn0038659	GO:0005829	93	1082	8	0.006808510638297872	FP
FBgn0040505	GO:0005829	43	1082	9	0.008	FN
FBgn0000535	GO:0005249	5	16	1	0.047619047619047616	FP
FBgn0029798	GO:0005249	13	16	0	0.0	FN
FBgn0033815	GO:0006612	15	26	0	0.0	FP
FBgn0039140	GO:0006612	41	26	0	0.0	FN
FBgn0262455	GO:1903231	1	89	0	0.0	FP
FBgn0000022	GO:1903231	26	89	0	0.0	FN
FBgn0050022	GO:0050313	10	1	0	0.0	FP
FBgn0021814	GO:0050313	71	1	0	0.0	FN
FBgn0038371	GO:0042796	11	4	2	0.13333333333333333	TP
FBgn0000377	GO:0042796	191	4	0	0.0	FN
FBgn0259705	GO:0070072	2	8	0	0.0	FP
FBgn0052671	GO:0070072	0	8	0	0.0	FN
FBgn0261618	GO:0035186	121	17	1	0.007246376811594203	FP
FBgn0011225	GO:0035186	54	17	0	0.0	FN
FBgn0016675	GO:0005576	13	499	1	0.001953125	FP
FBgn0023094	GO:0005576	28	499	0	0.0	FN
FBgn0053144	GO:0000151	13	31	0	0.0	FP
FBgn0016917	GO:0000151	226	31	0	0.0	FN
FBgn0033453	GO:0051607	5	43	0	0.0	FP
FBgn0000635	GO:0051607	693	43	6	0.008152173913043478	FN
FBgn0030930	GO:0006493	13	33	0	0.0	FP
FBgn0011207	GO:0006493	46	33	0	0.0	FN
FBgn0039857	GO:0003735	167	290	56	0.12253829321663019	TP
FBgn0028789	GO:0003735	22	290	3	0.009615384615384616	FN
FBgn0030600	GO:0061630	24	148	1	0.005813953488372093	FP
FBgn0003751	GO:0061630	2	148	0	0.0	FN
FBgn0035785	GO:0032590	29	67	1	0.010416666666666666	FP
FBgn0039140	GO:0032590	41	67	0	0.0	FN
FBgn0037728	GO:0050220	251	2	0	0.0	FP
FBgn0010222	GO:0050220	18	2	0	0.0	FN
FBgn0039792	GO:0008150	3	1771	0	0.0	FP
FBgn0032195	GO:0008150	42	1771	0	0.0	FN
FBgn0035996	GO:0005634	1	2250	1	0.000444247001332741	FP
FBgn0030993	GO:0005634	221	2250	22	0.008903278025091057	FN
FBgn0031224	GO:0003676	25	369	10	0.025380710659898477	FP
FBgn0052451	GO:0003676	41	369	2	0.004878048780487805	FN
FBgn0266673	GO:0000145	117	9	5	0.03968253968253968	FP
FBgn0003444	GO:0000145	31	9	0	0.0	FN
FBgn0265778	GO:0007476	36	137	1	0.005780346820809248	FP
FBgn0036970	GO:0007476	2	137	0	0.0	FN
FBgn0029943	GO:0006914	98	56	8	0.05194805194805195	FP
FBgn0002939	GO:0006914	4	56	0	0.0	FN
FBgn0263111	GO:0048786	109	27	2	0.014705882352941176	FP
FBgn0264978	GO:0048786	64	27	1	0.01098901098901099	TN
FBgn0287775	GO:0003401	0	5	0	0.0	FP
FBgn0261381	GO:0003401	2	5	0	0.0	FN
FBgn0038638	GO:0016020	2	1524	0	0.0	FP
FBgn0053002	GO:0016020	10	1524	1	0.000651890482398957	FN
FBgn0003900	GO:0007499	14	3	0	0.0	FP
FBgn0010750	GO:0007499	123	3	0	0.0	FN
FBgn0024189	GO:0098631	98	2	0	0.0	FP
FBgn0034259	GO:0098631	371	2	0	0.0	FN
FBgn0036913	GO:0006511	36	136	1	0.005813953488372093	FP
FBgn0262477	GO:0006511	28	136	1	0.006097560975609756	FN
FBgn0285911	GO:0030897	7	9	1	0.0625	FP
FBgn0001986	GO:0030897	115	9	0	0.0	FN
FBgn0029006	GO:0030514	307	31	3	0.008875739644970414	FP
FBgn0086711	GO:0030514	25	31	0	0.0	FN
FBgn0016975	GO:1900242	15	6	0	0.0	FP
FBgn0263864	GO:1900242	20	6	0	0.0	FN
FBgn0036117	GO:0003824	164	204	8	0.021739130434782608	FP
FBgn0030286	GO:0003824	12	204	0	0.0	FN
FBgn0260869	GO:0008150	0	1771	0	0.0	FP
FBgn0039350	GO:0008150	31	1771	1	0.0005549389567147614	FN
FBgn0262679	GO:0005575	0	2646	0	0.0	FP
FBgn0260780	GO:0005575	62	2646	3	0.0011078286558345643	FN
FBgn0038198	GO:0032367	4	7	0	0.0	FP
FBgn0053838	GO:0032367	0	7	0	0.0	FN
FBgn0028734	GO:0007281	249	52	3	0.009966777408637873	FP
FBgn0040726	GO:0007281	4	52	0	0.0	FN
FBgn0052185	GO:0050830	5	50	0	0.0	FP
FBgn0053365	GO:0050830	0	50	0	0.0	FN
FBgn0260749	GO:0000791	36	59	1	0.010526315789473684	FP
FBgn0260869	GO:0000791	0	59	0	0.0	FN
FBgn0263111	GO:0005245	109	8	0	0.0	FP
FBgn0053912	GO:0005245	0	8	0	0.0	FN
FBgn0011207	GO:0005737	46	1863	11	0.005762179151388162	FP
FBgn0030141	GO:0005737	40	1863	9	0.004729374671571204	FN
FBgn0029905	GO:0043565	47	207	4	0.015748031496062992	FP
FBgn0044049	GO:0043565	2	207	0	0.0	FN
FBgn0028789	GO:0001700	22	48	0	0.0	FP
FBgn0289323	GO:0001700	0	48	0	0.0	FN
FBgn0016693	GO:0048052	98	3	0	0.0	FP
FBgn0062413	GO:0048052	11	3	0	0.0	FN
FBgn0284084	GO:0007616	16	75	1	0.01098901098901099	FP
FBgn0038952	GO:0007616	13	75	0	0.0	FN
FBgn0267430	GO:0005886	1	1052	0	0.0	FP
FBgn0262451	GO:0005886	10	1052	1	0.0009416195856873823	FN
FBgn0033378	GO:0071013	33	125	3	0.0189873417721519	FP
FBgn0004396	GO:0071013	93	125	7	0.03211009174311927	TN
FBgn0051698	GO:0005575	0	2646	0	0.0	FP
FBgn0263048	GO:0005575	4	2646	0	0.0	FN
FBgn0020278	GO:0000578	29	2	0	0.0	FP
FBgn0263594	GO:0000578	29	2	0	0.0	FN
FBgn0000117	GO:0045296	409	13	5	0.011848341232227487	FP
FBgn0002645	GO:0045296	211	13	1	0.004464285714285714	FN
FBgn0046878	GO:0005576	0	499	0	0.0	FP
FBgn0266573	GO:0005576	0	499	0	0.0	FN
FBgn0036921	GO:0016020	106	1524	4	0.00245398773006135	FP
FBgn0016693	GO:0016020	98	1524	24	0.014796547472256474	TN
FBgn0011591	GO:0001745	26	119	1	0.006896551724137931	FP
FBgn0261790	GO:0001745	51	119	0	0.0	FN
FBgn0015838	GO:0016318	21	31	4	0.07692307692307693	FP
FBgn0033774	GO:0016318	2	31	0	0.0	FN
FBgn0020309	GO:0030178	107	5	0	0.0	FP
FBgn0043593	GO:0030178	0	5	0	0.0	FN
FBgn0263112	GO:0043565	59	207	1	0.0037593984962406013	FP
FBgn0037980	GO:0043565	22	207	0	0.0	FN
FBgn0022333	GO:0005575	0	2646	0	0.0	FP
FBgn0041621	GO:0005575	0	2646	0	0.0	FN
FBgn0020509	GO:0005615	5	685	0	0.0	FP
FBgn0037218	GO:0005615	26	685	2	0.0028129395218002813	FN
FBgn0262739	GO:0035195	133	156	9	0.031141868512110725	FP
FBgn0030694	GO:0035195	12	156	0	0.0	FN
FBgn0039923	GO:0070847	15	11	3	0.11538461538461539	TP
FBgn0011760	GO:0070847	232	11	0	0.0	FN
FBgn0033766	GO:0044611	17	4	0	0.0	FP
FBgn0039019	GO:0044611	18	4	0	0.0	FN
FBgn0265268	GO:0004656	0	26	0	0.0	FP
FBgn0085382	GO:0004656	43	26	0	0.0	FN
FBgn0086253	GO:0012505	31	202	0	0.0	FP
FBgn0000253	GO:0012505	347	202	6	0.01092896174863388	TN
FBgn0005655	GO:0006275	322	5	2	0.0061162079510703364	FP
FBgn0028343	GO:0006275	10	5	0	0.0	FN
FBgn0031401	GO:0005515	70	958	10	0.009727626459143969	FP
FBgn0039923	GO:0005515	15	958	9	0.009249743062692703	FN
FBgn0037555	GO:0005515	199	958	39	0.033707865168539325	FP
FBgn0004864	GO:0005515	117	958	34	0.03162790697674418	TN
FBgn0011715	GO:0005515	214	958	58	0.04948805460750853	FP
FBgn0004898	GO:0005515	2	958	0	0.0	FN
FBgn0015925	GO:0008469	89	2	0	0.0	FP
FBgn0044096	GO:0008469	0	2	0	0.0	FN
FBgn0039466	GO:0005096	11	85	0	0.0	FP
FBgn0028692	GO:0005096	152	85	1	0.004219409282700422	FN
FBgn0033252	GO:0006357	68	615	8	0.01171303074670571	FP
FBgn0037240	GO:0006357	38	615	2	0.0030627871362940277	FN
FBgn0030347	GO:0016311	9	66	0	0.0	FP
FBgn0038282	GO:0016311	11	66	0	0.0	FN
FBgn0034110	GO:0035096	106	27	3	0.022556390977443608	FP
FBgn0000715	GO:0035096	3	27	0	0.0	FN
FBgn0027491	GO:0061575	7	7	0	0.0	FP
FBgn0036828	GO:0061575	116	7	0	0.0	FN
FBgn0260753	GO:0016020	0	1524	0	0.0	FP
FBgn0010379	GO:0016020	348	1524	28	0.014957264957264958	TN
FBgn0005536	GO:1904059	88	12	2	0.02	FP
FBgn0040319	GO:1904059	17	12	0	0.0	FN
FBgn0001259	GO:0060271	7	88	0	0.0	FP
FBgn0030802	GO:0060271	48	88	0	0.0	FN
FBgn0031106	GO:0016192	105	141	26	0.10569105691056911	TP
FBgn0038277	GO:0016192	173	141	0	0.0	FN
FBgn0000756	GO:0005575	0	2646	0	0.0	FP
FBgn0037000	GO:0005575	2	2646	0	0.0	FN
FBgn0003742	GO:0006397	51	31	1	0.012195121951219513	FP
FBgn0260761	GO:0006397	1	31	0	0.0	FN
FBgn0003865	GO:0030514	14	31	2	0.044444444444444446	FP
FBgn0086677	GO:0030514	3	31	0	0.0	FN
FBgn0250842	GO:0046008	4	9	0	0.0	FP
FBgn0015622	GO:0046008	176	9	0	0.0	FN
FBgn0034451	GO:0051010	16	12	0	0.0	FP
FBgn0263396	GO:0051010	137	12	0	0.0	FN
FBgn0266756	GO:0030866	6	33	1	0.02564102564102564	FP
FBgn0032258	GO:0030866	44	33	0	0.0	FN
FBgn0039463	GO:0005829	2	1082	0	0.0	FP
FBgn0024196	GO:0005829	89	1082	10	0.008539709649871904	FN
FBgn0034521	GO:0006487	2	26	0	0.0	FP
FBgn0053523	GO:0006487	102	26	0	0.0	FN
FBgn0000463	GO:0048863	50	7	2	0.03508771929824561	FP
FBgn0035481	GO:0048863	1	7	0	0.0	FN
FBgn0033705	GO:0008150	7	1771	0	0.0	FP
FBgn0050056	GO:0008150	0	1771	0	0.0	FN
FBgn0035754	GO:0016592	110	33	24	0.16783216783216784	TP
FBgn0004575	GO:0016592	25	33	0	0.0	FN
FBgn0000114	GO:0017148	43	44	5	0.05747126436781609	FP
FBgn0036844	GO:0017148	22	44	0	0.0	FN
FBgn0003062	GO:0031167	240	11	3	0.01195219123505976	FP
FBgn0025382	GO:0031167	14	11	0	0.0	FN
FBgn0003256	GO:0005524	381	643	64	0.0625	FP
FBgn0034318	GO:0005524	28	643	1	0.0014903129657228018	FN
FBgn0028717	GO:0070374	17	23	3	0.075	FP
FBgn0020509	GO:0070374	5	23	0	0.0	FN
FBgn0032981	GO:0006629	24	92	12	0.10344827586206896	TP
FBgn0034091	GO:0006629	48	92	0	0.0	FN
FBgn0038788	GO:0005737	56	1863	19	0.009900990099009901	FP
FBgn0032849	GO:0005737	9	1863	2	0.0010683760683760685	FN
FBgn0038474	GO:0032543	10	89	0	0.0	FP
FBgn0036126	GO:0032543	60	89	0	0.0	FN
FBgn0027287	GO:0038024	14	19	0	0.0	FP
FBgn0011762	GO:0038024	35	19	0	0.0	FN
FBgn0083228	GO:0008021	40	59	0	0.0	FP
FBgn0053348	GO:0008021	0	59	0	0.0	FN
FBgn0260934	GO:0004674	249	158	19	0.04668304668304668	FP
FBgn0001079	GO:0004674	71	158	6	0.026200873362445413	TN
FBgn0030683	GO:0016831	40	8	0	0.0	FP
FBgn0005633	GO:0016831	29	8	0	0.0	FN
FBgn0040028	GO:0015630	32	24	0	0.0	FP
FBgn0033429	GO:0015630	1	24	0	0.0	FN
FBgn0002645	GO:0000278	211	151	5	0.013812154696132596	FP
FBgn0000568	GO:0000278	8	151	1	0.006289308176100629	FN
FBgn0037963	GO:0005509	4	205	0	0.0	FP
FBgn0028550	GO:0005509	3	205	0	0.0	FN
FBgn0033447	GO:0034451	19	5	0	0.0	FP
