protein	goTerm	proProNeighbor	goNeighbor	goAnnotatedProProNeighbors	score
FBgn0004872	GO:0070577	47	4	0	0.0196078431372549
FBgn0052343	GO:0032014	11	3	0	0.07142857142857142
FBgn0026255	GO:0004984	2	69	0	0.014084507042253521
FBgn0051673	GO:0008150	8	1771	0	0.0005621135469364812
FBgn0014011	GO:0061629	136	18	2	0.01948051948051948
FBgn0011640	GO:0005838	66	21	0	0.011494252873563218
FBgn0063485	GO:0003674	38	3150	2	0.0009410288582183187
FBgn0038277	GO:0010025	173	3	0	0.005681818181818182
FBgn0027498	GO:0045329	8	4	0	0.08333333333333333
FBgn0011760	GO:0004970	232	18	0	0.004
FBgn0020371	GO:0034198	0	15	0	0.06666666666666667
FBgn0031947	GO:0006351	26	43	0	0.014492753623188406
FBgn0038598	GO:0051015	14	85	1	0.020202020202020204
FBgn0033859	GO:0000976	70	103	0	0.005780346820809248
FBgn0035468	GO:0016020	0	1524	0	0.0006561679790026247
FBgn0033830	GO:0005267	28	13	0	0.024390243902439025
FBgn0001222	GO:0005549	103	111	0	0.004672897196261682
FBgn0043984	GO:0000407	0	14	0	0.07142857142857142
FBgn0031092	GO:0007283	38	198	0	0.00423728813559322
FBgn0039500	GO:0005975	5	124	0	0.007751937984496124
FBgn0036279	GO:0030974	17	2	0	0.05263157894736842
FBgn0038515	GO:0051750	45	1	0	0.021739130434782608
