protein	goTerm	proProNeighbor	goNeighbor	goAnnotatedProProNeighbors	score
FBgn0063485	GO:0051015	38	85	3	0.032520325203252036
FBgn0038277	GO:0003735	173	290	57	0.12526997840172785
FBgn0260400	GO:1990904	80	54	11	0.08955223880597014
FBgn0036318	GO:0045572	37	19	1	0.03571428571428571
FBgn0022361	GO:0003677	31	610	2	0.0046801872074883
FBgn0015282	GO:0036402	254	9	8	0.034220532319391636
FBgn0036279	GO:0006884	17	7	0	0.041666666666666664
FBgn0286075	GO:0005524	0	643	0	0.0015552099533437014
FBgn0026438	GO:0015183	11	6	0	0.058823529411764705
FBgn0263049	GO:0071390	0	11	0	0.09090909090909091
FBgn0038029	GO:0006749	62	41	12	0.1262135922330097
FBgn0000442	GO:0004692	12	3	0	0.06666666666666667
FBgn0033807	GO:0005737	2	1863	1	0.0010723860589812334
FBgn0065032	GO:0005885	70	8	6	0.08974358974358974
FBgn0011760	GO:0045505	232	33	4	0.018867924528301886
FBgn0034329	GO:0009617	0	44	0	0.022727272727272728
FBgn0261722	GO:0016020	44	1524	5	0.003826530612244898
FBgn0020493	GO:0007443	16	35	0	0.0196078431372549
FBgn0043984	GO:0003674	0	3150	0	0.00031746031746031746
FBgn0051133	GO:0070158	5	2	0	0.14285714285714285
FBgn0039258	GO:0006491	1	14	0	0.06666666666666667
FBgn0039406	GO:0006412	43	558	1	0.0033277870216306157
FBgn0001108	GO:0005876	127	18	3	0.027586206896551724
FBgn0263241	GO:0006777	5	6	0	0.09090909090909091
FBgn0051673	GO:0008465	8	4	0	0.08333333333333333
FBgn0000303	GO:0004102	27	1	0	0.03571428571428571
FBgn0000307	GO:0008270	6	516	0	0.0019157088122605363
FBgn0259817	GO:0019887	0	26	0	0.038461538461538464
FBgn0020371	GO:0010954	0	2	0	0.5
FBgn0020261	GO:0043066	123	85	2	0.014423076923076924
FBgn0035468	GO:0050909	0	68	0	0.014705882352941176
FBgn0036964	GO:0005737	10	1863	3	0.002135611318739989
FBgn0001079	GO:0007224	71	10	4	0.06172839506172839
FBgn0003882	GO:0048262	58	2	1	0.03333333333333333
FBgn0030200	GO:0030140	1	10	0	0.09090909090909091
FBgn0035853	GO:0045116	58	11	9	0.14492753623188406
FBgn0026761	GO:0019901	316	61	3	0.010610079575596816
FBgn0051989	GO:0007060	13	20	1	0.06060606060606061
FBgn0038515	GO:0004842	45	101	5	0.0410958904109589
