protein	goTerm	proProNeighbor	goNeighbor	goAnnotatedProProNeighbors	score
FBgn0001233	GO:0008285	777	42	6	0.008547008547008548
FBgn0038201	GO:0016020	1	1524	0	0.0006557377049180328
FBgn0033859	GO:0000381	70	87	8	0.05732484076433121
FBgn0010591	GO:0030170	64	32	1	0.020833333333333332
FBgn0038598	GO:0005814	14	42	0	0.017857142857142856
FBgn0003401	GO:0048477	21	248	3	0.01486988847583643
FBgn0027095	GO:0005783	4	315	0	0.003134796238244514
FBgn0004435	GO:0002385	36	12	1	0.041666666666666664
FBgn0025454	GO:0046680	132	11	6	0.04895104895104895
FBgn0037372	GO:0140932	47	1	0	0.020833333333333332
FBgn0004872	GO:0005634	47	2250	22	0.01001306051371354
FBgn0031673	GO:0005783	28	315	1	0.0058309037900874635
FBgn0038749	GO:0006612	5	26	0	0.03225806451612903
FBgn0032699	GO:0016788	3	36	0	0.02564102564102564
FBgn0038857	GO:1901873	3	1	0	0.25
FBgn0286784	GO:0007317	0	22	0	0.045454545454545456
FBgn0086442	GO:0005737	116	1863	33	0.017180394138453764
FBgn0033033	GO:0007391	2	104	0	0.009433962264150943
FBgn0267390	GO:0007349	53	40	0	0.010752688172043012
FBgn0033526	GO:0033186	39	3	2	0.07142857142857142
FBgn0032077	GO:0047429	9	2	0	0.09090909090909091
FBgn0038919	GO:0016491	4	215	0	0.0045662100456621
FBgn0052062	GO:0005634	61	2250	33	0.014712245781047165
FBgn0011760	GO:0045505	232	33	4	0.018867924528301886
FBgn0039713	GO:0003735	215	290	45	0.09108910891089109
FBgn0020440	GO:0001920	96	2	0	0.01020408163265306
FBgn0014011	GO:0006909	136	24	3	0.025
FBgn0261461	GO:0030036	22	86	3	0.037037037037037035
FBgn0037677	GO:0004252	29	280	13	0.045307443365695796
FBgn0040507	GO:0007189	1	31	0	0.03125
FBgn0265102	GO:0090263	5	51	0	0.017857142857142856
FBgn0011640	GO:0008062	66	9	0	0.013333333333333334
FBgn0029666	GO:1990904	22	54	1	0.02631578947368421
FBgn0052343	GO:0140672	11	13	6	0.2916666666666667
FBgn0004179	GO:0043195	95	49	0	0.006944444444444444
FBgn0001222	GO:0009408	103	65	5	0.03571428571428571
FBgn0037671	GO:0050808	23	59	1	0.024390243902439025
FBgn0261363	GO:0016491	2	215	1	0.009216589861751152
FBgn0260653	GO:0035159	6	29	0	0.02857142857142857
FBgn0031947	GO:0070577	26	4	0	0.03333333333333333
FBgn0026179	GO:0032014	17	3	0	0.05
FBgn0038203	GO:0004984	0	69	0	0.014492753623188406
FBgn0052252	GO:0008150	0	1771	0	0.000564652738565782
FBgn0000370	GO:0061629	18	18	1	0.05555555555555555
FBgn0015283	GO:0005838	457	21	20	0.043933054393305436
FBgn0260459	GO:0003674	1	3150	0	0.00031735956839098697
FBgn0034145	GO:0010025	7	3	0	0.1
FBgn0033830	GO:0045329	28	4	2	0.09375
FBgn0026255	GO:0004970	2	18	0	0.05
FBgn0014018	GO:0034198	261	15	1	0.007246376811594203
FBgn0010422	GO:0006351	81	43	9	0.08064516129032258
FBgn0039500	GO:0051015	5	85	0	0.011111111111111112
FBgn0015664	GO:0000976	43	103	2	0.02054794520547945
FBgn0026389	GO:0016020	1	1524	1	0.0013114754098360656
FBgn0017561	GO:0005267	8	13	0	0.047619047619047616
FBgn0029521	GO:0005549	0	111	0	0.009009009009009009
FBgn0264325	GO:0000407	44	14	2	0.05172413793103448
FBgn0004175	GO:0007283	9	198	0	0.004830917874396135
FBgn0027498	GO:0005975	8	124	0	0.007575757575757576
FBgn0037852	GO:0030974	24	2	0	0.038461538461538464
FBgn0031092	GO:0051750	38	1	0	0.02564102564102564
