protein	go_term	walk	norm_score	true_label
BSU_27490	GO:0019062	0.2881354093551636	1.0	1
BSU_30990	GO:0072531	0.24557895958423615	0.852303991841311	1
BSU_29190	GO:0061620	0.22445456683635712	0.778989876109563	1
BSU_37970	GO:0004844	0.2243756204843521	0.7787158856542362	1
BSU_10940	GO:0050545	0.22389665246009827	0.7770535838034303	1
BSU_28080	GO:0004326	0.22171354293823242	0.7694769047456512	1
BSU_13030	GO:1901567	0.2216564118862152	0.7692786262621247	1
BSU_35310	GO:0006448	0.2198074758052826	0.762861726357075	1
BSU_33430	GO:0016673	0.21882544457912445	0.7594534981620195	1
BSU_27860	GO:0034213	0.21767942607402802	0.7554761372827676	1
BSU_00020	GO:0022616	0.21734674274921417	0.7543215297128116	1
BSU_09670	GO:0019478	0.2172728329896927	0.7540650192072584	1
BSU_31980	GO:0008668	0.21723751723766327	0.7539424526955324	1
BSU_13610	GO:0046570	0.21432723104953766	0.7438420412444069	1
BSU_14860	GO:0004736	0.2138967663049698	0.7423480744128702	1
BSU_38490	GO:0006743	0.12471716850996017	0.43284221397527156	1
BSU_29690	GO:0045990	0.11912567913532257	0.4134364443506664	1
BSU_35380	GO:0044089	0.11778203397989273	0.4087732023061122	1
BSU_31670	GO:0016790	0.11736587435007095	0.4073288826691987	1
BSU_17660	GO:0046078	0.1167788878083229	0.4052916927831597	1
BSU_33420	GO:0022821	0.11659828573465347	0.4046648969510417	1
BSU_29900	GO:0016423	0.11639808863401413	0.4039700948054554	1
BSU_13170	GO:0006152	0.11506005376577377	0.39932632377004246	1
BSU_02390	GO:0052656	0.11474373191595078	0.39822850017893674	1
BSU_37490	GO:0009445	0.11438701301813126	0.3969904749788482	1
BSU_01750	GO:0009187	0.1120220348238945	0.38878260424359395	1
BSU_30960	GO:0008878	0.1114397644996643	0.3867617824170323	1
BSU_08000	GO:0015087	0.11138898134231567	0.3865855348761199	1
BSU_25250	GO:0045013	0.11067159473896027	0.3840957797815937	1
BSU_14440	GO:0015940	0.11001192033290863	0.3818063200878755	1
BSU_16460	GO:0050568	0.10981503874063492	0.38112302471395976	1
BSU_23760	GO:0004594	0.10801292955875397	0.3748686417975594	1
BSU_10170	GO:0033818	0.10776077955961227	0.3739935324185838	1
BSU_29920	GO:0004747	0.10726052522659302	0.37225735450786185	1
BSU_01760	GO:0050790	0.09291263669729233	0.32246170960114684	1
BSU_01760	GO:0043085	0.09291262924671173	0.322461683743233	1
BSU_23160	GO:0031118	0.07904937118291855	0.2743479927018624	1
BSU_35010	GO:1901071	0.07895680516958237	0.27402673397998806	1
BSU_06060	GO:0003886	0.07866562902927399	0.27301618084818097	1
BSU_01780	GO:0006486	0.07701469957828522	0.26728648086204077	1
BSU_00500	GO:0006048	0.07489204406738281	0.2599196129173726	1
BSU_37280	GO:0009061	0.07431714236736298	0.25792436456762463	1
BSU_15650	GO:0015085	0.07414603978395462	0.25733053757568614	1
BSU_15900	GO:0016420	0.0740613043308258	0.2570364555212852	1
BSU_30860	GO:0003979	0.0730133056640625	0.25339928135685785	1
BSU_22070	GO:0042451	0.060015108436346054	0.2082878621917995	1
BSU_14400	GO:0005351	0.05832987278699875	0.2024390994412622	1
BSU_01010	GO:0060567	0.057577602565288544	0.1998282775940142	1
BSU_15630	GO:0009235	0.057159848511219025	0.1983784243635333	1
BSU_21910	GO:0016748	0.05708952993154526	0.1981343773724636	1
BSU_37640	GO:0018205	0.05633336305618286	0.19551003183626356	1
BSU_01390	GO:0006413	0.05532814562320709	0.1920213338132562	1
BSU_06070	GO:0099046	0.049123842269182205	0.1704887378441947	1
BSU_00680	GO:0009113	0.04761519283056259	0.16525283351020145	1
BSU_12300	GO:0046397	0.04758267104625702	0.16513996371617526	1
BSU_27280	GO:0008170	0.04707001894712448	0.1633607582367799	1
BSU_00460	GO:0019288	0.046333856880664825	0.16080584119931074	1
BSU_36370	GO:0009245	0.04631127044558525	0.1607274529334252	1
BSU_27270	GO:0009164	0.04573557898402214	0.15872946364480742	1
BSU_31750	GO:0009435	0.0456436462700367	0.1584104028456117	1
BSU_26810	GO:0036361	0.04528558626770973	0.15716772322102723	1
BSU_17210	GO:0071770	0.044437769800424576	0.1542252994863584	1
BSU_18410	GO:0044273	0.04026753082871437	0.13975210793713838	1
BSU_12010	GO:0051119	0.040222980082035065	0.1395974905411751	1
BSU_23110	GO:0019207	0.040105190128088	0.13918868985190655	1
BSU_29880	GO:0016615	0.038668397814035416	0.1342021721681964	1
BSU_02420	GO:0005416	0.03808455169200897	0.13217588139285205	1
BSU_30490	GO:0008175	0.03794363886117935	0.13168683066789957	1
BSU_22600	GO:0009423	0.03705049306154251	0.12858708738526844	1
BSU_16120	GO:0003916	0.036760348826646805	0.1275801155745318	1
BSU_34140	GO:0015154	0.035388294607400894	0.12281827730440557	1
BSU_37190	GO:0046474	0.03510851040482521	0.12184726092289998	1
BSU_13120	GO:0055129	0.03182549774646759	0.11045326854374435	1
BSU_05990	GO:0046907	0.02979436330497265	0.10340403274853076	1
BSU_09650	GO:0019213	0.02854083850979805	0.09905356156562428	1
BSU_12250	GO:0005315	0.02841583453118801	0.09861972395125473	1
BSU_05610	GO:0006414	0.027853189036250114	0.09666701186981679	1
BSU_14320	GO:0006869	0.027832068502902985	0.09659371114848442	1
BSU_29680	GO:0016405	0.027624374255537987	0.09587288947707023	1
BSU_00750	GO:0009396	0.026682361960411072	0.0926035506018688	1
BSU_00790	GO:0009396	0.02602214738726616	0.09031221620939532	1
BSU_00770	GO:0009396	0.02601049281656742	0.09027176796763003	1
BSU_36860	GO:0015252	0.025804439559578896	0.08955664150174489	1
BSU_25250	GO:0031667	0.025654654949903488	0.08903680046585617	1
BSU_17980	GO:0030436	0.02440645918250084	0.08470482415584255	1
BSU_15510	GO:0009173	0.023953773081302643	0.08313373609619971	1
BSU_16530	GO:0004659	0.02370280772447586	0.0822627381255288	1
BSU_14000	GO:0046451	0.02288598194718361	0.07942787038358663	1
BSU_36830	GO:0009145	0.022174660116434097	0.07695916363094758	1
BSU_16380	GO:0071692	0.021999461576342583	0.07635112125086106	1
BSU_25480	GO:0051082	0.021660150960087776	0.07517351306652104	1
BSU_24720	GO:0071692	0.021404309198260307	0.07428559109122465	1
BSU_33820	GO:0072337	0.02105504460632801	0.0730734367339593	1
BSU_16290	GO:0009425	0.020668435841798782	0.07173167604791782	1
BSU_40100	GO:0015453	0.020616881549358368	0.07155275221292026	1
BSU_25070	GO:0008299	0.020312154665589333	0.07049517000026892	1
BSU_04620	GO:0009085	0.020311888307332993	0.07049424557984821	1
BSU_00900	GO:0006720	0.020136041566729546	0.06988395356125533	1
BSU_15740	GO:0043414	0.018636684864759445	0.06468030051033179	1
BSU_39670	GO:0046032	0.018087035045027733	0.06277269109515506	1
BSU_06530	GO:0006189	0.017948253080248833	0.06229103573356833	1
BSU_29010	GO:0006576	0.01768754981458187	0.06138624146947422	1
BSU_00680	GO:0006188	0.01761724427342415	0.06114223972975377	1
BSU_21450	GO:0030651	0.017613723874092102	0.06113002186545197	1
BSU_22630	GO:0009308	0.017582902684807777	0.06102305414026574	1
BSU_32250	GO:0019344	0.017435425892472267	0.06051122259319709	1
BSU_15840	GO:0019400	0.017412833869457245	0.060432814933876144	1
BSU_15510	GO:0009130	0.017402401193976402	0.06039660738998492	1
BSU_14770	GO:0043022	0.01720845140516758	0.05972348710517551	1
