protein	go_term	protein_neighbor	go_neighbor	go_annotated_protein_neighbors	score	norm_score	true_label
WBGene00003667	GO:0043229	1379	2218	893	893	1.0	1
WBGene00001061	GO:0050794	1882	1626	752	752	0.8421052631578947	1
WBGene00001598	GO:0005575	608	3632	589	589	0.6595744680851063	1
WBGene00006796	GO:0043229	930	2218	568	568	0.6360582306830908	1
WBGene00003622	GO:0032991	1410	1180	559	559	0.6259798432250839	1
WBGene00001345	GO:0032501	1602	887	346	346	0.387458006718925	1
WBGene00001061	GO:0048519	1882	594	307	307	0.3437849944008959	1
WBGene00001851	GO:0005634	412	1287	190	190	0.2127659574468085	1
WBGene00001061	GO:0003006	1882	268	159	159	0.1780515117581187	1
WBGene00003218	GO:0009893	1414	397	139	139	0.15565509518477044	1
WBGene00001249	GO:0048856	675	727	139	139	0.15565509518477044	1
WBGene00001598	GO:0048856	608	727	128	128	0.1433370660694289	1
WBGene00008762	GO:0010556	134	801	121	121	0.135498320268757	1
WBGene00006970	GO:0032501	443	887	121	121	0.135498320268757	1
WBGene00003605	GO:0006355	1043	544	116	116	0.12989921612541994	1
WBGene00003024	GO:0006357	1075	447	109	109	0.12206047032474804	1
WBGene00001834	GO:0016787	420	599	89	89	0.09966405375139978	1
WBGene00003000	GO:0046872	407	916	84	84	0.0940649496080627	1
WBGene00004888	GO:2001141	897	545	80	80	0.08958566629339305	1
WBGene00006964	GO:0009891	829	326	75	75	0.083986562150056	1
WBGene00000912	GO:0051253	2154	136	68	68	0.0761478163493841	1
WBGene00003633	GO:0003677	603	594	68	68	0.0761478163493841	1
WBGene00006546	GO:0051252	72	575	65	65	0.07278835386338185	1
WBGene00003601	GO:0043167	170	1331	57	57	0.06382978723404255	1
WBGene00004042	GO:0006996	332	447	57	57	0.06382978723404255	1
WBGene00004042	GO:1901265	332	576	55	55	0.06159014557670773	1
WBGene00015971	GO:0065007	94	1838	54	54	0.060470324748040316	1
WBGene00004798	GO:0006950	360	503	52	52	0.05823068309070549	1
WBGene00013111	GO:0065007	95	1838	52	52	0.05823068309070549	1
WBGene00003367	GO:0032502	146	999	45	45	0.05039193729003359	1
WBGene00007984	GO:0010468	208	798	42	42	0.04703247480403135	1
WBGene00003623	GO:0000978	1090	210	41	41	0.04591265397536394	1
WBGene00012230	GO:0005575	41	3632	41	41	0.04591265397536394	1
WBGene00013111	GO:0097159	95	1456	40	40	0.04479283314669653	1
WBGene00001174	GO:1990837	641	283	36	36	0.040313549832026875	1
WBGene00006796	GO:0001708	930	127	36	36	0.040313549832026875	1
WBGene00006543	GO:0045892	963	131	36	36	0.040313549832026875	1
WBGene00003150	GO:0097159	72	1456	32	32	0.03583426651735722	1
WBGene00000439	GO:0000978	659	210	31	31	0.03471444568868981	1
WBGene00006727	GO:0019941	677	96	30	30	0.0335946248600224	1
WBGene00001574	GO:0005488	32	2595	29	29	0.032474804031354984	1
WBGene00015787	GO:0043170	80	1157	29	29	0.032474804031354984	0
WBGene00006381	GO:0110165	31	3452	29	29	0.032474804031354984	1
WBGene00002637	GO:0071840	82	894	28	28	0.03135498320268757	1
WBGene00001821	GO:1990837	37	283	26	26	0.029115341545352745	0
WBGene00001821	GO:0000977	37	266	25	25	0.027995520716685332	0
WBGene00003639	GO:0043565	64	369	25	25	0.027995520716685332	1
WBGene00003020	GO:1901988	1774	28	24	24	0.026875699888017916	1
WBGene00022034	GO:0043170	57	1157	23	23	0.025755879059350503	0
WBGene00012484	GO:0043231	37	1961	23	23	0.025755879059350503	1
WBGene00001821	GO:0048522	37	655	23	23	0.025755879059350503	0
WBGene00009998	GO:0031328	48	326	23	23	0.025755879059350503	0
WBGene00011061	GO:0048523	108	535	22	22	0.02463605823068309	1
WBGene00004422	GO:0005515	22	1289	22	22	0.02463605823068309	0
WBGene00004420	GO:0008150	22	3465	22	22	0.02463605823068309	1
WBGene00012435	GO:0005634	26	1287	22	22	0.02463605823068309	0
WBGene00001085	GO:0006996	201	447	22	22	0.02463605823068309	1
WBGene00003601	GO:0003700	170	334	21	21	0.023516237402015677	1
WBGene00006844	GO:0008150	26	3465	21	21	0.023516237402015677	1
WBGene00019883	GO:0003824	60	1483	20	20	0.022396416573348264	1
WBGene00006929	GO:0005488	27	2595	20	20	0.022396416573348264	0
WBGene00004425	GO:0043229	23	2218	20	20	0.022396416573348264	1
WBGene00003371	GO:0110165	20	3452	20	20	0.022396416573348264	1
WBGene00001223	GO:0080090	25	750	19	19	0.02127659574468085	0
WBGene00004258	GO:0009987	20	2677	19	19	0.02127659574468085	1
WBGene00010492	GO:0044238	33	1515	19	19	0.02127659574468085	0
WBGene00002264	GO:0005737	23	1198	19	19	0.02127659574468085	0
WBGene00010453	GO:0031326	20	806	19	19	0.02127659574468085	0
WBGene00010453	GO:0031323	20	858	19	19	0.02127659574468085	0
WBGene00007111	GO:0032991	26	1180	19	19	0.02127659574468085	0
WBGene00001000	GO:0043229	25	2218	19	19	0.02127659574468085	0
WBGene00010453	GO:0110165	20	3452	18	18	0.020156774916013438	1
WBGene00003377	GO:0043229	20	2218	18	18	0.020156774916013438	1
WBGene00001223	GO:0043169	25	925	18	18	0.020156774916013438	1
WBGene00006820	GO:0050794	27	1626	18	18	0.020156774916013438	1
WBGene00006930	GO:0005737	30	1198	18	18	0.020156774916013438	0
WBGene00003918	GO:0006996	95	447	18	18	0.020156774916013438	1
WBGene00007013	GO:0003677	24	594	18	18	0.020156774916013438	1
WBGene00000446	GO:0006357	20	447	18	18	0.020156774916013438	1
WBGene00006929	GO:0050794	27	1626	17	17	0.019036954087346025	0
WBGene00010492	GO:0065007	33	1838	17	17	0.019036954087346025	0
WBGene00004433	GO:0005737	22	1198	17	17	0.019036954087346025	0
WBGene00006929	GO:0050794	27	1626	17	17	0.019036954087346025	0
WBGene00000140	GO:0005488	20	2595	17	17	0.019036954087346025	1
WBGene00003621	GO:0006357	21	447	17	17	0.019036954087346025	0
WBGene00000446	GO:0000977	20	266	17	17	0.019036954087346025	1
WBGene00023498	GO:0019219	25	606	17	17	0.019036954087346025	0
WBGene00004476	GO:0005737	21	1198	17	17	0.019036954087346025	0
