protein	go_term	walk	norm_score	true_label
FBgn0285958	GO:0002081	0.22332875430583954	1.0	1
FBgn0030327	GO:0008424	0.21787570416927338	0.9755828569701399	1
FBgn0039561	GO:0048250	0.21641674637794495	0.9690500762009854	1
FBgn0028734	GO:1902737	0.21546083688735962	0.9647697966930621	1
FBgn0020513	GO:0004638	0.21534350514411926	0.964244419906696	1
FBgn0003502	GO:0046960	0.21474803984165192	0.9615781026905443	1
FBgn0020270	GO:0097551	0.21473848819732666	0.9615353332569577	1
FBgn0014020	GO:0090688	0.21362420916557312	0.9565459218611122	1
FBgn0004622	GO:0097225	0.11347176134586334	0.5080929309732701	1
FBgn0038361	GO:0006780	0.11274471879005432	0.5048374497967918	1
FBgn0003950	GO:0120316	0.10859492421150208	0.48625589906253536	1
FBgn0037501	GO:0036082	0.10781577229499817	0.4827670876064123	1
FBgn0035811	GO:0070991	0.10753065347671509	0.4814904100054052	1
FBgn0035871	GO:1900101	0.10742420703172684	0.4810137743598113	1
FBgn0036476	GO:1903729	0.10712525993585587	0.4796751778284324	1
FBgn0037974	GO:0070484	0.08539893478155136	0.3823911302733594	1
FBgn0033984	GO:0099639	0.07544651627540588	0.3378271486352581	1
FBgn0010350	GO:0071073	0.0744776725769043	0.33348895357608177	1
FBgn0016698	GO:0008160	0.07367709279060364	0.32990419446707653	1
FBgn0263397	GO:0071484	0.07301478087902069	0.3269385579388042	1
FBgn0004832	GO:0070914	0.07292455434799194	0.3265345502627251	1
FBgn0053198	GO:0010952	0.0727379322052002	0.32569891159464665	1
FBgn0033447	GO:0035735	0.07218066602945328	0.3232036387513487	1
FBgn0024244	GO:0048617	0.07132653146982193	0.31937907723312325	1
FBgn0036266	GO:0000214	0.054551951587200165	0.24426747803596088	1
FBgn0026741	GO:0008097	0.05435137823224068	0.24336936997288178	1
FBgn0035150	GO:0010569	0.054139625281095505	0.24242120299007047	1
FBgn0037017	GO:0030906	0.053205642849206924	0.23823910635503742	1
FBgn0020621	GO:0007105	0.05320066586136818	0.23821682087794238	1
FBgn0023477	GO:0006098	0.04503212869167328	0.20164053138452395	1
FBgn0052380	GO:1905038	0.04466472938656807	0.1999954261393567	1
FBgn0015271	GO:0005664	0.0432041771709919	0.1934555060107735	1
FBgn0035233	GO:0042760	0.04300987347960472	0.19258547164376544	1
FBgn0052529	GO:0005677	0.04251260682940483	0.19035885890083623	1
FBgn0038918	GO:0016972	0.03822752460837364	0.17117153018290973	1
FBgn0011692	GO:0051256	0.036469534039497375	0.1632997692252107	1
FBgn0001941	GO:1904502	0.035867977887392044	0.16060617898881183	1
FBgn0263237	GO:0008353	0.035703208297491074	0.15986838957869706	1
FBgn0043783	GO:0033499	0.03395719826221466	0.15205027390119086	1
FBgn0031877	GO:0009080	0.03250335901975632	0.14554041247749183	1
FBgn0028573	GO:0070831	0.031528815627098083	0.14117669587643278	1
FBgn0087021	GO:0031262	0.028033802285790443	0.12552706154174534	1
FBgn0014075	GO:0018279	0.02756306156516075	0.12341922405304905	1
FBgn0035150	GO:2000779	0.02727976255118847	0.12215069499662348	1
FBgn0265778	GO:0007484	0.026799462735652924	0.12000005471284796	1
FBgn0033051	GO:0046672	0.024131298065185547	0.10805280376990205	1
FBgn0031772	GO:0035305	0.02350335381925106	0.10524105546688442	1
FBgn0004657	GO:0007229	0.022655919194221497	0.10144649427093096	1
FBgn0019637	GO:0016593	0.022335339337587357	0.10001103264562175	1
FBgn0010453	GO:0005109	0.021711407229304314	0.09721724950640004	1
FBgn0261983	GO:0045035	0.021483855322003365	0.09619833947840907	1
FBgn0002571	GO:0005984	0.021234573796391487	0.09508213065708329	1
FBgn0031592	GO:0016274	0.020935742184519768	0.09374405122884055	1
FBgn0032705	GO:0000930	0.020185846835374832	0.09038624201400929	1
FBgn0003884	GO:0032418	0.01984499953687191	0.08886002878829924	1
FBgn0031879	GO:0031901	0.019496746361255646	0.0873006542388879	1
FBgn0029502	GO:2000377	0.01948452927172184	0.0872459497313032	1
FBgn0014020	GO:0033674	0.01868293061852455	0.08365662843817705	1
FBgn0004657	GO:0030336	0.018544534221291542	0.08303693037169574	1
FBgn0038975	GO:0043113	0.01848897710442543	0.08278816206132389	1
FBgn0004644	GO:0002385	0.018437720835208893	0.08255865167258844	1
FBgn0000541	GO:0031010	0.018209440633654594	0.08153648055869024	1
FBgn0015805	GO:0070822	0.018040219321846962	0.08077875765671277	1
FBgn0003996	GO:0015605	0.017946681007742882	0.08035992079714752	1
