protein	go_term	protein_neighbor	go_neighbor	go_annotated_protein_neighbors	score	norm_score	true_label
BSU_01180	GO:0006412	72	98	56	1.0	1.0	1
BSU_36870	GO:0046933	9	9	8	1.0	1.0	1
BSU_00990	GO:0005840	36	62	35	1.0	1.0	1
BSU_01040	GO:0015934	64	8	8	1.0	1.0	1
BSU_24250	GO:0006526	16	13	9	1.0	1.0	1
BSU_30740	GO:0055085	34	216	31	1.0	1.0	1
BSU_15320	GO:0030435	246	260	81	1.0	1.0	1
BSU_15640	GO:0006412	29	98	28	1.0	1.0	1
BSU_01050	GO:0005840	42	62	36	1.0	1.0	1
BSU_36820	GO:1902600	9	32	9	1.0	1.0	1
BSU_01230	GO:1990904	65	60	55	1.0	1.0	1
BSU_00520	GO:0006412	36	98	34	1.0	1.0	1
BSU_01420	GO:0022627	61	13	12	1.0	1.0	1
BSU_14850	GO:0051301	25	51	13	1.0	1.0	1
BSU_01280	GO:0022625	68	24	23	1.0	1.0	1
BSU_25550	GO:0005840	56	62	50	1.0	1.0	1
BSU_01540	GO:0140663	7	1	1	1.0	1.0	1
BSU_01260	GO:0019843	71	45	37	1.0	1.0	1
BSU_01180	GO:0003735	72	58	54	1.0	1.0	1
BSU_01220	GO:0019843	62	45	34	1.0	1.0	1
BSU_01280	GO:0019843	68	45	36	1.0	1.0	1
BSU_16470	GO:0071978	125	29	28	1.0	1.0	1
BSU_01350	GO:0006412	66	98	56	1.0	1.0	1
BSU_25550	GO:0003735	56	58	50	1.0	1.0	1
BSU_01420	GO:0003735	61	58	51	1.0	1.0	1
BSU_01490	GO:0022625	67	24	23	1.0	1.0	1
BSU_11430	GO:0055085	41	216	37	1.0	1.0	1
BSU_01410	GO:0015935	58	13	10	0.9999999999999999	0.9999999999999998	1
BSU_15990	GO:0015935	58	13	10	0.9999999999999999	0.9999999999999998	1
BSU_34600	GO:0005886	35	841	32	0.9999999999999993	0.9999999999999993	1
BSU_31010	GO:0045121	10	60	9	0.9999999999999986	0.9999999999999984	1
BSU_33710	GO:0005886	39	841	34	0.9999999999999979	0.999999999999998	1
BSU_30750	GO:0005886	34	841	31	0.9999999999999977	0.9999999999999976	1
BSU_15160	GO:0051301	30	51	12	0.9999999999999959	0.9999999999999958	1
BSU_16370	GO:0044780	9	21	7	0.9999999999999956	0.9999999999999956	1
BSU_16580	GO:0071897	19	11	7	0.9999999999999903	0.9999999999999905	1
BSU_02870	GO:0005886	35	841	31	0.9999999999999849	0.9999999999999849	1
BSU_31620	GO:0006814	6	23	6	0.9999999999999459	0.9999999999999462	1
BSU_13980	GO:0008360	10	49	8	0.9999999999999325	0.9999999999999327	1
BSU_01150	GO:0003723	62	73	16	0.999999999999893	0.9999999999998933	1
BSU_23970	GO:0006865	35	58	12	0.9999999999997919	0.9999999999997925	1
BSU_17210	GO:0004312	4	5	4	0.9999999999997592	0.9999999999997597	1
BSU_25000	GO:0008360	11	49	8	0.9999999999997554	0.9999999999997562	1
BSU_11400	GO:0015833	9	16	6	0.9999999999996977	0.9999999999996987	1
BSU_29090	GO:0006260	10	34	7	0.9999999999991954	0.9999999999991979	1
BSU_01340	GO:0015934	66	8	7	0.999999999998747	0.9999999999987506	1
BSU_15080	GO:0015934	68	8	7	0.9999999999984402	0.9999999999984446	1
BSU_38140	GO:0019646	12	7	5	0.9999999999981913	0.9999999999981966	1
BSU_01260	GO:0015934	71	8	7	0.9999999999978603	0.9999999999978663	1
BSU_38580	GO:0009401	7	32	6	0.9999999999962921	0.9999999999963026	1
BSU_00620	GO:0051301	20	51	9	0.9999999999957564	0.9999999999957686	1
BSU_38760	GO:0016682	5	7	4	0.9999999999819481	0.9999999999819994	1
BSU_01220	GO:0003723	62	73	14	0.9999999999681107	0.9999999999682014	1
BSU_01070	GO:0006351	44	8	6	0.9999999999645979	0.9999999999646987	1
BSU_01200	GO:0003723	63	73	14	0.999999999959767	0.9999999999598815	1
BSU_02630	GO:0008320	6	7	4	0.9999999999458785	0.9999999999460327	1
BSU_01430	GO:0003677	20	302	14	0.9999999999167098	0.999999999916947	1
