protein	go_term	degree	norm_score	true_label
P0A8T7	GO:0003899	29	1.0	1
P03018	GO:0016887	29	1.0	1
P03018	GO:0043138	29	1.0	1
P08394	GO:0008237	27	0.9310344827586207	0
P08394	GO:0017148	27	0.9310344827586207	0
P08394	GO:0003723	27	0.9310344827586207	0
P08394	GO:0006457	27	0.9310344827586207	0
P08394	GO:1990391	27	0.9310344827586207	0
P08394	GO:0009898	27	0.9310344827586207	0
P08394	GO:0009279	27	0.9310344827586207	0
P08394	GO:0019843	27	0.9310344827586207	0
P08394	GO:0006020	27	0.9310344827586207	0
P08394	GO:0106074	27	0.9310344827586207	0
P08394	GO:0005980	27	0.9310344827586207	0
P08394	GO:0006364	27	0.9310344827586207	0
P08394	GO:0009329	27	0.9310344827586207	0
P08394	GO:0042301	27	0.9310344827586207	0
P08394	GO:0005507	27	0.9310344827586207	0
P08394	GO:0006935	27	0.9310344827586207	0
P08394	GO:0000049	27	0.9310344827586207	0
P08394	GO:0000724	27	0.9310344827586207	1
P08394	GO:0009375	27	0.9310344827586207	0
P08394	GO:0071248	27	0.9310344827586207	0
P08394	GO:0006355	27	0.9310344827586207	0
P08394	GO:0015078	27	0.9310344827586207	0
P08394	GO:0000049	27	0.9310344827586207	0
P08394	GO:0002161	27	0.9310344827586207	0
P08394	GO:0051539	27	0.9310344827586207	0
P08394	GO:0016740	27	0.9310344827586207	0
P08394	GO:0043024	27	0.9310344827586207	0
P08394	GO:0009165	27	0.9310344827586207	0
P08394	GO:0030964	27	0.9310344827586207	0
P08394	GO:0006970	27	0.9310344827586207	0
P08394	GO:0042128	27	0.9310344827586207	0
P08394	GO:0016301	27	0.9310344827586207	0
P08394	GO:0006515	27	0.9310344827586207	0
P08394	GO:0004129	27	0.9310344827586207	0
P08394	GO:0051781	27	0.9310344827586207	0
P08394	GO:0009409	27	0.9310344827586207	0
P09546	GO:0016887	26	0.896551724137931	0
P09546	GO:0019843	26	0.896551724137931	0
P09546	GO:0008237	26	0.896551724137931	0
P0A6B7	GO:0046872	26	0.896551724137931	1
P09546	GO:0005507	26	0.896551724137931	0
P17888	GO:0006310	26	0.896551724137931	1
P09546	GO:0009636	26	0.896551724137931	0
P09546	GO:0016301	26	0.896551724137931	0
P09546	GO:0016787	26	0.896551724137931	0
P09546	GO:0009279	26	0.896551724137931	0
P09546	GO:0004129	26	0.896551724137931	0
P0A7Z4	GO:0000345	26	0.896551724137931	1
P09546	GO:0015078	26	0.896551724137931	0
P09546	GO:0005886	26	0.896551724137931	1
P09546	GO:0006457	26	0.896551724137931	0
P09546	GO:0043024	26	0.896551724137931	0
P09546	GO:0003723	26	0.896551724137931	0
P09546	GO:0005980	26	0.896551724137931	0
P09546	GO:0009165	26	0.896551724137931	0
P09546	GO:0006970	26	0.896551724137931	0
P09546	GO:0006515	26	0.896551724137931	0
P09546	GO:0006020	26	0.896551724137931	0
