protein	go_term	protein_neighbor	go_neighbor	go_annotated_protein_neighbors	score	norm_score	true_label
Q8JGS9	GO:0006412	78	68	21	1.0	1.0	1
Q7SXL7	GO:0030154	12	160	3	1.0	1.0	0
Q7ZVC4	GO:0007034	25	13	8	1.0	1.0	1
A2VCZ5	GO:0005634	33	982	24	1.0	1.0	1
Q7ZW25	GO:0015031	32	111	14	1.0	1.0	1
Q7ZVB1	GO:0005771	27	10	8	1.0	1.0	1
Q6P3J5	GO:0006412	77	68	22	1.0	1.0	1
Q503V0	GO:0015031	30	111	14	1.0	1.0	1
Q7ZVB1	GO:0007034	27	13	8	1.0	1.0	1
Q6DEL7	GO:0031463	26	13	11	1.0	1.0	1
Q6Q415	GO:0003735	78	36	21	1.0	1.0	1
Q7ZWJ7	GO:0022625	78	15	11	1.0	1.0	1
Q7T3H7	GO:0003712	33	29	19	1.0	1.0	1
Q6DRC4	GO:0006413	20	21	13	1.0	1.0	1
Q6PC60	GO:0005634	121	982	44	1.0	1.0	1
Q6SJP8	GO:0008284	35	23	7	0.9999999999999838	0.9999999999999838	1
Q7SXP0	GO:0015031	90	111	13	0.9999999999999762	0.9999999999999764	1
Q7ZVF3	GO:0006099	6	7	4	0.999999999999929	0.9999999999999292	1
Q8UVX0	GO:0007283	7	25	5	0.9999999999999153	0.9999999999999156	1
Q5PR66	GO:0042995	23	144	9	0.9999999999998526	0.9999999999998529	1
A1L271	GO:0007165	100	92	12	0.9999999999997616	0.9999999999997623	1
Q7ZWJ4	GO:0005737	79	914	25	0.9999999999997011	0.9999999999997019	1
Q90271	GO:0043565	10	61	6	0.999999999999643	0.9999999999996438	1
Q4QRJ7	GO:0006412	33	68	8	0.9999999999994206	0.9999999999994221	1
F1RBN2	GO:0070286	5	13	4	0.9999999999992184	0.9999999999992203	1
Q6NWL4	GO:0031047	12	22	5	0.9999999999984764	0.9999999999984803	1
F1Q8J0	GO:0005689	20	5	4	0.9999999999984692	0.999999999998473	1
B3DI94	GO:0032981	30	10	5	0.9999999999983014	0.9999999999983056	1
Q5SPH9	GO:0005763	21	5	4	0.9999999999981091	0.9999999999981137	1
Q6DRC4	GO:0005737	20	914	13	0.9999999999979663	0.9999999999979713	1
Q7ZUG0	GO:0071011	72	12	6	0.9999999999975656	0.9999999999975717	1
Q9MIY9	GO:0032981	38	10	5	0.9999999999940286	0.9999999999940433	1
Q6P0F0	GO:0005789	12	166	7	0.9999999999936384	0.9999999999936541	1
Q8JGR7	GO:0032039	29	5	4	0.9999999999924958	0.9999999999925143	1
Q6PFS5	GO:0016192	23	38	6	0.9999999999921788	0.9999999999921982	1
Q7ZTY7	GO:0015031	64	111	10	0.9999999999882896	0.9999999999883185	1
Q9I9N6	GO:0061702	7	4	3	0.9999999999541079	0.9999999999542214	1
Q568K9	GO:0006397	16	76	6	0.9999999999467887	0.9999999999469199	1
Q568D5	GO:0006302	35	15	5	0.9999999999391455	0.9999999999392956	1
Q6TLE4	GO:0005789	10	166	6	0.9999999998222766	0.9999999998227155	1
Q32LU7	GO:0032543	20	11	4	0.999999999680389	0.9999999996811783	1
