protein	go_term	protein_neighbor	go_neighbor	go_annotated_protein_neighbors	score	norm_score	true_label
Q6PC60	GO:0005634	121	982	44	44	1.0	1
Q6P0E1	GO:0005634	523	982	40	40	0.9090909090909091	1
E7F5L4	GO:0005634	39	982	26	26	0.5909090909090909	0
Q7ZWJ4	GO:0005737	79	914	25	25	0.5681818181818182	1
R4GDN4	GO:0005634	33	982	25	25	0.5681818181818182	0
A2VCZ5	GO:0005634	33	982	24	24	0.5454545454545454	1
Q6P3J5	GO:0006412	77	68	22	22	0.5	1
Q8JGS9	GO:0006412	78	68	21	21	0.4772727272727273	1
Q6Q415	GO:0003735	78	36	21	21	0.4772727272727273	1
Q7ZVN7	GO:0006357	36	203	21	21	0.4772727272727273	0
Q6PFL0	GO:0003712	33	29	20	20	0.45454545454545453	0
E7F5L4	GO:0003712	39	29	20	20	0.45454545454545453	0
Q6PEH8	GO:0003712	34	29	20	20	0.45454545454545453	0
Q6PEH8	GO:0006357	34	203	20	20	0.45454545454545453	0
Q7T3H7	GO:0003712	33	29	19	19	0.4318181818181818	1
Q58EK5	GO:0005737	66	914	18	18	0.4090909090909091	1
F6P2R0	GO:0005634	39	982	17	17	0.38636363636363635	0
Q5RGI2	GO:0005634	29	982	17	17	0.38636363636363635	0
F1R543	GO:0005634	27	982	17	17	0.38636363636363635	0
F1QC46	GO:0005634	26	982	17	17	0.38636363636363635	0
Q5RI09	GO:0005634	26	982	17	17	0.38636363636363635	0
A0A8M3AYF3	GO:0005634	39	982	17	17	0.38636363636363635	0
Q6NW98	GO:0005634	28	982	17	17	0.38636363636363635	0
F1QC46	GO:0005634	26	982	17	17	0.38636363636363635	0
F6P2R0	GO:0005634	39	982	17	17	0.38636363636363635	0
F1Q5L6	GO:0005634	30	982	17	17	0.38636363636363635	0
E7EXJ6	GO:0005634	28	982	17	17	0.38636363636363635	0
Q6NW98	GO:0005634	28	982	17	17	0.38636363636363635	0
A0A8M3AYF3	GO:0005634	39	982	17	17	0.38636363636363635	0
F6P2R0	GO:0005634	39	982	17	17	0.38636363636363635	0
A3KNV9	GO:0005634	42	982	17	17	0.38636363636363635	0
Q6AZW3	GO:0005634	42	982	17	17	0.38636363636363635	0
F1Q5L6	GO:0005634	30	982	17	17	0.38636363636363635	0
Q5RGI2	GO:0005634	29	982	17	17	0.38636363636363635	0
A0A0R4IVZ0	GO:0005634	27	982	17	17	0.38636363636363635	0
E7F981	GO:0005634	30	982	17	17	0.38636363636363635	0
Q5RI09	GO:0005634	26	982	17	17	0.38636363636363635	0
E7F981	GO:0005634	30	982	17	17	0.38636363636363635	0
E7EXJ6	GO:0005634	28	982	17	17	0.38636363636363635	0
F1R543	GO:0005634	27	982	17	17	0.38636363636363635	0
A0A8M3AYF3	GO:0005634	39	982	17	17	0.38636363636363635	0
F1Q5L6	GO:0005634	30	982	17	17	0.38636363636363635	0
A2CF03	GO:0005634	37	982	16	16	0.36363636363636365	0
A5PMY5	GO:0015031	46	111	16	16	0.36363636363636365	0
A2CF03	GO:0005634	37	982	16	16	0.36363636363636365	0
Q7ZVA6	GO:0005737	55	914	15	15	0.3409090909090909	1
Q7ZV13	GO:0005634	37	982	15	15	0.3409090909090909	0
Q6PH25	GO:0005737	30	914	15	15	0.3409090909090909	0
A0A8M9PX23	GO:0005634	26	982	15	15	0.3409090909090909	0
Q7ZV13	GO:0005634	37	982	15	15	0.3409090909090909	0
Q7ZV13	GO:0005634	37	982	15	15	0.3409090909090909	0
Q4V8Q5	GO:0005634	38	982	14	14	0.3181818181818182	0
Q503V0	GO:0005737	30	914	14	14	0.3181818181818182	0
Q803N1	GO:0005634	28	982	14	14	0.3181818181818182	0
Q503V0	GO:0005737	30	914	14	14	0.3181818181818182	0
F6NVK8	GO:0005737	43	914	14	14	0.3181818181818182	0
B0UXK0	GO:0005634	30	982	14	14	0.3181818181818182	0
Q503V0	GO:0015031	30	111	14	14	0.3181818181818182	1
Q4V8Q5	GO:0005634	38	982	14	14	0.3181818181818182	0
Q503V0	GO:0005737	30	914	14	14	0.3181818181818182	0
F6NVK8	GO:0005737	43	914	14	14	0.3181818181818182	0
B0UXK0	GO:0005634	30	982	14	14	0.3181818181818182	0
Q7ZW25	GO:0015031	32	111	14	14	0.3181818181818182	1
B0UXK0	GO:0005634	30	982	14	14	0.3181818181818182	0
Q6NZT9	GO:0005634	35	982	14	14	0.3181818181818182	0
Q6NZT9	GO:0005634	35	982	14	14	0.3181818181818182	0
Q4V8Q5	GO:0005634	38	982	14	14	0.3181818181818182	0
Q6DRC4	GO:0006413	20	21	13	13	0.29545454545454547	1
Q1LUQ0	GO:0005634	37	982	13	13	0.29545454545454547	0
Q1LUQ0	GO:0005634	37	982	13	13	0.29545454545454547	0
Q6DHJ0	GO:0005634	36	982	13	13	0.29545454545454547	0
Q6DBY5	GO:0005737	23	914	13	13	0.29545454545454547	0
Q6DRC4	GO:0005737	20	914	13	13	0.29545454545454547	1
Q7ZV13	GO:0005737	37	914	13	13	0.29545454545454547	0
Q7ZV13	GO:0005737	37	914	13	13	0.29545454545454547	0
Q6P125	GO:0005634	37	982	13	13	0.29545454545454547	0
Q7ZV13	GO:0005737	37	914	13	13	0.29545454545454547	0
Q7SXP0	GO:0015031	90	111	13	13	0.29545454545454547	1
A4GT83	GO:0005634	39	982	13	13	0.29545454545454547	0
Q6P6X6	GO:0005634	34	982	13	13	0.29545454545454547	0
Q6DRE5	GO:0005634	34	982	13	13	0.29545454545454547	0
Q7ZV13	GO:0005737	37	914	13	13	0.29545454545454547	0
Q6P125	GO:0005634	37	982	13	13	0.29545454545454547	0
A5WWG4	GO:0005634	36	982	13	13	0.29545454545454547	0
A5WWG4	GO:0005634	36	982	13	13	0.29545454545454547	0
Q7ZTZ4	GO:0005634	35	982	13	13	0.29545454545454547	0
