protein	go_term	degree	norm_score	true_label
P00546	GO:0051253	328	1.0	1
P00546	GO:0009891	328	1.0	1
P32598	GO:0008360	290	0.8841463414634146	1
P32598	GO:0044042	290	0.8841463414634146	1
P39940	GO:0034517	280	0.8536585365853658	1
P25694	GO:0016462	238	0.725609756097561	1
P25694	GO:0044237	238	0.725609756097561	1
P06780	GO:0019901	221	0.6737804878048781	1
P52286	GO:0051597	203	0.6189024390243902	1
P52286	GO:0007096	203	0.6189024390243902	1
Q03497	GO:0032879	189	0.5762195121951219	1
Q03497	GO:0009628	189	0.5762195121951219	1
Q00362	GO:0044248	187	0.5701219512195121	1
Q00362	GO:0016237	187	0.5701219512195121	1
Q00362	GO:0016043	187	0.5701219512195121	1
P32829	GO:0019205	184	0.5609756097560976	1
P16862	GO:0050801	183	0.5579268292682927	1
P17157	GO:0048523	183	0.5579268292682927	1
P16862	GO:0009134	183	0.5579268292682927	1
Q00582	GO:0006139	174	0.5304878048780488	1
Q00684	GO:0010638	173	0.5274390243902439	1
Q00684	GO:0006325	173	0.5274390243902439	1
P38351	GO:0044843	170	0.5182926829268293	1
P16861	GO:0019867	170	0.5182926829268293	1
P16861	GO:0000166	170	0.5182926829268293	1
P16861	GO:0042625	170	0.5182926829268293	1
P16861	GO:0009144	170	0.5182926829268293	1
P38351	GO:0009889	170	0.5182926829268293	1
P40466	GO:1902679	166	0.5060975609756098	1
P40466	GO:0000977	166	0.5060975609756098	1
P32325	GO:0010972	166	0.5060975609756098	1
Q08273	GO:0007093	165	0.5030487804878049	1
P11938	GO:0001067	162	0.49390243902439024	1
P60010	GO:0043933	162	0.49390243902439024	1
P38144	GO:0008150	162	0.49390243902439024	1
P17255	GO:0015399	161	0.49085365853658536	1
P33755	GO:0051716	161	0.49085365853658536	1
P33755	GO:0051028	161	0.49085365853658536	1
P26309	GO:0045842	159	0.4847560975609756	1
P32914	GO:0006370	155	0.4725609756097561	1
Q07457	GO:0006302	155	0.4725609756097561	1
P22082	GO:0043167	155	0.4725609756097561	1
P48562	GO:0000324	154	0.4695121951219512	1
P48562	GO:0070201	154	0.4695121951219512	1
P43601	GO:0005976	153	0.46646341463414637	1
P53197	GO:0010498	151	0.4603658536585366	1
P16474	GO:0044183	147	0.4481707317073171	1
P25491	GO:0051131	147	0.4481707317073171	1
P25491	GO:0022607	147	0.4481707317073171	1
P35187	GO:0051052	146	0.4451219512195122	1
P19073	GO:0051047	146	0.4451219512195122	1
P49687	GO:0051668	145	0.4420731707317073	1
P32458	GO:0010314	144	0.43902439024390244	1
P09624	GO:0005739	144	0.43902439024390244	1
P09624	GO:0006793	144	0.43902439024390244	1
P53549	GO:0060260	143	0.43597560975609756	1
P21951	GO:0051536	143	0.43597560975609756	1
P89105	GO:0043231	142	0.4329268292682927	1
P89105	GO:0043170	142	0.4329268292682927	1
P89105	GO:0006282	142	0.4329268292682927	1
P39104	GO:0006644	141	0.4298780487804878	1
P17106	GO:0009893	140	0.4268292682926829	1
Q00955	GO:1901135	139	0.42378048780487804	1
P21576	GO:0099512	138	0.42073170731707316	1
P47047	GO:0010605	137	0.4176829268292683	1
P52891	GO:0000973	137	0.4176829268292683	1
P47047	GO:0043229	137	0.4176829268292683	1
P32468	GO:0005621	136	0.4146341463414634	1
P32468	GO:0016020	136	0.4146341463414634	1
Q08496	GO:0006325	135	0.4115853658536585	1
P25655	GO:0009987	133	0.4054878048780488	1
P32600	GO:0050789	132	0.4024390243902439	1
Q06204	GO:2000243	132	0.4024390243902439	0
Q06204	GO:0000278	132	0.4024390243902439	0
Q06204	GO:0009302	132	0.4024390243902439	0
Q06204	GO:0070592	132	0.4024390243902439	0
P53688	GO:0070592	131	0.39939024390243905	0
P54784	GO:0032553	131	0.39939024390243905	1
P53688	GO:2000243	131	0.39939024390243905	0
P53688	GO:0000278	131	0.39939024390243905	0
P54784	GO:0043167	131	0.39939024390243905	1
P53688	GO:0009302	131	0.39939024390243905	0
P52917	GO:0045185	130	0.39634146341463417	1
Q00578	GO:0110165	130	0.39634146341463417	1
P32345	GO:0006950	129	0.3932926829268293	1
P32563	GO:0022857	129	0.3932926829268293	1
P0CE41	GO:0019222	129	0.3932926829268293	1
Q03898	GO:0072686	129	0.3932926829268293	1
P35817	GO:0001094	128	0.3902439024390244	1
P47142	GO:0070592	128	0.3902439024390244	0
P47142	GO:0000278	128	0.3902439024390244	0
P47142	GO:0009302	128	0.3902439024390244	0
P39008	GO:0009891	127	0.3871951219512195	1
P09880	GO:0005886	127	0.3871951219512195	0
P09880	GO:0051254	127	0.3871951219512195	0
Q02629	GO:0070925	127	0.3871951219512195	1
P09880	GO:0005839	127	0.3871951219512195	0
P09880	GO:0080135	127	0.3871951219512195	0
P09880	GO:0044772	127	0.3871951219512195	0
P09880	GO:0044283	127	0.3871951219512195	0
P09880	GO:0042134	127	0.3871951219512195	0
P09880	GO:0000136	127	0.3871951219512195	0
P00359	GO:0030001	126	0.38414634146341464	1
Q02948	GO:0044249	125	0.38109756097560976	1
Q02948	GO:0006605	125	0.38109756097560976	1
Q12196	GO:0019219	124	0.3780487804878049	1
Q12483	GO:0070592	124	0.3780487804878049	0
Q12483	GO:2000243	124	0.3780487804878049	0
P46674	GO:0022613	124	0.3780487804878049	1
Q12483	GO:0046907	124	0.3780487804878049	1
Q12483	GO:0009302	124	0.3780487804878049	0
P33400	GO:0010605	124	0.3780487804878049	1
P24583	GO:1901363	124	0.3780487804878049	1
