protein	go_term	protein_neighbor	go_neighbor	go_annotated_protein_neighbors	score	norm_score	true_label
P46965	GO:0003676	79	1299	12	1.0	1.0	0
P53941	GO:0044238	119	2843	103	1.0	1.0	1
Q12046	GO:1990904	65	538	55	1.0	1.0	1
P40480	GO:0097159	35	2011	20	1.0	1.0	0
P09624	GO:0005739	75	1188	44	1.0	1.0	1
P89105	GO:0043170	101	2128	72	1.0	1.0	1
P52891	GO:0000973	73	18	13	1.0	1.0	1
Q04372	GO:0097159	24	2011	12	1.0	1.0	0
P04039	GO:0022804	31	181	16	1.0	1.0	1
Q04120	GO:0097159	26	2011	12	1.0	1.0	0
Q12024	GO:0044238	143	2843	116	1.0	1.0	1
P36047	GO:0140352	53	69	2	1.0	1.0	0
Q12041	GO:0005515	4727	2648	2154	1.0	1.0	1
P23748	GO:0019222	39	1202	21	1.0	1.0	0
P25367	GO:0097159	77	2011	33	1.0	1.0	0
P25558	GO:0140352	64	69	0	1.0	1.0	0
P32899	GO:0042254	79	199	49	1.0	1.0	1
Q03088	GO:0019222	62	1202	24	1.0	1.0	0
P27680	GO:0019222	56	1202	13	1.0	1.0	0
P25649	GO:0097159	31	2011	18	1.0	1.0	0
Q12179	GO:0044238	21	2843	16	1.0	1.0	0
P20434	GO:0016070	134	924	83	1.0	1.0	1
Q06337	GO:0019222	46	1202	27	1.0	1.0	0
Q12241	GO:0051179	42	1563	38	1.0	1.0	1
P53191	GO:0019222	34	1202	19	1.0	1.0	0
Q12509	GO:0097159	34	2011	20	1.0	1.0	0
P42846	GO:0044085	122	272	44	1.0	1.0	1
P49955	GO:0005681	102	101	61	1.0	1.0	1
P47047	GO:0043229	189	4612	179	1.0	1.0	1
P39108	GO:0097159	30	2011	15	1.0	1.0	0
Q03707	GO:0097159	39	2011	21	1.0	1.0	0
Q06707	GO:0032993	30	226	20	1.0	1.0	1
P22276	GO:0000428	339	38	20	1.0	1.0	1
Q12250	GO:0140535	127	440	45	1.0	1.0	1
P0CF17	GO:0097159	83	2011	31	1.0	1.0	0
P40364	GO:0097159	69	2011	31	1.0	1.0	0
P38144	GO:0008150	1755	6516	1744	1.0	1.0	1
Q12431	GO:0140352	31	69	0	1.0	1.0	0
P16120	GO:0019222	35	1202	11	1.0	1.0	0
P39717	GO:0019222	24	1202	11	1.0	1.0	0
P53616	GO:0019222	22	1202	12	1.0	1.0	0
P05374	GO:0097159	28	2011	17	1.0	1.0	0
Q08215	GO:0042579	25	139	13	1.0	1.0	1
P25367	GO:0019222	77	1202	26	1.0	1.0	0
P43638	GO:0140352	36	69	0	1.0	1.0	0
P20484	GO:0006139	82	1559	60	1.0	1.0	1
P53629	GO:0140352	39	69	0	0.9999999999999999	1.0	0
Q03375	GO:0019222	62	1202	17	1.0	1.0	0
Q12004	GO:0032774	52	265	25	1.0	1.0	1
Q03944	GO:0140352	39	69	0	1.0	1.0	0
P22035	GO:0008150	2877	6516	2860	1.0	1.0	1
Q12262	GO:0019222	65	1202	18	1.0	1.0	0
Q12321	GO:0051254	56	428	37	1.0	1.0	1
P25386	GO:0019222	24	1202	7	1.0	1.0	0
P36036	GO:0140352	50	69	0	1.0	1.0	0
P26798	GO:0043231	1467	4320	1081	1.0	1.0	1
Q04119	GO:0019222	30	1202	14	1.0	1.0	0
P47024	GO:0019222	18	1202	10	1.0	1.0	0
P38297	GO:0019222	30	1202	10	1.0	1.0	0
Q12462	GO:0019222	41	1202	13	1.0	1.0	0
P46679	GO:0019222	77	1202	30	1.0	1.0	0
P25443	GO:0043232	660	1106	361	1.0	1.0	1
P53176	GO:0022414	51	401	3	1.0	1.0	0
P43591	GO:0044238	8	2843	6	0.9999999999999999	1.0	0
P53740	GO:0044238	13	2843	8	0.9999999999999999	1.0	0
P26784	GO:1901564	298	1519	151	1.0	1.0	1
Q04119	GO:0022414	30	401	4	1.0	1.0	0
P26784	GO:1990904	298	538	141	1.0	1.0	1
P22139	GO:0034654	99	493	53	1.0	1.0	1
Q08913	GO:0044238	7	2843	7	1.0	1.0	0
Q06177	GO:0036211	29	332	1	1.0	1.0	0
P48564	GO:0044238	18	2843	14	1.0	1.0	0
P38112	GO:0097159	152	2011	110	1.0	1.0	1
P40160	GO:0043232	125	1106	86	1.0	1.0	1
P34077	GO:0006606	71	65	28	1.0	1.0	1
P46683	GO:0097159	20	2011	14	1.0	1.0	0
P47141	GO:0019538	55	982	38	1.0	1.0	1
P42946	GO:0044238	17	2843	8	1.0	1.0	0
P28274	GO:0005737	113	2597	85	1.0	1.0	1
P32833	GO:0030466	56	46	12	0.9999999999999999	1.0	1
Q06835	GO:0043170	43	2128	41	1.0	1.0	1
P25443	GO:1901564	660	1519	260	1.0	1.0	1
P50089	GO:0044238	34	2843	17	1.0	1.0	0
P53877	GO:0044085	112	272	39	1.0	1.0	1
Q12030	GO:0031326	75	989	58	1.0	1.0	1
Q02753	GO:0032991	181	2276	139	1.0	1.0	1
P10664	GO:0043170	265	2128	193	1.0	1.0	1
P36114	GO:0044238	35	2843	23	1.0	1.0	0
P34241	GO:0043228	134	1106	92	1.0	1.0	1
P46964	GO:0008250	32	9	7	0.9999999999999999	1.0	1
P23748	GO:0022414	39	401	10	0.9999999999999999	1.0	0
P29478	GO:0036211	38	332	1	1.0	1.0	0
P25443	GO:0097159	660	2011	411	1.0	1.0	1
P31539	GO:0005829	630	996	204	1.0	1.0	1
P25558	GO:0019222	64	1202	24	1.0	1.0	0
P38739	GO:0019222	8	1202	8	1.0	1.0	0
Q06632	GO:0019222	47	1202	19	1.0	1.0	0
Q08058	GO:0044238	9	2843	7	1.0	1.0	0
P17558	GO:0098798	73	206	35	1.0	1.0	1
P36036	GO:0019222	50	1202	18	1.0	1.0	0
P11076	GO:0006892	140	85	20	1.0	1.0	1
P32905	GO:0000054	595	68	42	1.0	1.0	1
P17106	GO:0009893	4996	595	501	1.0	1.0	1
Q08673	GO:0019222	18	1202	11	1.0	1.0	0
Q12124	GO:0048522	51	725	37	1.0	1.0	1
P32600	GO:0050789	130	1737	78	1.0	1.0	1
P32898	GO:0019222	49	1202	10	1.0	1.0	0
Q12136	GO:0016070	169	924	110	1.0	1.0	1
P33895	GO:0043228	131	1106	61	1.0	1.0	1
P38869	GO:0000139	37	177	17	1.0	1.0	1
Q06104	GO:0044238	12	2843	9	1.0	1.0	0
P08004	GO:0022414	30	401	4	1.0	1.0	0
P32563	GO:0022857	101	408	34	1.0	1.0	1
