protein	go_term	walk	norm_score	true_label
WBGene00000923	GO:0006474	0.22748766839504242	1.0	1
WBGene00020115	GO:0047184	0.2197359800338745	0.965924797524819	1
WBGene00003559	GO:0016480	0.2195168286561966	0.9649614425472764	1
WBGene00003806	GO:0032955	0.21853823959827423	0.9606597190084735	1
WBGene00000898	GO:0016500	0.2165611982345581	0.9519689562182773	1
WBGene00015150	GO:0005672	0.21570371091365814	0.9481995768626855	1
WBGene00001210	GO:0003032	0.21365220844745636	0.9391814947808065	1
WBGene00003413	GO:0051597	0.21305766701698303	0.9365679841906813	1
WBGene00000096	GO:0034753	0.21289408206939697	0.9358488904976465	1
WBGene00019656	GO:0015117	0.12079954892396927	0.5310158118733518	1
WBGene00008719	GO:0006910	0.11419358104467392	0.5019770163821439	1
WBGene00011511	GO:0047389	0.11234138160943985	0.4938350390683774	1
WBGene00007505	GO:0060285	0.11225826293230057	0.49346966244059925	1
WBGene00004210	GO:0045879	0.11186046153306961	0.4917209900750267	1
WBGene00010195	GO:0032205	0.1116132065653801	0.4906340961372852	1
WBGene00006434	GO:0008379	0.1115373894572258	0.4903008160580211	1
WBGene00015522	GO:0031127	0.11093395203351974	0.487648200081237	1
WBGene00003183	GO:1902120	0.10972090810537338	0.48231584981933245	1
WBGene00022152	GO:0034274	0.10942239314317703	0.48100362501039046	1
WBGene00000424	GO:0060326	0.10850588977336884	0.47697482038869704	1
WBGene00004807	GO:0046660	0.10824013501405716	0.4758066042775267	1
WBGene00006603	GO:0046351	0.08394061774015427	0.36898974934495204	1
WBGene00006819	GO:0042641	0.07634720206260681	0.3356102886861828	1
WBGene00006447	GO:0008174	0.07490745186805725	0.3292813733444977	1
WBGene00000231	GO:0030716	0.074455626308918	0.32729521927150135	1
WBGene00004920	GO:0034719	0.07385428249835968	0.32465180648872993	1
WBGene00011333	GO:0048255	0.0728171244263649	0.32009262277863226	1
WBGene00011230	GO:0007020	0.0717877671122551	0.31556772997291643	1
WBGene00004740	GO:0050893	0.07075436413288116	0.31102505305919737	1
WBGene00012005	GO:0033120	0.070754274725914	0.311024660040236	1
WBGene00000417	GO:2001056	0.05867582932114601	0.25792971432303236	1
WBGene00001519	GO:0016907	0.0575031042098999	0.25277459923692747	1
WBGene00000962	GO:0008090	0.05624612420797348	0.24724911290707677	1
WBGene00003605	GO:0016922	0.05477053299546242	0.2407626460892419	1
WBGene00013541	GO:0031907	0.05462925508618355	0.2401416106270755	1
WBGene00020902	GO:0097305	0.05406460538506508	0.23765949937637718	1
WBGene00004302	GO:0033750	0.054045431315898895	0.2375752131849477	1
WBGene00000802	GO:0097305	0.053787682205438614	0.23644218864661234	1
WBGene00001519	GO:0004993	0.04655088111758232	0.20463034961853252	1
WBGene00007056	GO:0002759	0.04653724655508995	0.20457041422691957	1
WBGene00020397	GO:0042559	0.04608692601323128	0.20259087597310677	1
WBGene00003475	GO:0034593	0.04524888098239899	0.1989069618658287	1
WBGene00000383	GO:1902807	0.04434514790773392	0.19493429345245475	1
WBGene00008429	GO:1902104	0.04425191506743431	0.1945244565546687	1
WBGene00018181	GO:0009311	0.04386455938220024	0.19282170190441922	1
WBGene00006379	GO:0010085	0.04341815039515495	0.1908593582301675	1
WBGene00007029	GO:0010454	0.04337139055132866	0.19065380931335724	1
WBGene00018369	GO:0030336	0.04319519177079201	0.18987926719518547	1
WBGene00001680	GO:0008277	0.0430125966668129	0.1890766078454838	1
WBGene00016103	GO:0046113	0.041785866022109985	0.18368409293090548	1
WBGene00001790	GO:0006558	0.038241900503635406	0.16810537807801806	1
WBGene00019060	GO:0033540	0.03819410502910614	0.16789527669157162	1
WBGene00019376	GO:0006641	0.0379585437476635	0.1668597863588228	1
WBGene00001303	GO:0008320	0.03773907199501991	0.1658950230633352	1
WBGene00001413	GO:0071900	0.03762363642454147	0.1653875864568024	1
WBGene00003918	GO:0035088	0.03703628480434418	0.16280568114148952	1
WBGene00016020	GO:0061245	0.036769554018974304	0.16163317457332388	1
WBGene00002187	GO:0031348	0.03672909364104271	0.161455317117502	1
WBGene00008624	GO:0016864	0.03670831769704819	0.16136398933634752	1
WBGene00004387	GO:0071028	0.03649645671248436	0.16043268177994882	1
WBGene00000220	GO:0048511	0.03593660518527031	0.15797166254684541	1
WBGene00003517	GO:0005310	0.03507201373577118	0.15417105455961275	1
WBGene00000422	GO:0015914	0.03320690244436264	0.1459723187575046	1
WBGene00018878	GO:0048488	0.03237906098365784	0.1423332579391959	1
WBGene00000207	GO:0045263	0.031964898109436035	0.14051266310368776	1
WBGene00001855	GO:0031492	0.03175196424126625	0.1395766393197523	1
WBGene00003185	GO:0007254	0.03170875832438469	0.13938671290665755	1
WBGene00006752	GO:0042734	0.03157467767596245	0.13879731547088356	1
WBGene00016400	GO:0071692	0.03099900297820568	0.13626674006950804	1
WBGene00003389	GO:0040022	0.030925119295716286	0.13594195902528416	1
WBGene00015515	GO:0008608	0.028953375294804573	0.1272744826085507	1
WBGene00016506	GO:0071617	0.028241248801350594	0.12414408658102914	1
WBGene00012204	GO:0046915	0.028129830956459045	0.12365431126407408	1
WBGene00003884	GO:0005871	0.02809886634349823	0.1235181956971105	1
WBGene00012712	GO:0046915	0.02798759564757347	0.12302906722386275	1
WBGene00020149	GO:0016701	0.027843844145536423	0.12239715823709772	1
WBGene00004055	GO:0093002	0.02749621868133545	0.12086905138781873	1
WBGene00007755	GO:0031674	0.02688530460000038	0.11818356920038786	1
WBGene00018271	GO:0004180	0.02521667629480362	0.11084854169331826	1
WBGene00016340	GO:0006687	0.024858716875314713	0.10927500840241788	1
WBGene00019428	GO:0006638	0.02471584640443325	0.10864697229000161	1
WBGene00000907	GO:0017015	0.02453993633389473	0.10787369929555936	1
WBGene00011344	GO:0005802	0.024485744535923004	0.10763548067758304	1
WBGene00009973	GO:0016628	0.024462945759296417	0.10753526084242697	1
WBGene00012375	GO:0016628	0.024423789232969284	0.10736313491312545	1
WBGene00002215	GO:1990138	0.024262959137558937	0.10665615111683871	1
WBGene00001130	GO:0032154	0.023939382284879684	0.10523375818028029	1
WBGene00003606	GO:0009755	0.02385309524834156	0.10485445394305772	1
WBGene00003168	GO:0005272	0.023667585104703903	0.10403898053763552	1
WBGene00003736	GO:0015297	0.023228716105222702	0.10210978146246155	1
WBGene00000907	GO:0014070	0.02222791314125061	0.09771040908754164	1
WBGene00004931	GO:0030145	0.022210456430912018	0.097633672135329	1
WBGene00001184	GO:0035239	0.021390095353126526	0.09402749390345712	1
WBGene00000123	GO:0034062	0.021227676421403885	0.09331352583271056	1
WBGene00004333	GO:0007131	0.0205171350389719	0.09019009770385877	1
WBGene00019362	GO:0000307	0.020480677485466003	0.0900298360344544	1
WBGene00001648	GO:0031683	0.020411323755979538	0.08972496795094127	1
WBGene00019747	GO:0005546	0.02035391330718994	0.08947260065035467	1
WBGene00000084	GO:1902414	0.02032488025724888	0.08934497593053625	1
WBGene00010453	GO:0010455	0.019950037822127342	0.0876972275590922	1
WBGene00012376	GO:0016651	0.019881175830960274	0.08739452107986675	1
WBGene00004775	GO:0048285	0.01979580707848072	0.08701925347489352	1
WBGene00001209	GO:0070993	0.019693341106176376	0.08656882918144827	1
WBGene00006752	GO:0140056	0.01946594938635826	0.08556925095629701	1
WBGene00015083	GO:0030703	0.019121389836072922	0.08405462138223589	1
WBGene00000788	GO:0040032	0.018356269225478172	0.08069127155324173	1
WBGene00000085	GO:0060456	0.018041737377643585	0.07930863903494456	1
WBGene00014027	GO:1901681	0.01787840574979782	0.07859065889563376	1
WBGene00007184	GO:0001099	0.017657127231359482	0.07761795334196796	1
WBGene00003991	GO:0045185	0.0174875445663929	0.07687249462693953	1
WBGene00003989	GO:0045185	0.017376558855175972	0.07638461890163122	1
WBGene00020636	GO:0006120	0.017349854111671448	0.07626722905059916	1
WBGene00000238	GO:0010623	0.016676347702741623	0.07330660083861076	1
WBGene00001583	GO:1905820	0.016532177105545998	0.07267284957546419	1
WBGene00000940	GO:0043487	0.016249239444732666	0.07142910013265046	1
WBGene00020636	GO:0015453	0.016063261777162552	0.07061157156557597	1
WBGene00004077	GO:0044062	0.01599591039121151	0.07031550546921911	1
WBGene00000406	GO:0090727	0.015852482989430428	0.06968502117618916	1
WBGene00001663	GO:0005834	0.0157058984041214	0.06904065840108489	1
WBGene00020636	GO:0009410	0.015657855197787285	0.06882946802459958	1
WBGene00004889	GO:0050768	0.01547950692474842	0.06804547707556424	1
WBGene00017054	GO:0004601	0.015439859591424465	0.06787119363592256	1
WBGene00006789	GO:0045214	0.015417804010212421	0.0677742407708831	1
WBGene00003571	GO:0006874	0.015310335904359818	0.06730182788533724	1
WBGene00008567	GO:1901657	0.01499899011105299	0.06593320076148734	1
WBGene00002010	GO:0140662	0.014938118867576122	0.0656656203519367	1
WBGene00006772	GO:0042755	0.014898819848895073	0.06549286804866544	1
WBGene00000196	GO:0000049	0.014846217818558216	0.06526163779909644	1
WBGene00000168	GO:0009948	0.014711452648043633	0.06466923131189926	1
WBGene00020035	GO:0040038	0.014657501131296158	0.06443206893238168	1
WBGene00000817	GO:0019783	0.01461919117718935	0.06426366440137088	1
WBGene00004904	GO:0006865	0.013999942690134048	0.06154154547763234	1
WBGene00002978	GO:0003012	0.013874528929591179	0.060990246317428706	1
WBGene00010983	GO:0070279	0.013590500690042973	0.05974170286207543	1
WBGene00013209	GO:0043130	0.013546966947615147	0.059550335379455546	1
WBGene00000420	GO:0006909	0.013274344615638256	0.05835193049931291	1
WBGene00022271	GO:0099003	0.013048111461102962	0.057357445144869734	1
WBGene00018586	GO:0043130	0.01303795725107193	0.057312808835118655	1
