protein	goTerm	proProNeighbor	goNeighbor	goAnnotatedProProNeighbors	score
FBgn0001202	GO:0030705	54	4	0	0.0
FBgn0032030	GO:0030705	87	4	0	0.0
FBgn0086916	GO:0001669	1	3	0	0.0
FBgn0003731	GO:0001669	637	3	0	0.0
FBgn0260798	GO:0007165	35	199	2	0.008547008547008548
FBgn0025334	GO:0007165	68	199	3	0.011235955056179775
FBgn0035057	GO:0003674	30	3150	0	0.0
FBgn0016660	GO:0003674	3	3150	0	0.0
FBgn0034627	GO:0005737	12	1863	6	0.0032
FBgn0024941	GO:0005737	19	1863	7	0.0037194473963868225
FBgn0267698	GO:0031594	188	96	5	0.017605633802816902
FBgn0053844	GO:0031594	0	96	0	0.0
FBgn0029858	GO:0030678	58	3	2	0.03278688524590164
FBgn0260753	GO:0030678	0	3	0	0.0
FBgn0286198	GO:0005829	0	1082	0	0.0
FBgn0032387	GO:0005829	0	1082	0	0.0
FBgn0053814	GO:0000786	0	124	0	0.0
FBgn0037874	GO:0000786	94	124	0	0.0
FBgn0039254	GO:0045494	28	19	0	0.0
FBgn0039343	GO:0045494	52	19	0	0.0
FBgn0039858	GO:0045927	183	14	0	0.0
FBgn0011864	GO:0045927	0	14	0	0.0
FBgn0259795	GO:0070006	2	33	0	0.0
FBgn0030674	GO:0070006	308	33	0	0.0
FBgn0039054	GO:0048190	11	55	1	0.015151515151515152
FBgn0050098	GO:0048190	1	55	0	0.0
FBgn0015022	GO:0003682	0	174	0	0.0
FBgn0041775	GO:0003682	74	174	4	0.016129032258064516
FBgn0000153	GO:0019483	8	1	0	0.0
FBgn0287873	GO:0019483	0	1	0	0.0
FBgn0003984	GO:0048513	25	6	0	0.0
FBgn0264503	GO:0048513	2	6	0	0.0
FBgn0053504	GO:0016604	9	21	1	0.03333333333333333
FBgn0034143	GO:0016604	1	21	0	0.0
FBgn0039886	GO:0055085	57	388	2	0.0044943820224719105
FBgn0003254	GO:0055085	11	388	0	0.0
FBgn0022764	GO:0003714	136	53	11	0.0582010582010582
FBgn0263033	GO:0003714	0	53	0	0.0
FBgn0011599	GO:0007409	0	64	0	0.0
FBgn0053821	GO:0007409	0	64	0	0.0
FBgn0004878	GO:0016319	12	90	0	0.0
FBgn0011599	GO:0016319	0	90	0	0.0
FBgn0038478	GO:0030674	7	30	0	0.0
FBgn0259794	GO:0030674	100	30	0	0.0
FBgn0015799	GO:0051276	108	68	3	0.017045454545454544
FBgn0011938	GO:0051276	0	68	0	0.0
FBgn0030558	GO:0030170	13	32	0	0.0
FBgn0002945	GO:0030170	10	32	0	0.0
FBgn0051784	GO:0008150	4	1771	0	0.0
FBgn0052039	GO:0008150	1	1771	0	0.0
FBgn0036556	GO:0005886	38	1052	6	0.005504587155963303
FBgn0002938	GO:0005886	30	1052	6	0.005545286506469501
FBgn0053817	GO:0003677	0	610	0	0.0
FBgn0040273	GO:0003677	206	610	27	0.03308823529411765
FBgn0045486	GO:0008527	1	57	0	0.0
FBgn0004513	GO:0008527	24	57	0	0.0
FBgn0039697	GO:0009055	54	16	1	0.014285714285714285
FBgn0033192	GO:0009055	2	16	0	0.0
FBgn0027106	GO:0016020	14	1524	2	0.0013003901170351106
FBgn0038271	GO:0016020	131	1524	12	0.0072507552870090634
FBgn0037000	GO:0071577	2	12	0	0.0
FBgn0026207	GO:0071577	60	12	0	0.0
FBgn0051092	GO:0032370	21	2	1	0.043478260869565216
FBgn0004896	GO:0032370	93	2	0	0.0
FBgn0000163	GO:0035091	55	32	0	0.0
FBgn0266672	GO:0035091	46	32	0	0.0
FBgn0039784	GO:0016705	1	116	0	0.0
FBgn0030354	GO:0016705	433	116	0	0.0
FBgn0266673	GO:0016192	117	141	10	0.03875968992248062
FBgn0014340	GO:0016192	40	141	0	0.0
FBgn0028292	GO:0007163	36	22	0	0.0
FBgn0024371	GO:0007163	82	22	0	0.0
FBgn0028950	GO:0008270	0	516	0	0.0
FBgn0250847	GO:0008270	4	516	0	0.0
FBgn0250791	GO:0035494	193	4	2	0.01015228426395939
FBgn0250788	GO:0035494	86	4	0	0.0
FBgn0032816	GO:0048749	66	115	2	0.011049723756906077
FBgn0026079	GO:0048749	47	115	2	0.012345679012345678
FBgn0017590	GO:0050808	5	59	0	0.0
FBgn0005672	GO:0050808	355	59	3	0.007246376811594203
FBgn0039846	GO:0005829	12	1082	0	0.0
FBgn0010097	GO:0005829	170	1082	21	0.016773162939297124
FBgn0262432	GO:0061358	4	1	0	0.0
FBgn0003977	GO:0061358	24	1	0	0.0
FBgn0034156	GO:0005432	3	7	0	0.0
FBgn0053526	GO:0005432	25	7	0	0.0
FBgn0287768	GO:0055059	0	29	0	0.0
FBgn0037976	GO:0055059	3	29	0	0.0
FBgn0001961	GO:0005885	374	8	7	0.01832460732984293
FBgn0010407	GO:0005885	13	8	0	0.0
FBgn0032609	GO:0000166	28	72	2	0.02
FBgn0027586	GO:0000166	3	72	0	0.0
FBgn0038838	GO:0034644	3	7	0	0.0
FBgn0085413	GO:0034644	6	7	0	0.0
FBgn0033117	GO:0008296	44	7	0	0.0
FBgn0004635	GO:0008296	128	7	0	0.0
FBgn0002707	GO:0005515	39	958	7	0.007021063189568706
FBgn0021764	GO:0005515	51	958	5	0.004955401387512388
FBgn0022986	GO:0003676	180	369	30	0.0546448087431694
FBgn0038837	GO:0003676	13	369	0	0.0
FBgn0028686	GO:0005838	176	21	20	0.10152284263959391
FBgn0003964	GO:0005838	62	21	0	0.0
FBgn0036436	GO:0005615	0	685	0	0.0
FBgn0003169	GO:0005615	28	685	6	0.008415147265077139
FBgn0053872	GO:0000786	0	124	0	0.0
FBgn0026373	GO:0000786	108	124	2	0.008620689655172414
FBgn0261988	GO:0048260	163	9	1	0.005813953488372093
FBgn0038197	GO:0048260	192	9	1	0.004975124378109453
FBgn0000688	GO:0005575	0	2646	0	0.0
FBgn0034221	GO:0005575	7	2646	0	0.0
FBgn0029887	GO:0006376	19	7	0	0.0
FBgn0013765	GO:0006376	133	7	1	0.007142857142857143
FBgn0000273	GO:0045880	409	44	9	0.019867549668874173
FBgn0031529	GO:0045880	23	44	0	0.0
FBgn0014135	GO:0007424	28	94	2	0.01639344262295082
FBgn0038928	GO:0007424	105	94	1	0.005025125628140704
FBgn0263267	GO:0008406	0	36	0	0.0
FBgn0022943	GO:0008406	152	36	1	0.005319148936170213
FBgn0264000	GO:0016020	29	1524	4	0.0025756600128783
FBgn0011300	GO:0016020	118	1524	13	0.007917174177831911
FBgn0264357	GO:0005737	70	1863	26	0.013450594930160372
FBgn0033952	GO:0005737	1	1863	0	0.0
FBgn0086356	GO:0008104	61	69	2	0.015384615384615385
FBgn0033216	GO:0008104	6	69	0	0.0
FBgn0263107	GO:0035195	0	156	0	0.0
FBgn0023083	GO:0035195	31	156	0	0.0
FBgn0003158	GO:0048477	0	248	0	0.0
FBgn0061200	GO:0048477	75	248	5	0.015479876160990712
FBgn0014340	GO:0016456	40	6	4	0.08695652173913043
FBgn0003720	GO:0016456	38	6	0	0.0
FBgn0023215	GO:0046982	58	217	2	0.007272727272727273
FBgn0035298	GO:0046982	15	217	0	0.0
FBgn0037069	GO:0062129	24	134	0	0.0
FBgn0287788	GO:0062129	0	134	0	0.0
FBgn0015239	GO:0007424	35	94	0	0.0
FBgn0051007	GO:0007424	6	94	0	0.0
FBgn0010714	GO:0003674	0	3150	0	0.0
FBgn0051159	GO:0003674	14	3150	0	0.0
FBgn0026196	GO:0006364	360	60	37	0.0880952380952381
FBgn0053846	GO:0006364	0	60	0	0.0
FBgn0026309	GO:0004483	2	2	0	0.0
FBgn0085450	GO:0004483	70	2	0	0.0
FBgn0262101	GO:0003674	0	3150	0	0.0
FBgn0011604	GO:0003674	131	3150	2	0.0006095702529716549
FBgn0039594	GO:0005524	0	643	0	0.0
FBgn0067780	GO:0005524	0	643	0	0.0
FBgn0035001	GO:0030866	25	33	1	0.017241379310344827
FBgn0016075	GO:0030866	233	33	1	0.0037593984962406013
FBgn0260386	GO:0005576	2	499	0	0.0
FBgn0033623	GO:0005576	1	499	0	0.0
FBgn0038438	GO:0000839	142	2	1	0.006944444444444444
FBgn0017550	GO:0000839	13	2	0	0.0
FBgn0052328	GO:0006412	0	558	0	0.0
FBgn0027080	GO:0006412	32	558	2	0.003389830508474576
FBgn0026061	GO:0052745	2	3	0	0.0
FBgn0033897	GO:0052745	22	3	0	0.0
FBgn0005695	GO:0045892	74	137	0	0.0
FBgn0035032	GO:0045892	44	137	0	0.0
FBgn0019890	GO:0042162	14	6	1	0.05
FBgn0043456	GO:0042162	40	6	0	0.0
FBgn0260753	GO:0016020	0	1524	0	0.0
FBgn0015372	GO:0016020	18	1524	5	0.00324254215304799
FBgn0002938	GO:0007602	30	48	4	0.05128205128205128
FBgn0067772	GO:0007602	0	48	0	0.0
FBgn0033069	GO:0071541	4	4	0	0.0
FBgn0010425	GO:0071541	17	4	0	0.0
FBgn0053260	GO:0008033	2	33	0	0.0
FBgn0039581	GO:0008033	90	33	0	0.0
FBgn0034049	GO:0007464	24	12	0	0.0
FBgn0052673	GO:0007464	0	12	0	0.0
FBgn0003654	GO:0051642	91	16	5	0.04672897196261682
FBgn0005616	GO:0051642	27	16	0	0.0
FBgn0038016	GO:0005634	48	2250	27	0.01174934725848564
FBgn0014020	GO:0005634	143	2250	33	0.013790221479314668
FBgn0000382	GO:0008293	119	22	8	0.05673758865248227
FBgn0259896	GO:0008293	105	22	0	0.0
FBgn0035111	GO:0006402	34	22	0	0.0
FBgn0004644	GO:0006402	28	22	0	0.0
FBgn0036421	GO:0004842	0	101	0	0.0
FBgn0032820	GO:0004842	105	101	3	0.014563106796116505
FBgn0261049	GO:0000149	35	36	6	0.08450704225352113
FBgn0086656	GO:0000149	142	36	2	0.011235955056179775
FBgn0285947	GO:0003735	71	290	3	0.008310249307479225
FBgn0011274	GO:0003735	270	290	4	0.007142857142857143
FBgn0032833	GO:0005751	78	20	7	0.07142857142857142
FBgn0261797	GO:0005751	128	20	0	0.0
FBgn0038342	GO:0035869	8	19	1	0.037037037037037035
FBgn0035112	GO:0035869	3	19	0	0.0
FBgn0028421	GO:0005515	22	958	2	0.0020408163265306124
FBgn0001186	GO:0005515	96	958	19	0.018026565464895637
FBgn0020224	GO:0061630	163	148	3	0.00964630225080386
FBgn0053547	GO:0061630	26	148	0	0.0
FBgn0259955	GO:0004867	0	81	0	0.0
FBgn0000439	GO:0004867	52	81	0	0.0
FBgn0261549	GO:0007205	26	5	0	0.0
FBgn0033065	GO:0007205	131	5	0	0.0
FBgn0052413	GO:0016603	1	4	0	0.0
FBgn0031972	GO:0016603	198	4	0	0.0
FBgn0265089	GO:0005737	100	1863	34	0.017320427916454408
FBgn0002633	GO:0005737	71	1863	13	0.00672182006204757
FBgn0030215	GO:0042407	5	9	0	0.0
FBgn0036273	GO:0042407	7	9	0	0.0
FBgn0086348	GO:0005737	13	1863	8	0.0042643923240938165
FBgn0033649	GO:0005737	1	1863	0	0.0
FBgn0003731	GO:0009925	637	13	4	0.006153846153846154
FBgn0032129	GO:0009925	22	13	0	0.0
FBgn0003068	GO:0045475	43	62	11	0.10476190476190476
FBgn0031522	GO:0045475	27	62	0	0.0
FBgn0023519	GO:0005762	8	50	1	0.017241379310344827
FBgn0039732	GO:0005762	22	50	0	0.0
FBgn0053246	GO:0019887	0	26	0	0.0
FBgn0023096	GO:0019887	7	26	0	0.0
FBgn0034911	GO:0005328	1	11	0	0.0
FBgn0033485	GO:0005328	99	11	0	0.0
FBgn0000808	GO:0004252	5	280	2	0.007017543859649123
FBgn0034740	GO:0004252	5	280	0	0.0
FBgn0267972	GO:0030433	35	32	6	0.08955223880597014
FBgn0003169	GO:0030433	28	32	0	0.0
FBgn0031634	GO:0005929	2	59	0	0.0
FBgn0039679	GO:0005929	0	59	0	0.0
FBgn0030500	GO:0000776	63	45	16	0.14814814814814814
FBgn0013325	GO:0000776	163	45	1	0.004807692307692308
FBgn0284084	GO:0048018	16	38	0	0.0
FBgn0036899	GO:0048018	2	38	0	0.0
FBgn0033302	GO:0005506	131	151	60	0.2127659574468085
FBgn0039403	GO:0005506	53	151	0	0.0
FBgn0041184	GO:0005118	16	4	1	0.05
FBgn0029823	GO:0005118	261	4	0	0.0
FBgn0003129	GO:0003677	55	610	8	0.012030075187969926
FBgn0021796	GO:0003677	135	610	6	0.008053691275167786
FBgn0038542	GO:0007186	0	156	0	0.0
FBgn0033387	GO:0007186	9	156	0	0.0
FBgn0011289	GO:0006366	62	42	8	0.07692307692307693
FBgn0004587	GO:0006366	348	42	2	0.005128205128205128
FBgn0037665	GO:0008146	9	15	2	0.08333333333333333
FBgn0036438	GO:0008146	11	15	0	0.0
FBgn0263005	GO:0030206	10	5	1	0.06666666666666667
FBgn0043533	GO:0030206	13	5	0	0.0
FBgn0041191	GO:1902669	165	13	3	0.016853932584269662
FBgn0014135	GO:1902669	28	13	1	0.024390243902439025
FBgn0004435	GO:0003924	36	148	0	0.0
FBgn0030576	GO:0003924	7	148	0	0.0
FBgn0027617	GO:0003723	13	486	2	0.004008016032064128
FBgn0039160	GO:0003723	67	486	2	0.003616636528028933
FBgn0264307	GO:0008356	50	24	0	0.0
FBgn0037874	GO:0008356	94	24	0	0.0
FBgn0053452	GO:0006412	0	558	0	0.0
FBgn0000259	GO:0006412	376	558	6	0.006423982869379015
FBgn0000370	GO:0007552	18	36	1	0.018518518518518517
FBgn0010197	GO:0007552	2	36	0	0.0
FBgn0026573	GO:0000792	22	42	3	0.046875
FBgn0020251	GO:0000792	9	42	0	0.0
FBgn0050481	GO:0003735	6	290	0	0.0
FBgn0284249	GO:0003735	15	290	0	0.0
FBgn0035233	GO:0045046	18	3	1	0.047619047619047616
FBgn0002609	GO:0045046	31	3	0	0.0
FBgn0039188	GO:0033106	56	3	0	0.0
FBgn0004824	GO:0033106	0	3	0	0.0
FBgn0270927	GO:0005615	5	685	1	0.0014492753623188406
FBgn0036610	GO:0005615	1	685	1	0.0014577259475218659
FBgn0021795	GO:0012505	248	202	20	0.044444444444444446
FBgn0004861	GO:0012505	81	202	0	0.0
FBgn0086675	GO:0003723	973	486	96	0.06579849211788896
FBgn0015828	GO:0003723	149	486	18	0.028346456692913385
FBgn0011260	GO:0097374	77	5	1	0.012195121951219513
FBgn0021825	GO:0097374	71	5	0	0.0
FBgn0045770	GO:0008233	4	178	0	0.0
FBgn0026653	GO:0008233	0	178	0	0.0
FBgn0036397	GO:0016239	12	11	2	0.08695652173913043
FBgn0010303	GO:0016239	61	11	0	0.0
FBgn0001319	GO:0003677	51	610	10	0.015128593040847202
FBgn0243512	GO:0003677	37	610	2	0.0030911901081916537
FBgn0053854	GO:0030527	0	121	0	0.0
FBgn0003317	GO:0030527	80	121	0	0.0
FBgn0261797	GO:0005938	128	100	7	0.03070175438596491
FBgn0011640	GO:0005938	66	100	1	0.006024096385542169
FBgn0002948	GO:0031116	4	6	0	0.0
FBgn0028837	GO:0031116	163	6	0	0.0
FBgn0010501	GO:1900074	125	11	0	0.0
FBgn0013762	GO:1900074	90	11	0	0.0
FBgn0283724	GO:0071683	16	15	0	0.0
FBgn0033323	GO:0071683	3	15	0	0.0
FBgn0017567	GO:0008137	14	16	2	0.06666666666666667
FBgn0030882	GO:0008137	17	16	0	0.0
FBgn0024510	GO:0005737	16	1863	7	0.0037253858435337944
FBgn0035110	GO:0005737	61	1863	23	0.011954261954261955
FBgn0024150	GO:0005886	5	1052	2	0.001892147587511826
FBgn0036670	GO:0005886	13	1052	3	0.0028169014084507044
FBgn0020654	GO:0035182	0	3	0	0.0
FBgn0015794	GO:0035182	107	3	0	0.0
FBgn0024944	GO:0005886	50	1052	5	0.004537205081669692
FBgn0263206	GO:0005886	0	1052	0	0.0
FBgn0035486	GO:0008527	0	57	0	0.0
FBgn0040491	GO:0008527	8	57	0	0.0
FBgn0062518	GO:0003674	0	3150	0	0.0
FBgn0033761	GO:0003674	13	3150	1	0.0003161555485298767
FBgn0001147	GO:0000981	15	415	0	0.0
FBgn0052529	GO:0000981	15	415	0	0.0
FBgn0010441	GO:0007165	74	199	10	0.03663003663003663
FBgn0261113	GO:0007165	11	199	0	0.0
FBgn0037620	GO:0035145	6	7	1	0.07692307692307693
FBgn0030608	GO:0035145	190	7	0	0.0
FBgn0034650	GO:0006366	43	42	2	0.023529411764705882
FBgn0052655	GO:0006366	12	42	0	0.0
FBgn0031617	GO:0019953	0	220	0	0.0
FBgn0000273	GO:0019953	409	220	2	0.003179650238473768
FBgn0011277	GO:0046983	143	74	3	0.013824884792626729
FBgn0032538	GO:0046983	28	74	0	0.0
FBgn0262036	GO:0005575	0	2646	0	0.0
FBgn0037059	GO:0005575	23	2646	2	0.0007493443237167478
FBgn0026392	GO:0007608	2	116	0	0.0
FBgn0027889	GO:0007608	88	116	1	0.004901960784313725
FBgn0053362	GO:0022626	0	175	0	0.0
FBgn0033096	GO:0022626	19	175	0	0.0
FBgn0034786	GO:0007268	7	72	0	0.0
FBgn0031976	GO:0007268	2	72	0	0.0
FBgn0001978	GO:0008270	72	516	5	0.008503401360544218
FBgn0036368	GO:0008270	13	516	0	0.0
FBgn0262160	GO:0000122	7	222	0	0.0
FBgn0034232	GO:0000122	77	222	2	0.006688963210702341
FBgn0026738	GO:0004843	15	40	0	0.0
FBgn0039972	GO:0004843	40	40	0	0.0
FBgn0283509	GO:0016020	6	1524	0	0.0
FBgn0027948	GO:0016020	37	1524	3	0.0019218449711723255
FBgn0003277	GO:0001055	269	9	8	0.02877697841726619
FBgn0034129	GO:0001055	4	9	0	0.0
FBgn0015024	GO:0035331	92	45	7	0.051094890510948905
FBgn0011802	GO:0035331	11	45	0	0.0
FBgn0043997	GO:0005575	0	2646	0	0.0
FBgn0040508	GO:0005575	0	2646	0	0.0
FBgn0033883	GO:0019166	21	1	0	0.0
FBgn0025825	GO:0019166	119	1	0	0.0
FBgn0031803	GO:0006814	1	61	0	0.0
FBgn0039386	GO:0006814	0	61	0	0.0
FBgn0005536	GO:0007391	88	104	7	0.036458333333333336
FBgn0029849	GO:0007391	5	104	0	0.0
FBgn0042094	GO:0046899	19	1	0	0.0
FBgn0039054	GO:0046899	11	1	0	0.0
FBgn0011640	GO:2000767	66	5	0	0.0
FBgn0003330	GO:2000767	474	5	1	0.0020876826722338203
FBgn0266538	GO:0008150	0	1771	0	0.0
FBgn0263782	GO:0008150	73	1771	0	0.0
FBgn0010435	GO:0005044	8	22	0	0.0
FBgn0036821	GO:0005044	11	22	0	0.0
FBgn0036319	GO:0005337	0	5	0	0.0
FBgn0036565	GO:0005337	18	5	0	0.0
FBgn0004379	GO:0007141	23	11	0	0.0
FBgn0013751	GO:0007141	7	11	0	0.0
FBgn0022764	GO:0045893	136	145	15	0.05338078291814947
FBgn0003464	GO:0045893	80	145	2	0.008888888888888889
FBgn0035120	GO:0008017	10	116	2	0.015873015873015872
FBgn0037485	GO:0008017	2	116	0	0.0
FBgn0038934	GO:0005737	36	1863	12	0.00631911532385466
FBgn0029836	GO:0005737	1	1863	1	0.000536480686695279
FBgn0260941	GO:0019706	3	24	0	0.0
FBgn0030766	GO:0019706	0	24	0	0.0
FBgn0051015	GO:0005783	2	315	0	0.0
FBgn0039251	GO:0005783	3	315	0	0.0
FBgn0044093	GO:0003674	0	3150	0	0.0
FBgn0015622	GO:0003674	176	3150	4	0.0012026458208057728
FBgn0052473	GO:0006508	27	498	2	0.0038095238095238095
FBgn0027291	GO:0006508	192	498	1	0.0014492753623188406
FBgn0035299	GO:0005739	18	623	6	0.0093603744149766
FBgn0026598	GO:0005739	33	623	0	0.0
FBgn0032863	GO:0051301	98	9	2	0.018691588785046728
FBgn0036999	GO:0051301	317	9	1	0.003067484662576687
FBgn0036330	GO:0043186	0	47	0	0.0
FBgn0028734	GO:0043186	249	47	4	0.013513513513513514
FBgn0024258	GO:0007628	0	20	0	0.0
FBgn0053410	GO:0007628	0	20	0	0.0
FBgn0264491	GO:0007284	64	4	0	0.0
FBgn0032368	GO:0007284	1	4	0	0.0
FBgn0033504	GO:0007605	113	73	0	0.0
FBgn0011661	GO:0007605	230	73	2	0.006600660066006601
FBgn0053113	GO:0007029	264	17	1	0.0035587188612099642
FBgn0035800	GO:0007029	7	17	0	0.0
FBgn0004380	GO:0003777	44	28	2	0.027777777777777776
FBgn0051072	GO:0003777	0	28	0	0.0
FBgn0001169	GO:0090571	30	5	1	0.02857142857142857
FBgn0262739	GO:0090571	133	5	0	0.0
FBgn0038766	GO:0005634	64	2250	27	0.011668107173725151
FBgn0024944	GO:0005634	50	2250	16	0.006956521739130435
FBgn0011692	GO:0005634	129	2250	47	0.019756200084068937
FBgn0030607	GO:0005634	13	2250	2	0.0008837825894829872
FBgn0020622	GO:0008286	233	33	6	0.022556390977443608
FBgn0031613	GO:0008286	26	33	0	0.0
FBgn0283680	GO:0005634	23	2250	8	0.0035195776506819184
FBgn0032834	GO:0005634	4	2250	1	0.00044365572315882877
FBgn0051133	GO:0006434	5	3	0	0.0
FBgn0086384	GO:0006434	199	3	0	0.0
FBgn0037924	GO:0008139	8	19	1	0.037037037037037035
FBgn0010333	GO:0008139	200	19	2	0.0091324200913242
FBgn0039857	GO:0005840	167	234	47	0.1172069825436409
FBgn0036896	GO:0005840	19	234	1	0.003952569169960474
FBgn0004373	GO:0048015	6	8	0	0.0
FBgn0262519	GO:0048015	368	8	0	0.0
FBgn0264753	GO:0005886	26	1052	5	0.00463821892393321
FBgn0003459	GO:0005886	10	1052	4	0.003766478342749529
FBgn0261885	GO:0035060	78	16	11	0.11702127659574468
FBgn0000317	GO:0035060	19	16	0	0.0
FBgn0062605	GO:0005575	0	2646	0	0.0
FBgn0259483	GO:0005575	124	2646	3	0.0010830324909747292
FBgn0041174	GO:0007424	15	94	2	0.01834862385321101
FBgn0263113	GO:0007424	1	94	0	0.0
FBgn0034728	GO:0006302	92	32	5	0.04032258064516129
FBgn0030993	GO:0006302	221	32	0	0.0
FBgn0053208	GO:0007411	35	167	4	0.019801980198019802
FBgn0287720	GO:0007411	0	167	0	0.0
FBgn0039889	GO:0032154	10	37	0	0.0
FBgn0000229	GO:0032154	201	37	3	0.012605042016806723
FBgn0035401	GO:0006490	47	4	1	0.0196078431372549
FBgn0283472	GO:0006490	192	4	0	0.0
FBgn0031971	GO:0045333	4	6	0	0.0
FBgn0032026	GO:0045333	9	6	0	0.0
FBgn0064225	GO:0022625	188	58	17	0.06910569105691057
FBgn0035089	GO:0022625	1	58	0	0.0
FBgn0030089	GO:0005802	58	43	3	0.0297029702970297
FBgn0010441	GO:0005802	74	43	0	0.0
FBgn0026439	GO:0015813	9	6	0	0.0
FBgn0266557	GO:0015813	52	6	0	0.0
FBgn0051784	GO:0005575	4	2646	0	0.0
FBgn0024754	GO:0005575	39	2646	0	0.0
FBgn0035046	GO:0005747	16	52	2	0.029411764705882353
FBgn0261053	GO:0005747	14	52	0	0.0
FBgn0028360	GO:0045740	52	4	1	0.017857142857142856
FBgn0051158	GO:0045740	21	4	0	0.0
FBgn0260399	GO:0005515	16	958	7	0.007186858316221766
FBgn0019650	GO:0005515	70	958	25	0.024319066147859923
FBgn0011747	GO:0045170	22	8	2	0.06666666666666667
FBgn0004552	GO:0045170	1	8	0	0.0
FBgn0039788	GO:0005737	99	1863	41	0.02089704383282365
FBgn0261549	GO:0005737	26	1863	6	0.0031762837480148226
FBgn0250791	GO:0007268	193	72	4	0.01509433962264151
FBgn0286781	GO:0007268	0	72	0	0.0
FBgn0037017	GO:0005768	1	80	0	0.0
FBgn0267435	GO:0005768	1	80	0	0.0
FBgn0267432	GO:0005858	2	8	0	0.0
FBgn0053208	GO:0005858	35	8	0	0.0
FBgn0030208	GO:0000278	8	151	1	0.006289308176100629
FBgn0015793	GO:0000278	14	151	0	0.0
FBgn0039233	GO:0003723	81	486	18	0.031746031746031744
FBgn0003277	GO:0003723	269	486	29	0.038410596026490065
FBgn0035733	GO:0031681	12	4	0	0.0
FBgn0052382	GO:0031681	0	4	0	0.0
FBgn0027506	GO:0004438	11	5	0	0.0
FBgn0031873	GO:0004438	68	5	0	0.0
FBgn0260933	GO:0097730	8	10	0	0.0
FBgn0039818	GO:0097730	2	10	0	0.0
FBgn0029789	GO:0050185	32	1	0	0.0
FBgn0283724	GO:0050185	16	1	0	0.0
FBgn0003090	GO:0005737	31	1863	14	0.007391763463569166
FBgn0040368	GO:0005737	98	1863	33	0.016828148903620603
FBgn0004595	GO:0050909	13	68	0	0.0
FBgn0023527	GO:0050909	67	68	0	0.0
FBgn0036368	GO:0008284	13	49	0	0.0
FBgn0034570	GO:0008284	7	49	0	0.0
FBgn0086758	GO:0016319	21	90	0	0.0
FBgn0000139	GO:0016319	65	90	1	0.0064516129032258064
FBgn0051133	GO:0070158	5	2	0	0.0
FBgn0001085	GO:0070158	60	2	0	0.0
FBgn0033216	GO:0004144	6	5	0	0.0
FBgn0032473	GO:0004144	13	5	0	0.0
FBgn0038515	GO:0005634	45	2250	13	0.005664488017429194
FBgn0001078	GO:0005634	72	2250	43	0.018518518518518517
FBgn0034022	GO:0015629	0	52	0	0.0
FBgn0013432	GO:0015629	18	52	0	0.0
FBgn0039613	GO:0008233	2	178	0	0.0
FBgn0005648	GO:0008233	59	178	0	0.0
