protein	goTerm	proProNeighbor	goNeighbor	goAnnotatedProProNeighbors	score
FBgn0036985	GO:0007015	3	80	0	0.0
FBgn0021776	GO:0007015	16	80	1	0.010416666666666666
FBgn0010407	GO:0004714	13	17	1	0.03333333333333333
FBgn0039115	GO:0004714	25	17	0	0.0
FBgn0039229	GO:0003723	422	486	33	0.03634361233480176
FBgn0261599	GO:0003723	78	486	8	0.014184397163120567
FBgn0003093	GO:0004672	101	231	19	0.0572289156626506
FBgn0001961	GO:0004672	374	231	7	0.011570247933884297
FBgn0033686	GO:0008757	6	86	0	0.0
FBgn0027780	GO:0008757	3	86	0	0.0
FBgn0260964	GO:0008504	11	3	0	0.0
FBgn0038499	GO:0008504	42	3	0	0.0
FBgn0033640	GO:0005575	5	2646	0	0.0
FBgn0010194	GO:0005575	30	2646	0	0.0
FBgn0000606	GO:0045944	14	324	5	0.014792899408284023
FBgn0033160	GO:0045944	483	324	21	0.026022304832713755
FBgn0042205	GO:0008270	27	516	6	0.011049723756906077
FBgn0024491	GO:0008270	95	516	3	0.004909983633387889
FBgn0026250	GO:0006413	69	47	6	0.05172413793103448
FBgn0011739	GO:0006413	149	47	0	0.0
FBgn0003731	GO:0008284	637	49	19	0.027696793002915453
FBgn0037617	GO:0008284	8	49	1	0.017543859649122806
FBgn0034546	GO:0008270	0	516	0	0.0
FBgn0038349	GO:0008270	4	516	0	0.0
FBgn0029722	GO:0043231	18	67	0	0.0
FBgn0086711	GO:0043231	25	67	0	0.0
FBgn0000533	GO:0004252	10	280	3	0.010344827586206896
FBgn0015380	GO:0004252	57	280	0	0.0
FBgn0037611	GO:0005575	1	2646	0	0.0
FBgn0037230	GO:0005575	14	2646	0	0.0
FBgn0003930	GO:0005687	0	10	0	0.0
FBgn0036493	GO:0005687	226	10	0	0.0
FBgn0014018	GO:0140896	261	6	2	0.00749063670411985
FBgn0004380	GO:0140896	44	6	0	0.0
FBgn0003444	GO:0005886	31	1052	8	0.007386888273314866
FBgn0261988	GO:0005886	163	1052	24	0.019753086419753086
FBgn0020412	GO:0035175	149	1	0	0.0
FBgn0001125	GO:0035175	49	1	1	0.02
FBgn0021776	GO:0048477	16	248	2	0.007575757575757576
FBgn0017577	GO:0048477	138	248	5	0.012953367875647668
FBgn0023169	GO:0048813	193	128	5	0.01557632398753894
FBgn0005624	GO:0048813	25	128	0	0.0
FBgn0013263	GO:0006357	67	615	28	0.04105571847507331
FBgn0025582	GO:0006357	224	615	9	0.010727056019070322
