protein	goTerm	proteinNeighbor	goProteinEdge	goEdge	fScore
FBgn0266284	GO:0005829	61	7	1081	0.012259194395796848
FBgn0010411	GO:0022627	74	15	43	0.25641025641025644
FBgn0285910	GO:0033179	34	3	17	0.11764705882352942
FBgn0278608	GO:0005634	49	25	2249	0.021758050478677113
FBgn0001233	GO:0070922	778	4	13	0.01011378002528445
FBgn0011760	GO:0048477	233	7	247	0.029166666666666667
FBgn0260642	GO:0005634	36	25	2249	0.02188183807439825
FBgn0000108	GO:0030424	1045	17	160	0.028215767634854772
FBgn0002441	GO:0000122	11	2	221	0.017241379310344827
FBgn0030088	GO:0003924	21	1	147	0.011904761904761904
FBgn0261274	GO:0015035	25	1	13	0.052631578947368425
FBgn0036414	GO:0050884	10	1	3	0.15384615384615383
FBgn0003900	GO:0005634	15	11	2249	0.009717314487632508
FBgn0004872	GO:0005634	48	22	2249	0.01915542011319112
FBgn0029943	GO:0019776	99	2	2	0.03960396039603961
FBgn0003205	GO:0051607	271	4	42	0.025559105431309903
FBgn0011817	GO:0004672	72	4	230	0.026490066225165563
FBgn0002525	GO:0005635	203	14	63	0.10526315789473684
FBgn0260632	GO:0000977	137	7	162	0.046822742474916385
FBgn0003093	GO:0004697	102	2	4	0.03773584905660377
FBgn0000157	GO:0006355	49	11	501	0.04000000000000001
FBgn0003862	GO:0005515	92	31	957	0.05910390848427073
FBgn0014010	GO:0005886	384	46	1051	0.06411149825783972
FBgn0001179	GO:0001113	57	7	7	0.21875
FBgn0027081	GO:0005739	59	10	622	0.029368575624082228
FBgn0024980	GO:0005484	17	9	24	0.4390243902439025
FBgn0035101	GO:0005886	89	18	1051	0.031578947368421054
FBgn0021761	GO:0007283	69	3	197	0.022556390977443608
FBgn0032240	GO:0017070	159	2	7	0.024096385542168676
FBgn0000662	GO:0007530	75	2	14	0.0449438202247191
FBgn0023172	GO:0001664	49	2	33	0.04878048780487805
FBgn0031799	GO:0035332	33	1	38	0.028169014084507043
FBgn0264975	GO:0005886	119	20	1051	0.034188034188034185
FBgn0033260	GO:0031625	248	7	70	0.04402515723270441
FBgn0027868	GO:0006606	79	15	48	0.23622047244094488
FBgn0030096	GO:0005737	30	8	1862	0.008456659619450317
FBgn0001320	GO:0003700	37	6	286	0.03715170278637771
FBgn0010241	GO:0015562	31	3	4	0.1714285714285714
FBgn0025355	GO:0006260	9	1	46	0.03636363636363637
FBgn0004227	GO:0005634	154	77	2249	0.06408655846858094
FBgn0034490	GO:0022857	59	1	200	0.007722007722007722
FBgn0002973	GO:0005737	64	21	1862	0.021806853582554516
FBgn0002626	GO:0005730	79	11	300	0.05804749340369393
FBgn0026176	GO:0006511	128	10	135	0.07604562737642585
FBgn0030087	GO:0005964	34	2	2	0.1111111111111111
FBgn0023081	GO:0005737	20	8	1862	0.008501594048884165
FBgn0015270	GO:0003688	47	4	7	0.14814814814814814
FBgn0086347	GO:0007368	104	1	5	0.01834862385321101
FBgn0000547	GO:0098609	97	2	48	0.027586206896551724
FBgn0086758	GO:2000035	22	1	8	0.06666666666666667
FBgn0014269	GO:0042752	38	1	25	0.031746031746031744
FBgn0000346	GO:0043195	101	3	48	0.040268456375838924
FBgn0264075	GO:0046982	66	7	216	0.04964539007092199
FBgn0027052	GO:0000209	143	4	57	0.039999999999999994
FBgn0036740	GO:0000815	47	5	7	0.18518518518518517
FBgn0011737	GO:0005515	109	27	957	0.05065666041275798
FBgn0004647	GO:0004888	428	2	70	0.008032128514056224
FBgn0015288	GO:0006412	48	1	557	0.003305785123966942
FBgn0267033	GO:0005634	39	24	2249	0.020979020979020976
FBgn0025936	GO:0016319	89	7	89	0.07865168539325842
FBgn0283521	GO:0007411	38	3	166	0.02941176470588235
