protein	goTerm	proteinNeighbor	goProteinEdge	goEdge	fScore
FBgn0004839	GO:0030215	16	1	8	0.08333333333333333
FBgn0000629	GO:0009948	183	8	16	0.08040201005025124
FBgn0038065	GO:0035220	74	1	69	0.013986013986013986
FBgn0039052	GO:0006520	16	5	19	0.2857142857142857
FBgn0001942	GO:0032436	213	3	46	0.02316602316602317
FBgn0001168	GO:0009952	64	4	28	0.08695652173913043
FBgn0000253	GO:0007099	348	1	25	0.0053619302949061655
FBgn0003206	GO:0003924	57	1	147	0.00980392156862745
FBgn0003270	GO:0000977	10	1	162	0.011627906976744186
FBgn0003429	GO:0005515	22	9	957	0.018386108273748723
FBgn0026598	GO:0030720	34	1	14	0.041666666666666664
FBgn0011291	GO:0005634	49	26	2249	0.022628372497824196
FBgn0023512	GO:0005851	51	5	5	0.17857142857142855
FBgn0032465	GO:0016020	57	12	1523	0.015189873417721518
FBgn0086251	GO:0140543	8	2	4	0.3333333333333333
FBgn0040347	GO:0005634	11	7	2249	0.006194690265486726
FBgn0010197	GO:0005524	3	1	642	0.0031007751937984496
FBgn0263933	GO:0035220	106	3	69	0.03428571428571429
FBgn0261792	GO:0005685	43	6	19	0.19354838709677416
FBgn0024807	GO:0005515	15	3	957	0.00617283950617284
FBgn0067864	GO:0016324	62	10	90	0.13157894736842105
FBgn0005636	GO:0007411	49	4	166	0.037209302325581395
FBgn0265959	GO:0005634	8	4	2249	0.0035445281346920686
FBgn0001202	GO:0045202	55	3	100	0.03870967741935484
FBgn0025638	GO:0016567	98	9	128	0.07964601769911506
FBgn0025700	GO:0016020	32	10	1523	0.012861736334405146
FBgn0261592	GO:0006412	238	46	557	0.11572327044025156
FBgn0261279	GO:0005886	23	5	1051	0.00931098696461825
FBgn0002938	GO:0016059	31	4	14	0.17777777777777778
FBgn0052463	GO:0000014	17	1	14	0.06451612903225808
FBgn0010269	GO:0045500	206	9	16	0.08108108108108109
FBgn0031837	GO:0043005	19	10	89	0.1851851851851852
FBgn0262103	GO:0004674	24	6	157	0.06629834254143646
FBgn0283499	GO:0048133	39	1	7	0.043478260869565216
FBgn0013263	GO:0042803	68	5	119	0.053475935828877004
FBgn0035769	GO:0005634	79	39	2249	0.03350515463917525
FBgn0040080	GO:0008356	75	4	23	0.08163265306122448
FBgn0259938	GO:0000122	44	6	221	0.045283018867924525
FBgn0033564	GO:0007031	13	3	17	0.20000000000000004
FBgn0034968	GO:0002181	181	47	100	0.33451957295373663
FBgn0001085	GO:0001736	61	8	20	0.19753086419753088
FBgn0030486	GO:0005634	21	9	2249	0.007929515418502203
FBgn0011592	GO:0008045	83	5	69	0.06578947368421052
FBgn0033791	GO:0046982	18	2	216	0.017094017094017092
FBgn0039924	GO:0005886	27	6	1051	0.011131725417439705
FBgn0025741	GO:0017154	29	1	1	0.06666666666666667
FBgn0004369	GO:0007415	15	2	7	0.18181818181818182
FBgn0040056	GO:0004672	32	8	230	0.061068702290076333
FBgn0029131	GO:0008630	16	1	9	0.08
FBgn0000117	GO:0060070	410	8	16	0.03755868544600939
FBgn0262126	GO:0048081	42	1	2	0.04545454545454545
FBgn0000394	GO:0030514	23	2	30	0.07547169811320756
FBgn0039140	GO:0007005	42	4	46	0.0909090909090909
FBgn0250874	GO:0007006	105	2	4	0.03669724770642202
FBgn0033544	GO:0043161	49	3	105	0.03896103896103896
FBgn0259824	GO:0005794	165	14	239	0.06930693069306931
FBgn0000482	GO:0008340	41	4	173	0.03738317757009346
FBgn0037240	GO:0005886	39	8	1051	0.014678899082568808
FBgn0040823	GO:0032589	25	6	25	0.24
FBgn0013726	GO:0000281	95	4	42	0.05839416058394161
FBgn0033661	GO:0005524	73	10	642	0.027972027972027972
FBgn0032515	GO:0070920	96	1	3	0.0202020202020202
FBgn0261599	GO:0008270	79	11	515	0.037037037037037035
FBgn0028978	GO:0051898	69	1	9	0.02564102564102564
FBgn0030793	GO:0005634	46	7	2249	0.006100217864923747
FBgn0032593	GO:0070588	15	2	25	0.1
FBgn0053517	GO:0004930	22	2	112	0.029850746268656716
FBgn0020496	GO:0140297	186	10	55	0.08298755186721991
FBgn0036686	GO:0005634	148	39	2249	0.03254067584480601
FBgn0039078	GO:0005634	12	4	2249	0.0035382574082264487
FBgn0029882	GO:0005634	102	34	2249	0.0289238621863037
FBgn0000317	GO:0005524	20	1	642	0.0030211480362537764
FBgn0014020	GO:0050770	144	8	22	0.09638554216867468
FBgn0024222	GO:0061057	188	11	17	0.10731707317073172
FBgn0003371	GO:0090090	771	9	45	0.022058823529411763
FBgn0011771	GO:0033627	26	3	19	0.13333333333333333
FBgn0266557	GO:0003677	53	9	609	0.027190332326283987
FBgn0015371	GO:0005515	24	5	957	0.01019367991845056
FBgn0262103	GO:0055088	24	1	42	0.030303030303030307
FBgn0015828	GO:0006367	150	15	45	0.15384615384615383
FBgn0013672	GO:0015986	16	10	19	0.5714285714285714
FBgn0260243	GO:0005634	11	3	2249	0.0026548672566371677
FBgn0261985	GO:0005737	42	17	1862	0.01785714285714286
FBgn0003557	GO:0005112	332	5	16	0.028735632183908042
FBgn0022023	GO:0005852	45	14	15	0.4666666666666667
FBgn0032397	GO:0030943	66	2	3	0.057971014492753624
FBgn0011604	GO:0016589	132	3	4	0.044117647058823525
FBgn0011661	GO:0042052	231	5	36	0.03745318352059925
FBgn0000543	GO:0005737	26	14	1862	0.01483050847457627
FBgn0003015	GO:0007616	86	3	74	0.0375
FBgn0038861	GO:0008175	11	1	3	0.14285714285714288
FBgn0030479	GO:0010468	398	8	95	0.032454361054766734
FBgn0260749	GO:0035072	37	1	13	0.04
FBgn0039169	GO:0031507	158	3	75	0.02575107296137339
FBgn0016034	GO:0005634	53	16	2249	0.013900955690703735
FBgn0039555	GO:0005763	20	1	29	0.04081632653061224
FBgn0261456	GO:0001654	194	2	20	0.018691588785046728
FBgn0027548	GO:0035222	234	1	20	0.007874015748031498
FBgn0261397	GO:0030048	161	4	7	0.047619047619047616
FBgn0004837	GO:0005634	92	52	2249	0.04442545920546775
FBgn0034878	GO:0043035	9	3	19	0.21428571428571427
FBgn0001235	GO:0005515	114	16	957	0.029878618113912236
FBgn0004595	GO:0005886	14	2	1051	0.0037558685446009393
FBgn0003463	GO:0110107	26	1	1	0.07407407407407407
FBgn0045063	GO:0030203	15	2	4	0.2105263157894737
FBgn0032006	GO:0048542	94	2	29	0.03252032520325203
FBgn0028667	GO:0033177	23	3	7	0.2
FBgn0023534	GO:0003674	18	5	3149	0.0031575623618566463
FBgn0261456	GO:0090090	194	3	45	0.02510460251046025
FBgn0266599	GO:0031072	709	8	24	0.021828103683492497
FBgn0260862	GO:0006906	47	12	18	0.36923076923076914
FBgn0011291	GO:0005634	49	26	2249	0.022628372497824196
FBgn0022702	GO:0018990	40	6	20	0.2
FBgn0032475	GO:0035064	41	3	28	0.08695652173913043
FBgn0005672	GO:0007173	356	8	24	0.042105263157894736
FBgn0262518	GO:0031982	69	3	59	0.046875
FBgn0014388	GO:0055001	137	1	12	0.013422818791946307
FBgn0263594	GO:0005737	30	9	1862	0.009513742071881607
FBgn0283468	GO:0046627	311	5	28	0.02949852507374631
FBgn0036756	GO:0016020	71	18	1523	0.02258469259723965
FBgn0004574	GO:0030707	76	2	75	0.026490066225165563
FBgn0004597	GO:0016592	146	10	32	0.11235955056179775
FBgn0051708	GO:0005886	28	15	1051	0.027803521779425393
FBgn0033539	GO:0031267	101	3	108	0.028708133971291863
FBgn0039459	GO:0016180	38	5	10	0.20833333333333334
FBgn0260475	GO:0030203	10	1	4	0.14285714285714288
FBgn0039218	GO:0006360	71	9	13	0.21428571428571425
FBgn0050361	GO:0016020	2	1	1523	0.0013114754098360656
FBgn0034217	GO:0010369	7	2	12	0.2105263157894737
FBgn0259212	GO:0090175	55	1	19	0.027027027027027025
FBgn0001168	GO:0006355	64	9	501	0.03185840707964602
FBgn0010389	GO:0008347	96	3	33	0.046511627906976744
FBgn0003169	GO:0007391	29	5	103	0.07575757575757576
FBgn0003117	GO:0022416	57	3	50	0.05607476635514018
FBgn0026573	GO:0005704	23	1	30	0.03773584905660378
FBgn0038768	GO:0000976	35	4	102	0.0583941605839416
FBgn0027101	GO:0006468	59	5	237	0.033783783783783786
FBgn0051902	GO:0004867	43	4	80	0.06504065040650407
FBgn0033259	GO:0005737	41	11	1862	0.011560693641618498
FBgn0037549	GO:0003676	346	34	368	0.09523809523809523
FBgn0003865	GO:0005615	15	4	684	0.011444921316165951
FBgn0003028	GO:0005634	52	21	2249	0.01825293350717079
FBgn0035876	GO:0008270	7	1	515	0.003831417624521073
FBgn0261109	GO:0006289	32	8	20	0.3076923076923077
FBgn0003889	GO:0005200	286	6	31	0.03785488958990536
FBgn0261854	GO:0004674	119	11	157	0.07971014492753624
FBgn0004507	GO:0042803	104	3	119	0.026905829596412554
FBgn0003169	GO:0098821	29	2	3	0.125
FBgn0013720	GO:0016020	5	1	1523	0.001308900523560209
FBgn0259212	GO:0016330	55	3	8	0.09523809523809523
FBgn0005671	GO:0005524	331	26	642	0.053442959917780065
FBgn0004638	GO:0032991	548	9	76	0.028846153846153848
FBgn0010263	GO:1990904	1003	20	53	0.03787878787878788
FBgn0033029	GO:0000289	57	4	10	0.11940298507462686
FBgn0050293	GO:0005975	8	6	123	0.09160305343511452
FBgn0043900	GO:0006357	35	6	614	0.018489984591679505
FBgn0039807	GO:0003674	12	1	3149	0.0006327111673521038
FBgn0015230	GO:0055085	147	17	387	0.06367041198501873
FBgn0266721	GO:0031201	31	21	29	0.7
FBgn0037760	GO:0005737	30	8	1862	0.008456659619450317
FBgn0004167	GO:0051015	240	4	84	0.024691358024691357
FBgn0260745	GO:0030198	6	1	28	0.058823529411764705
FBgn0031456	GO:0005829	44	5	1081	0.008888888888888889
FBgn0028425	GO:0022857	73	29	200	0.21245421245421245
FBgn0032816	GO:0043565	67	3	206	0.021978021978021976
FBgn0032321	GO:0005634	46	22	2249	0.019172113289760345
FBgn0002413	GO:0007165	277	11	198	0.046315789473684206
FBgn0029870	GO:0070584	22	1	8	0.06666666666666667
FBgn0000721	GO:0030536	34	1	21	0.036363636363636355
FBgn0011569	GO:0048515	5	1	14	0.10526315789473682
FBgn0038861	GO:0002128	11	1	2	0.15384615384615385
FBgn0025936	GO:0004714	89	3	16	0.05714285714285714
FBgn0050187	GO:0006508	2	1	497	0.004008016032064129
FBgn0030853	GO:0005747	32	3	51	0.07228915662650601
FBgn0264326	GO:0008296	69	1	6	0.026666666666666665
FBgn0003016	GO:0015629	21	1	51	0.027777777777777776
FBgn0036277	GO:0003723	149	40	485	0.12618296529968456
FBgn0010397	GO:0007112	198	2	32	0.01739130434782609
FBgn0011327	GO:0016579	136	4	37	0.046242774566473986
FBgn0003651	GO:0007419	49	2	73	0.03278688524590164
FBgn0263108	GO:0005634	81	40	2249	0.034334763948497854
FBgn0037892	GO:0003735	9	2	289	0.01342281879194631
FBgn0024277	GO:0007411	43	9	166	0.0861244019138756
FBgn0036928	GO:0006605	89	1	7	0.020833333333333332
FBgn0030276	GO:0005868	43	6	30	0.16438356164383564
FBgn0262127	GO:0005737	36	12	1862	0.012644889357218126
FBgn0086384	GO:0005912	200	6	44	0.04918032786885246
FBgn0032089	GO:0030014	97	6	10	0.11214953271028037
FBgn0035754	GO:0003712	111	26	65	0.29545454545454547
FBgn0003507	GO:0005515	18	6	957	0.012307692307692308
FBgn0259984	GO:0007219	90	3	24	0.052631578947368425
FBgn0261403	GO:0006493	59	1	32	0.02197802197802198
FBgn0285951	GO:0003735	2	1	289	0.006872852233676976
FBgn0264078	GO:0072659	101	1	40	0.014184397163120567
FBgn0027784	GO:0005681	52	4	51	0.07766990291262137
FBgn0000022	GO:0061382	27	4	8	0.22857142857142856
FBgn0040324	GO:0016319	3	1	89	0.021739130434782608
FBgn0283451	GO:0000122	20	2	221	0.016597510373443987
FBgn0034950	GO:0005829	29	3	1081	0.005405405405405406
FBgn0028400	GO:0031340	21	2	4	0.16
FBgn0032136	GO:0005319	37	1	15	0.038461538461538464
FBgn0267384	GO:0030433	347	3	31	0.015873015873015876
FBgn0011726	GO:0030042	145	2	5	0.026666666666666665
FBgn0037279	GO:0009058	223	2	28	0.01593625498007968
FBgn0004647	GO:0007476	428	29	136	0.1028368794326241
FBgn0005771	GO:0001752	19	1	13	0.0625
FBgn0037918	GO:0005634	6	2	2249	0.0017738359201773834
FBgn0035904	GO:0004734	97	3	3	0.06000000000000001
FBgn0003396	GO:0007498	62	3	60	0.04918032786885246
FBgn0020238	GO:0000077	548	2	16	0.0070921985815602835
FBgn0267488	GO:0005886	48	9	1051	0.01637852593266606
FBgn0019940	GO:0008020	2	1	6	0.25
FBgn0027951	GO:0042826	154	2	18	0.023255813953488372
FBgn0024510	GO:0005737	17	7	1862	0.007450771687067589
FBgn0044323	GO:0046330	86	2	34	0.03333333333333333
FBgn0262736	GO:0033227	220	4	25	0.03265306122448979
FBgn0037926	GO:0033588	68	3	5	0.08219178082191782
FBgn0261560	GO:0009617	306	2	43	0.011461318051575933
FBgn0010399	GO:0045211	113	3	39	0.039473684210526314
FBgn0050287	GO:0005615	16	1	684	0.002857142857142857
FBgn0038519	GO:0045454	57	1	19	0.02631578947368421
FBgn0039617	GO:0043005	24	10	89	0.17699115044247787
FBgn0032209	GO:0043066	19	1	84	0.019417475728155338
FBgn0024179	GO:0045887	59	3	42	0.05940594059405941
FBgn0040007	GO:0006412	77	2	557	0.006309148264984227
FBgn0259231	GO:0008188	17	1	42	0.033898305084745756
FBgn0038453	GO:1990809	40	1	1	0.04878048780487806
FBgn0039234	GO:0034205	42	3	3	0.13333333333333333
FBgn0037781	GO:0004842	27	1	100	0.015748031496062992
FBgn0001218	GO:0005615	243	4	684	0.008629989212513484
FBgn0011202	GO:0045177	76	2	54	0.03076923076923077
FBgn0026056	GO:0005515	42	13	957	0.026026026026026026
FBgn0042696	GO:0006357	22	4	614	0.012578616352201259
FBgn0002774	GO:0005730	121	5	300	0.023752969121140145
FBgn0000261	GO:0008340	113	3	173	0.020979020979020976
FBgn0039016	GO:0003727	37	2	15	0.07692307692307693
FBgn0034970	GO:0005829	124	20	1081	0.03319502074688797
FBgn0032956	GO:0031462	269	6	11	0.04285714285714286
FBgn0039680	GO:0000070	22	3	29	0.11764705882352941
FBgn0037924	GO:0008139	9	1	18	0.07407407407407407
FBgn0051712	GO:0005739	21	3	622	0.009331259720062208
FBgn0038018	GO:0005744	22	11	14	0.6111111111111112
FBgn0030007	GO:0000287	34	1	49	0.024096385542168672
FBgn0026398	GO:0004984	5	1	68	0.0273972602739726
FBgn0015279	GO:0007552	91	2	35	0.03174603174603175
FBgn0264855	GO:0045807	150	2	16	0.024096385542168676
FBgn0002772	GO:0005509	97	7	204	0.046511627906976744
FBgn0053193	GO:0043065	89	6	40	0.09302325581395349
FBgn0034473	GO:0005886	4	1	1051	0.0018957345971563982
FBgn0025454	GO:0046701	133	5	5	0.07246376811594202
FBgn0032020	GO:0061865	39	1	1	0.05
FBgn0264495	GO:0031507	23	1	75	0.02040816326530612
FBgn0032001	GO:0008270	53	5	515	0.0176056338028169
FBgn0033204	GO:0052650	221	3	8	0.026200873362445413
FBgn0036754	GO:0042254	46	2	27	0.0547945205479452
FBgn0030897	GO:0008048	35	1	1	0.05555555555555556
FBgn0264855	GO:0005886	150	35	1051	0.058284762697751874
FBgn0002736	GO:0035145	139	4	6	0.05517241379310344
FBgn0032818	GO:0005525	30	1	155	0.01081081081081081
FBgn0015277	GO:0034271	43	3	3	0.13043478260869565
FBgn0039379	GO:0019905	75	1	24	0.0202020202020202
FBgn0032677	GO:0005634	49	23	2249	0.02001740644038294
FBgn0028694	GO:0008541	693	10	11	0.028409090909090908
FBgn0000404	GO:0055059	146	2	28	0.022988505747126436
FBgn0010300	GO:0005737	25	6	1862	0.006359300476947536
FBgn0035192	GO:0030322	12	1	13	0.08
FBgn0043884	GO:0046843	66	1	56	0.01639344262295082
FBgn0002778	GO:0006865	63	2	4	0.05970149253731343
FBgn0035533	GO:0097320	54	2	7	0.06557377049180328
FBgn0010038	GO:0004602	48	3	17	0.09230769230769231
FBgn0037218	GO:0004674	27	1	157	0.010869565217391306
FBgn0034598	GO:0003729	22	2	204	0.01769911504424779
FBgn0033932	GO:0007186	5	2	155	0.025
FBgn0000606	GO:0003700	15	6	286	0.03986710963455149
FBgn0037202	GO:0006366	28	9	41	0.2608695652173913
FBgn0267487	GO:0031647	56	3	15	0.08450704225352113
FBgn0034013	GO:0007432	9	1	10	0.10526315789473685
FBgn0037170	GO:0045454	20	2	19	0.10256410256410256
FBgn0243512	GO:0007254	38	3	16	0.11111111111111109
FBgn0039631	GO:0000122	483	10	221	0.028409090909090908
FBgn0033159	GO:0042803	21	2	119	0.02857142857142857
FBgn0005355	GO:0045879	39	6	57	0.125
FBgn0262167	GO:0007288	24	3	27	0.11764705882352941
FBgn0038745	GO:0005524	14	1	642	0.003048780487804878
FBgn0010097	GO:0007017	171	5	24	0.05128205128205128
FBgn0004872	GO:0003723	48	10	485	0.037523452157598496
FBgn0016794	GO:0007465	86	5	21	0.09345794392523364
FBgn0016685	GO:0005654	241	8	197	0.0365296803652968
FBgn0036829	GO:0016020	5	1	1523	0.001308900523560209
FBgn0024811	GO:0030971	227	4	6	0.03433476394849786
FBgn0004177	GO:0045752	538	5	22	0.01785714285714286
FBgn0267252	GO:0007186	8	3	155	0.03680981595092025
FBgn0000577	GO:0035224	36	1	7	0.046511627906976744
FBgn0034454	GO:0031625	21	1	70	0.02197802197802198
FBgn0036224	GO:0005524	93	17	642	0.04625850340136055
FBgn0025680	GO:0007623	27	5	44	0.1408450704225352
FBgn0035906	GO:0006749	22	3	40	0.09677419354838708
FBgn0003079	GO:0006468	250	38	237	0.15605749486652978
FBgn0038471	GO:0032259	103	1	14	0.017094017094017092
FBgn0014189	GO:0005700	303	12	173	0.050420168067226885
FBgn0015790	GO:0003924	168	7	147	0.044444444444444446
FBgn0015295	GO:0005938	60	3	99	0.03773584905660378
FBgn0267348	GO:0034446	36	2	8	0.0909090909090909
FBgn0024833	GO:0035615	61	5	10	0.14084507042253522
FBgn0086347	GO:0003774	104	1	20	0.016129032258064516
FBgn0034706	GO:0005634	41	12	2249	0.010480349344978164
FBgn0027575	GO:0016020	10	1	1523	0.0013046314416177427
FBgn0004363	GO:0006811	448	2	79	0.0075901328273244775
FBgn0003300	GO:0045893	10	1	144	0.012987012987012986
FBgn0014019	GO:0004930	8	1	112	0.016666666666666666
FBgn0030899	GO:0006355	5	1	501	0.003952569169960474
FBgn0032233	GO:0007606	24	5	89	0.08849557522123894
FBgn0032638	GO:0008233	73	11	177	0.088
FBgn0035047	GO:0003676	78	14	368	0.06278026905829596
FBgn0031390	GO:0000347	59	4	4	0.12698412698412698
FBgn0260856	GO:0005484	46	21	24	0.6
FBgn0004666	GO:0046983	28	1	73	0.019801980198019802
FBgn0023180	GO:0000278	36	1	150	0.01075268817204301
FBgn0016075	GO:0005587	234	1	2	0.008474576271186442
FBgn0283666	GO:0016020	64	8	1523	0.010081915563957152
FBgn0004872	GO:0005737	48	17	1862	0.01780104712041885
FBgn0001311	GO:0045177	25	1	54	0.02531645569620253
FBgn0003132	GO:0004722	144	5	45	0.052910052910052914
FBgn0040290	GO:0008270	47	5	515	0.017793594306049824
FBgn0038539	GO:0005776	25	4	25	0.16
FBgn0011300	GO:0048185	119	1	2	0.01652892561983471
FBgn0027490	GO:0042393	33	1	59	0.02173913043478261
FBgn0011656	GO:0045944	84	21	323	0.1031941031941032
FBgn0002783	GO:0006338	211	13	80	0.08934707903780068
FBgn0005198	GO:0035069	219	1	8	0.008810572687224669
FBgn0001942	GO:0003676	213	15	368	0.05163511187607574
FBgn0000500	GO:0007528	6	1	48	0.037037037037037035
FBgn0004647	GO:0035162	428	1	4	0.004629629629629629
FBgn0052676	GO:0005634	11	5	2249	0.004424778761061947
FBgn0039629	GO:0006508	12	1	497	0.003929273084479371
FBgn0016917	GO:0005126	227	2	2	0.017467248908296942
FBgn0004872	GO:0010526	48	1	4	0.038461538461538464
FBgn0019925	GO:0045169	198	1	37	0.00851063829787234
FBgn0040372	GO:0140718	60	3	5	0.0923076923076923
FBgn0003145	GO:0006355	79	13	501	0.04482758620689655
FBgn0004432	GO:0043231	72	1	66	0.014492753623188406
FBgn0014029	GO:0003924	37	4	147	0.043478260869565216
FBgn0026598	GO:0008013	34	2	11	0.08888888888888888
FBgn0031047	GO:0017148	43	7	43	0.16279069767441862
FBgn0000283	GO:0008017	58	1	115	0.011560693641618497
FBgn0004050	GO:0005515	27	9	957	0.018292682926829267
FBgn0014020	GO:0030036	144	16	85	0.13973799126637554
FBgn0032202	GO:0003700	72	7	286	0.03910614525139665
FBgn0020510	GO:0098858	106	1	2	0.018518518518518517
FBgn0086347	GO:0005546	104	4	19	0.06504065040650407
FBgn0260400	GO:0008266	81	3	8	0.06741573033707865
FBgn0038826	GO:0003676	330	33	368	0.09455587392550144
FBgn0037242	GO:0004842	17	3	100	0.05128205128205128
FBgn0028692	GO:0008540	153	11	11	0.13414634146341461
FBgn0025582	GO:0005634	225	59	2249	0.047696038803556995
FBgn0029161	GO:0005739	13	2	622	0.006299212598425197
FBgn0035496	GO:0006508	69	18	497	0.0636042402826855
FBgn0029903	GO:0035332	25	1	38	0.031746031746031744
FBgn0035162	GO:0005686	168	17	26	0.1752577319587629
FBgn0022213	GO:0006606	64	3	48	0.05357142857142857
FBgn0051721	GO:0008270	36	7	515	0.025408348457350273
FBgn0086680	GO:0006357	21	7	614	0.02204724409448819
FBgn0015582	GO:0005739	7	1	622	0.0031796502384737677
FBgn0263968	GO:0000184	31	6	18	0.24489795918367346
FBgn0028560	GO:0055085	147	17	387	0.06367041198501873
FBgn0002284	GO:0005839	211	24	25	0.20338983050847453
FBgn0035047	GO:0005737	78	21	1862	0.02164948453608247
FBgn0000464	GO:0031290	44	1	11	0.03636363636363636
FBgn0015221	GO:0008199	223	1	3	0.008849557522123894
FBgn0000576	GO:0000981	27	10	414	0.045351473922902494
FBgn0004856	GO:0000398	196	52	228	0.24528301886792453
FBgn0011604	GO:0045944	132	18	323	0.07912087912087912
FBgn0003714	GO:0015935	11	1	13	0.08333333333333334
FBgn0051522	GO:0034625	356	19	19	0.10133333333333332
FBgn0000251	GO:0009948	32	1	16	0.041666666666666664
FBgn0037802	GO:0005634	16	10	2249	0.008830022075055186
FBgn0085432	GO:0060070	61	4	16	0.10389610389610389
FBgn0041191	GO:0042632	166	2	14	0.022222222222222223
FBgn0086908	GO:0005737	100	33	1862	0.03363914373088685
FBgn0036534	GO:0000932	53	10	38	0.21978021978021978
FBgn0002780	GO:0003723	162	14	485	0.04327666151468315
FBgn0262872	GO:0019896	24	1	6	0.06666666666666667
FBgn0037324	GO:0050911	3	2	72	0.05333333333333333
FBgn0023545	GO:0005783	128	25	314	0.11312217194570136
FBgn0042086	GO:0016020	9	2	1523	0.002610966057441253
FBgn0265778	GO:0006930	37	1	2	0.05128205128205129
FBgn0023076	GO:0000981	53	7	414	0.029978586723768734
FBgn0264078	GO:0005737	101	25	1862	0.025471217524197655
FBgn0001308	GO:0048813	97	2	127	0.01785714285714286
FBgn0259729	GO:0043161	36	2	105	0.028368794326241138
FBgn0026598	GO:0030720	34	1	14	0.041666666666666664
FBgn0005631	GO:0048813	31	5	127	0.06329113924050632
FBgn0004569	GO:0005615	244	2	684	0.004310344827586207
FBgn0022160	GO:0005739	33	4	622	0.012213740458015267
FBgn0003520	GO:0005737	303	95	1862	0.08775981524249424
FBgn0014861	GO:0043138	92	5	12	0.09615384615384615
FBgn0017550	GO:0005515	14	8	957	0.0164778578784758
FBgn0263755	GO:0031507	40	4	75	0.06956521739130435
FBgn0051611	GO:0000228	10	1	51	0.032786885245901634
FBgn0022355	GO:0005576	30	10	498	0.03787878787878789
FBgn0086384	GO:0035329	200	5	7	0.04830917874396136
FBgn0015509	GO:0090090	429	8	45	0.03375527426160337
FBgn0261458	GO:0007015	190	7	79	0.0520446096654275
