"protein","relationship_type","go_term","namespace","never_annotate"
"BSU_01070","inferred_from_descendant","GO:0016772","molecular_function","false"
"BSU_01070","inferred_from_descendant","GO:1901362","biological_process","false"
"BSU_01070","inferred_from_descendant","GO:0008150","biological_process","false"
"BSU_01070","inferred_from_descendant","GO:0097367","molecular_function","false"
"BSU_01070","inferred_from_descendant","GO:0034654","biological_process","false"
"BSU_01070","inferred_from_descendant","GO:0140640","molecular_function","false"
"BSU_01070","inferred_from_descendant","GO:0006725","biological_process","false"
"BSU_01070","inferred_from_descendant","GO:0044237","biological_process","true"
"BSU_01070","inferred_from_descendant","GO:0016070","biological_process","false"
"BSU_01070","inferred_from_descendant","GO:0009987","biological_process","true"
"BSU_01070","inferred_from_descendant","GO:0140098","molecular_function","false"
"BSU_01070","inferred_from_descendant","GO:0097159","molecular_function","false"
"BSU_01070","inferred_from_descendant","GO:0044249","biological_process","false"
"BSU_01070","inferred_from_descendant","GO:0036094","molecular_function","false"
"BSU_01070","inferred_from_descendant","GO:0003824","molecular_function","false"
"BSU_01070","inferred_from_descendant","GO:0032991","cellular_component","false"
"BSU_01070","inferred_from_descendant","GO:0140535","cellular_component","false"
"BSU_01070","inferred_from_descendant","GO:0009058","biological_process","false"
"BSU_01070","inferred_from_descendant","GO:0050896","biological_process","true"
"BSU_01070","inferred_from_descendant","GO:0042221","biological_process","true"
"BSU_01070","inferred_from_descendant","GO:0001882","molecular_function","false"
"BSU_01070","inferred_from_descendant","GO:0043170","biological_process","true"
"BSU_01070","inferred_from_descendant","GO:0003676","molecular_function","false"
"BSU_01070","enables","GO:0003899","molecular_function","false"
"BSU_01070","involved_in","GO:0046677","biological_process","false"
"BSU_01070","enables","GO:0016740","molecular_function","false"
"BSU_01070","enables","GO:0016779","molecular_function","false"
"BSU_01070","enables","GO:0032549","molecular_function","false"
"BSU_01070","enables","GO:0003677","molecular_function","false"
"BSU_01070","enables","GO:0034062","molecular_function","false"
"BSU_01070","involved_in","GO:0006351","biological_process","false"
"BSU_01070","part_of","GO:0000428","cellular_component","false"
"BSU_01070","inferred_from_descendant","GO:1902494","cellular_component","false"
"BSU_01070","inferred_from_descendant","GO:0018130","biological_process","false"
"BSU_01070","inferred_from_descendant","GO:0006807","biological_process","true"
"BSU_01070","inferred_from_descendant","GO:1990234","cellular_component","false"
"BSU_01070","inferred_from_descendant","GO:1901363","molecular_function","false"
"BSU_01070","inferred_from_descendant","GO:0071704","biological_process","true"
"BSU_01070","inferred_from_descendant","GO:0008152","biological_process","false"
"BSU_01070","inferred_from_descendant","GO:0005488","molecular_function","true"
"BSU_01430","inferred_from_descendant","GO:0071704","biological_process","true"
"BSU_01430","inferred_from_descendant","GO:0034654","biological_process","false"
