"protein1","protein2"
"Q6P2U7","Q66I42"
"Q6P2U7","Q1LX78"
"Q6P2U7","Q503E6"
"Q6P2U7","E7F638"
"Q6P2U7","B6DUH7"
"Q6P2U7","Q5TZG5"
"Q66I42","Q6Q413"
"Q66I42","A0A8M2B8K6"
"Q66I42","Q5YKG4"
"Q66I42","B3DGL5"
"Q66I42","Q1A5L2"
"Q66I42","Q8JG61"
"Q66I42","F1QTX0"
"Q66I42","P83750"
"Q66I42","Q7ZVI7"
"Q66I42","Q7ZVF9"
"Q66I42","P83751"
"Q66I42","E7F6T0"
"Q66I42","Q5TZG5"
"Q5TZG5","A0A0R4IP15"
"Q5TZG5","B3DGL5"
"Q5TZG5","Q29RC5"
"Q5TZG5","A0A8M2B8K6"
"Q5TZG5","Q5RHU2"
"Q5TZG5","F1QTX0"
"Q5TZG5","Q7ZSZ9"
"Q5TZG5","A0A0R4IAS2"
"Q5TZG5","E7F6T0"
"Q5TZG5","E7F004"
"Q503E6","Q6NV39"
"E7F638","E7F6T0"
"E7F638","A0A8M2B8K6"
"Q1LX78","B8JL43"
"Q1LX78","E9QDP8"
"Q1LX78","Q7T3F3"
"Q1LX78","Q4VBS8"
"Q1LX78","F8W4B7"
"Q1LX78","Q6PBH4"
"Q1LX78","Q6PHG0"
"Q1LX78","A0A0N4SUD2"
"Q1LX78","Q2TTK0"
"Q1LX78","A3QK16"
"Q1LX78","Q1LUM9"
"Q1LX78","Q5MPX4"
"Q1LX78","Q7SXA3"
"Q1LX78","A0A2R8Q7M1"
"Q1LX78","A0A0R4IQX4"
"Q1LX78","Q7ZW98"
"Q1LX78","Q6NYJ9"
"Q1LX78","Q8JGR8"
"Q1LX78","F1QHN6"
"B6DUH7","F1QTX0"
"Q98867","U3JAT9"
"Q98867","Q5TZH0"
"Q98867","Q90415"
"Q5TZH0","E7FCN9"
"Q5TZH0","Q1XHK0"
"U3JAT9","E7F3U8"
"U3JAT9","X1WHD4"
"Q90415","Q91392"
"Q90415","Q90271"
"Q6DHB6","Q6DG66"
"Q6DHB6","Q1LXJ1"
"Q6DHB6","F1RDG4"
"Q6DHB6","Q1LXJ7"
"Q6DHB6","Q6DHU3"
"Q6DHB6","Q9PWD8"
"Q6DHB6","B0UYS0"
"Q6DHB6","F1QV31"
"Q6DHB6","Q1LXK0"
"Q6DHB6","Q7ZTS4"
"Q6DHB6","Q6NWF6"
"Q6DHB6","Q1RLR3"
"Q6DHB6","Q1LXJ9"
"Q6DHB6","B0UYR9"
"Q6DG66","Q1LXJ1"
"Q6DG66","Q1LXJ7"
"Q6DG66","Q6NWF6"
"Q6DG66","F1RDG4"
"Q6DG66","B0UYR9"
"Q6DG66","Q6DHU3"
"Q6DG66","F1QV31"
"Q6DG66","Q1LXJ9"
"Q6DG66","Q7ZTS4"
"Q6DG66","B0UYS0"
"Q1LXJ1","F1QV31"
"Q1LXJ1","B0UYR9"
"Q1LXJ1","Q7ZTS4"
"Q1LXJ1","Q1LXJ7"
"Q1LXJ1","Q6DHU3"
"Q9PWD8","Q1LXJ9"
"Q9PWD8","F1QV31"
"Q9PWD8","B0UYS0"
"Q9PWD8","Q1LXJ7"
"Q9PWD8","Q6NWF6"
"Q9PWD8","Q7ZTS4"
"Q9PWD8","F1RDG4"
"Q9PWD8","B0UYR9"
"Q9PWD8","Q6DHU3"
"Q9PWD8","Q6DG66"
"Q9PWD8","Q1LXJ1"
"Q1LXJ7","Q804S5"
"Q1LXJ7","Q6DHU3"
"Q1LXJ7","F1QV31"
"Q1LXJ7","B0UYR9"
"Q1LXJ7","Q7ZTS4"
"Q7ZTS4","B0UYR9"
"Q7ZTS4","Q58EK5"
"F1QV31","Q7ZTS4"
"F1QV31","B0UYR9"
"Q6NWF6","B0UYR9"
"Q6NWF6","F1QV31"
"Q6NWF6","Q58EK5"
"Q6NWF6","B0UYS0"
"Q6NWF6","Q1LXJ1"
"Q6NWF6","Q1LXJ7"
"Q6NWF6","Q7ZTS4"
"Q6NWF6","Q6DHU3"
"F1RDG4","Q7ZTS4"
"F1RDG4","F1QV31"
"F1RDG4","Q1LXJ1"
"F1RDG4","Q6NWF6"
"F1RDG4","Q6DHU3"
"F1RDG4","B0UYR9"
"F1RDG4","Q1LXJ9"
"F1RDG4","Q1LXJ7"
"F1RDG4","B0UYS0"
"Q1LXK0","B0UYR9"
"Q1LXK0","Q1LXJ9"
"Q1LXK0","F1RDG4"
"Q1LXK0","Q7ZTS4"
"Q1LXK0","Q1LXJ7"
"Q1LXK0","Q9PWD8"
"Q1LXK0","Q6DG66"
"Q1LXK0","F1QV31"
"Q1LXK0","Q1LXJ1"
"Q1LXK0","Q6NWF6"
"Q1LXK0","B0UYS0"
"Q1LXK0","Q6DHU3"
"Q6DHU3","Q7ZTS4"
"Q6DHU3","F1QV31"
"Q6DHU3","B0UYR9"
"B0UYS0","Q1LXJ7"
"B0UYS0","Q7ZTS4"
"B0UYS0","F1QV31"
"B0UYS0","Q1LXJ1"
"B0UYS0","B0UYR9"
"B0UYS0","Q6DHU3"
"Q1RLR3","Q9PWD8"
"Q1RLR3","F1QV31"
"Q1RLR3","Q1LXJ1"
"Q1RLR3","Q6NWF6"
"Q1RLR3","Q7ZTS4"
"Q1RLR3","Q1LXJ9"
"Q1RLR3","Q1LXJ7"
"Q1RLR3","F1RDG4"
"Q1RLR3","Q1LXK0"
"Q1RLR3","Q6DG66"
"Q1RLR3","B0UYS0"
"Q1RLR3","B0UYR9"
"Q1RLR3","Q6DHU3"
"Q1LXJ9","Q6NWF6"
"Q1LXJ9","B0UYR9"
"Q1LXJ9","Q1LXJ7"
"Q1LXJ9","F1QV31"
"Q1LXJ9","Q7ZTS4"
"Q1LXJ9","B0UYS0"
"Q1LXJ9","Q6DHU3"
"Q1LXJ9","Q1LXJ1"
"B0S789","Q7ZVT2"
"B0S789","A0A8M2B248"
"A0A8M2B248","A0A0R4IMZ8"
"Q800E7","Q90WX5"
"Q800E7","E7F5I9"
"Q800E7","Q90WX6"
"Q800E7","Q502C6"
"Q800E7","Q7ZVI5"
"Q7ZVI5","Q502C6"
"Q90WX5","E7F1F5"
"Q90WX5","Q5YKG3"
