"protein1","protein2"
"P41806","Q06697"
"P05759","Q06697"
"P32909","Q06697"
"Q12158","Q06697"
"P53861","Q06697"
"P40352","Q06697"
"P48562","Q06697"
"P38827","Q06697"
"P06104","Q06697"
"P61830","Q06697"
"Q12088","Q06697"
"P53940","Q06697"
"P25294","Q06697"
"Q05549","Q06697"
"P22276","Q06697"
"P29056","Q06697"
"Q06339","Q06697"
"P42945","Q06697"
"Q04217","Q06697"
"P25586","Q06697"
"P39016","Q06697"
"P25339","Q06697"
"P39517","Q06697"
"P32657","Q06697"
"P38111","Q06697"
"P53115","Q06697"
"P32349","Q06697"
"P00546","Q06697"
"Q06211","Q06697"
"Q08226","Q06697"
"Q12030","Q06697"
"P41896","Q06697"
"P15108","Q06697"
"P32473","Q06697"
"P16639","Q06697"
"P53228","Q06697"
"Q03330","Q06697"
"P47176","Q06697"
"P53540","Q06697"
"Q12676","Q06697"
"P38687","Q06697"
"Q12242","Q06697"
"P07270","Q06697"
"P31539","Q06697"
"P33416","Q06697"
"P10592","Q06697"
"P10591","Q06697"
"P11484","Q06697"
"P32505","Q06697"
"P39073","Q06697"
"P16649","Q06697"
"P02309","Q06697"
"P25567","Q06697"
"Q07807","P89105"
"P39526","P89105"
"P05759","P89105"
"P32909","P89105"
"P29055","P89105"
"Q12158","P89105"
"P47167","P89105"
"P38874","P89105"
"P06103","P89105"
"Q02326","P89105"
"P00427","P89105"
"P40352","P89105"
"P53861","P89105"
"P48562","P89105"
"P61830","P89105"
"P06104","P89105"
"P15108","P89105"
"P32915","P89105"
"P29311","P89105"
"Q12088","P89105"
"P40484","P89105"
"P05750","P89105"
"P0C2H8","P89105"
"P35997","P89105"
"P05743","P89105"
"P04456","P89105"
"P0C0W1","P89105"
"Q01855","P89105"
"P05756","P89105"
"Q08745","P89105"
"P33442","P89105"
"P25294","P89105"
"Q05549","P89105"
"P22276","P89105"
"Q06339","P89105"
"P12962","P89105"
"P42945","P89105"
"Q04217","P89105"
"P25586","P89105"
"P31384","P89105"
"P39517","P89105"
"P39016","P89105"
"P32657","P89105"
"P38111","P89105"
"P53115","P89105"
"P38144","P89105"
"P32349","P89105"
"Q03940","P89105"
"P31539","P89105"
"Q06164","P89105"
"Q06697","P89105"
"Q01159","P89105"
"P19524","P89105"
"Q12030","P89105"
"P22141","P89105"
"P33299","P89105"
"Q02630","P89105"
"Q01560","P89105"
"P10592","P89105"
"P32505","P89105"
"Q06632","P89105"
"P16370","P89105"
"P36012","P89105"
"P38236","P89105"
"P25604","P89105"
"P25344","P89105"
"P16649","P89105"
"Q06629","P89105"
"P46677","P89105"
"P47175","P89105"
"P46679","P89105"
"P10080","P89105"
"Q12306","P89105"
"Q06211","P89105"
"Q08226","P89105"
"Q07468","P89105"
"P31384","P38439"
"P05759","P38439"
"P29055","P38439"
"Q12158","P38439"
"P53861","P38439"
"P40352","P38439"
"P38827","P38439"
"P48562","P38439"
"P06104","P38439"
"P32915","P38439"
"P53940","P38439"
"P25294","P38439"
"Q05549","P38439"
"P29056","P38439"
"Q06339","P38439"
"P42945","P38439"
"P25586","P38439"
"P89105","P38439"
"Q06697","P38439"
"P22141","P38439"
"P33299","P38439"
"P53104","P38439"
"P27466","P38439"
"P38691","P38439"
"P06782","P38439"
"P32944","P38439"
"P06244","P38439"
"P23291","P38439"
"P23292","P38439"
"Q03002","P38439"
"P32597","P38439"
"P43579","P38439"
"P53849","P38439"
"P02309","P38439"
"P61830","P38439"
"Q12510","P38439"
"P10080","P38439"
"Q06211","P38439"
"Q08226","P38439"
"P00546","P38439"
"Q07807","P38439"
"Q06164","P38439"
"P15790","P38439"
"Q12464","P38439"
"Q03940","P38439"
"P16370","P38439"
"P32349","P38439"
"P07273","P38439"
"P53946","P38439"
"P38111","P38439"
"P53115","P38439"
"P32657","P38439"
"P39016","P38439"
"P39517","P38439"
"P53115","P38351"
"P05759","P38351"
"P32909","P38351"
"P29055","P38351"
"Q12158","P38351"
"P10662","P38351"
"Q00582","P38351"
"P37262","P38351"
"Q03373","P38351"
"Q03290","P38351"
"Q06328","P38351"
"P40025","P38351"
"P36163","P38351"
"P53616","P38351"
"Q08959","P38351"
"Q12182","P38351"
"Q12145","P38351"
"P53861","P38351"
"P40352","P38351"
"P38827","P38351"
"P48562","P38351"
"P61830","P38351"
"P15108","P38351"
"P32915","P38351"
"P53940","P38351"
"P25294","P38351"
"P12962","P38351"
"Q06339","P38351"
"P32367","P38351"
"P22276","P38351"
"P29056","P38351"
"P30771","P38351"
"P42945","P38351"
"Q04217","P38351"
"P25586","P38351"
"P39517","P38351"
"P39016","P38351"
"P32657","P38351"
"P38111","P38351"
"P89105","P38351"
"Q06697","P38351"
"P38439","P38351"
"P32558","P38351"
"P04050","P38351"
"Q12030","P38351"
"P17629","P38351"
"P32585","P38351"
"P41896","P38351"
"P38753","P38351"
