"protein1","protein2"
"A5JNG8","Q6P2U7"
"Q9I9E1","Q6P2U7"
"A5JNG8","Q66I42"
"Q6EHI4","Q66I42"
"Q9I9E1","Q66I42"
"Q9I9P9","Q5TZG5"
"Q9I9E1","Q5TZG5"
"A5JNG8","Q98867"
"Q9I9P9","Q98867"
"Q05AJ3","Q98867"
"Q6TEL1","Q98867"
"Q6TEL1","U3JAT9"
"Q9I9P9","Q6DG66"
"Q9I9E1","Q6DG66"
"Q9I9P9","Q1LXJ7"
"Q98TU2","F1QV31"
"Q98TU2","Q6NWF6"
"Q9I9E1","Q1LXK0"
"Q05AJ3","B0S789"
"F1QDF2","B0S789"
"Q6EHI4","Q7ZVT2"
"A5JNG8","Q7ZVT2"
"Q05AJ3","Q7ZVT2"
"A5JNG8","Q6NZW3"
"Q6EHI4","Q6NZW3"
"Q9I9P9","Q7ZWD8"
"Q6TEL1","Q6TH32"
"Q9I9E1","F1QC03"
"A5JNG8","F1QC03"
"F1QDF2","F1QC03"
"Q90270","F1QGH7"
"Q6TEL1","F1QGH7"
"F1QDF2","F1QGH7"
"Q6P0E1","F1QGH7"
"Q98TU2","F1QGH7"
"Q8JIS6","F1QGH7"
"Q6EHI4","F1QGH7"
"Q9I9E1","F1QGH7"
"A5JNG8","F1QGH7"
"F1QDF2","Q56A35"
"A5JNG8","Q56A35"
"Q6TEL1","A0A0R4IIA7"
"Q9I9P9","A0A0R4IIA7"
"Q98TU2","Q2MJQ9"
"Q9I9E1","Q2MJQ9"
"Q9I9E1","F1QJC0"
"Q6EHI4","B3DJR0"
"A5JNG8","Q1LVK6"
"Q6TEL1","Q1LVK6"
"A5JNG8","A0A0R4IN44"
"Q9I9E1","F1R8W3"
"Q9I9E1","F8W4B7"
"A5JNG8","F8W4B7"
"Q05AJ3","F8W4B7"
"F1QDF2","F8W4B7"
"A5JNG8","X1WC30"
"Q6TEL1","Q6P3J6"
"A5JNG8","Q6P3J6"
"A5JNG8","A9ULR9"
"A5JNG8","A2BGT0"
"F1QDF2","A2BGT0"
"Q6EHI4","Q803Q7"
"Q9I9E1","Q803Q7"
"A5JNG8","Q803Q7"
"F1QDF2","Q803Q7"
"F1QDF2","Q9W6A6"
"Q9I9E1","F1QKS4"
"A5JNG8","F1QKS4"
"Q6TEL1","E7F4T8"
"A5JNG8","E7F4T8"
"Q6TEL1","Q68EK9"
"A5JNG8","Q68EK9"
"A5JNG8","Q7ZVH3"
"A5JNG8","E9QH38"
"A5JNG8","Q561X1"
"A5JNG8","Q7T304"
"A5JNG8","Q7T3E6"
"Q9I9E1","Q7T3E6"
"Q9I9P9","Q7T3E6"
"Q9I9E1","Q8QHL5"
"A5JNG8","Q8QHL5"
"F1QDF2","Q8QHL5"
"Q6EHI4","Q8QHL5"
"A5JNG8","A0A0R4ISV4"
"Q9I9P9","A0A0R4IU39"
"A5JNG8","A0A0R4IU39"
"Q05AJ3","A0A0R4IU39"
"Q9I9E1","A2ATX3"
"A5JNG8","Q6PBY8"
"Q9I9E1","Q6PBY8"
"Q6TEL1","A9C3Q3"
"F1QDF2","A9C3Q3"
"A5JNG8","Q1JPS1"
"Q9I9E1","Q1JPS1"
"Q6TEL1","Q803I4"
"A5JNG8","Q803I4"
"F1QDF2","Q08BH9"
"A5JNG8","Q08BH9"
"A5JNG8","Q7ZUP9"
"A5JNG8","B0R1D5"
"Q9I9E1","A0A2R8QA59"
"Q9I9E1","B3DK16"
"Q6EHI4","B3DK16"
"Q9I9P9","Q4V908"
"Q05AJ3","Q4V908"
"A5JNG8","Q4V908"
"A5JNG8","Q7T1S3"
"A5JNG8","E7FFM7"
"F1QDF2","E7FFM7"
"Q9I9P9","F1Q5X3"
"Q9I9E1","F1Q5X3"
"A5JNG8","F1Q5X3"
"Q05AJ3","F1Q5X3"
"Q6EHI4","E7FCJ1"
"Q9I9E1","E7FCJ1"
"Q9I9E1","Q7SXV2"
"F1QDF2","Q7SXV2"
"Q6TEL1","Q7SXV2"
"A5JNG8","Q7SXV2"
"Q6JAA4","Q7SXV2"
"Q6TEL1","Q566T0"
"Q9I9E1","Q566T0"
"A5JNG8","Q566T0"
"F1QDF2","E7FEN0"
"Q9I9P9","E7FEN0"
