"protein1","protein2"
"WBGene00002128","WBGene00016600"
"WBGene00017687","WBGene00003701"
"WBGene00003925","WBGene00003701"
"WBGene00003401","WBGene00003701"
"WBGene00018369","WBGene00003701"
"WBGene00003921","WBGene00003701"
"WBGene00000238","WBGene00003701"
"WBGene00001244","WBGene00003701"
"WBGene00002128","WBGene00003701"
"WBGene00003114","WBGene00003701"
"WBGene00000899","WBGene00003701"
"WBGene00004857","WBGene00003701"
"WBGene00006766","WBGene00003701"
"WBGene00001513","WBGene00003701"
"WBGene00006870","WBGene00003701"
"WBGene00006818","WBGene00003701"
"WBGene00000249","WBGene00003701"
"WBGene00004319","WBGene00003701"
"WBGene00008762","WBGene00003701"
"WBGene00000452","WBGene00003701"
"WBGene00019960","WBGene00003701"
"WBGene00009998","WBGene00003701"
"WBGene00000938","WBGene00003701"
"WBGene00000238","WBGene00018833"
"WBGene00011069","WBGene00018833"
"WBGene00003624","WBGene00018833"
"WBGene00001259","WBGene00018833"
"WBGene00003033","WBGene00018833"
"WBGene00001578","WBGene00018833"
"WBGene00004078","WBGene00018833"
"WBGene00000899","WBGene00018833"
"WBGene00000437","WBGene00018833"
"WBGene00003114","WBGene00018833"
"WBGene00002128","WBGene00018833"
"WBGene00006970","WBGene00018833"
"WBGene00003182","WBGene00018833"
"WBGene00000446","WBGene00018833"
"WBGene00006604","WBGene00018833"
"WBGene00012626","WBGene00018833"
"WBGene00000435","WBGene00018833"
"WBGene00004857","WBGene00018833"
"WBGene00006766","WBGene00018833"
"WBGene00006796","WBGene00018833"
"WBGene00006818","WBGene00018833"
"WBGene00010890","WBGene00018833"
"WBGene00004198","WBGene00018833"
"WBGene00003925","WBGene00018833"
"WBGene00006766","WBGene00000437"
"WBGene00003605","WBGene00000437"
"WBGene00000437","WBGene00001249"
"WBGene00003968","WBGene00001249"
"WBGene00006766","WBGene00001249"
"WBGene00006853","WBGene00001249"
"WBGene00020036","WBGene00001249"
"WBGene00000996","WBGene00001249"
"WBGene00011571","WBGene00001249"
"WBGene00010108","WBGene00001249"
"WBGene00000437","WBGene00001250"
"WBGene00003968","WBGene00001250"
"WBGene00001252","WBGene00001250"
"WBGene00001578","WBGene00001250"
"WBGene00002245","WBGene00001250"
"WBGene00003406","WBGene00001250"
"WBGene00004029","WBGene00001250"
"WBGene00006727","WBGene00001250"
"WBGene00000437","WBGene00001251"
"WBGene00001252","WBGene00001251"
"WBGene00003968","WBGene00001251"
"WBGene00001578","WBGene00001251"
"WBGene00004013","WBGene00001251"
"WBGene00018740","WBGene00001251"
"WBGene00001438","WBGene00001251"
"WBGene00017687","WBGene00003037"
"WBGene00001578","WBGene00003037"
"WBGene00002128","WBGene00003037"
"WBGene00003658","WBGene00003037"
"WBGene00000429","WBGene00003037"
"WBGene00004078","WBGene00003037"
"WBGene00006604","WBGene00003037"
"WBGene00006766","WBGene00003037"
"WBGene00012626","WBGene00003037"
"WBGene00000446","WBGene00003037"
"WBGene00006796","WBGene00003037"
"WBGene00001996","WBGene00003037"
"WBGene00004888","WBGene00003037"
"WBGene00006773","WBGene00000447"
"WBGene00000447","WBGene00003854"
"WBGene00000912","WBGene00003854"
"WBGene00001259","WBGene00003854"
"WBGene00000899","WBGene00003854"
"WBGene00011069","WBGene00003854"
"WBGene00001578","WBGene00003854"
"WBGene00003658","WBGene00003854"
"WBGene00001952","WBGene00003854"
"WBGene00000457","WBGene00003854"
"WBGene00006970","WBGene00003854"
"WBGene00006778","WBGene00003854"
"WBGene00006818","WBGene00003854"
"WBGene00004134","WBGene00003854"
"WBGene00006552","WBGene00003854"
"WBGene00017687","WBGene00006545"
"WBGene00000447","WBGene00006545"
"WBGene00001397","WBGene00006545"
"WBGene00006766","WBGene00006545"
"WBGene00004781","WBGene00006545"
"WBGene00003040","WBGene00006545"
"WBGene00003377","WBGene00006545"
"WBGene00000451","WBGene00006545"
"WBGene00006870","WBGene00006545"
"WBGene00001438","WBGene00006545"
"WBGene00004950","WBGene00006545"
"WBGene00006604","WBGene00006545"
"WBGene00006873","WBGene00006545"
"WBGene00006546","WBGene00006545"
"WBGene00003621","WBGene00006545"
"WBGene00013583","WBGene00006545"
"WBGene00001182","WBGene00006545"
"WBGene00007015","WBGene00006545"
"WBGene00006558","WBGene00006545"
"WBGene00000463","WBGene00006545"
"WBGene00004013","WBGene00006545"
"WBGene00000452","WBGene00006545"
"WBGene00001965","WBGene00006545"
"WBGene00000430","WBGene00004024"
"WBGene00011069","WBGene00004024"
"WBGene00000899","WBGene00004024"
"WBGene00006766","WBGene00004024"
"WBGene00006778","WBGene00004024"
"WBGene00001755","WBGene00004024"
"WBGene00013591","WBGene00004024"
"WBGene00006887","WBGene00004024"
"WBGene00004029","WBGene00004024"
"WBGene00004205","WBGene00004024"
"WBGene00001434","WBGene00004024"
"WBGene00006818","WBGene00004024"
"WBGene00003033","WBGene00004024"
"WBGene00001162","WBGene00004024"
"WBGene00021237","WBGene00004024"
"WBGene00007732","WBGene00004024"
"WBGene00013583","WBGene00004024"
"WBGene00009998","WBGene00004024"
"WBGene00007017","WBGene00004024"
"WBGene00003637","WBGene00004024"
"WBGene00001438","WBGene00004024"
"WBGene00001952","WBGene00000912"
"WBGene00004888","WBGene00000912"
"WBGene00004204","WBGene00000912"
"WBGene00000899","WBGene00000912"
"WBGene00001008","WBGene00000912"
"WBGene00009998","WBGene00000912"
"WBGene00007013","WBGene00000912"
"WBGene00003633","WBGene00000912"
"WBGene00003704","WBGene00000912"
"WBGene00006396","WBGene00000912"
"WBGene00006558","WBGene00000912"
"WBGene00003939","WBGene00000912"
"WBGene00008762","WBGene00000912"
"WBGene00004013","WBGene00000912"
"WBGene00009180","WBGene00000912"
"WBGene00004117","WBGene00000912"
"WBGene00010406","WBGene00000912"
"WBGene00004857","WBGene00000912"
"WBGene00004856","WBGene00000912"
"WBGene00001502","WBGene00000912"
"WBGene00006779","WBGene00000912"
"WBGene00000103","WBGene00000912"
"WBGene00000102","WBGene00000912"
"WBGene00004789","WBGene00000912"
"WBGene00000366","WBGene00000912"
"WBGene00004803","WBGene00000912"
"WBGene00009004","WBGene00000912"
"WBGene00000433","WBGene00000914"
"WBGene00001186","WBGene00000914"
"WBGene00003163","WBGene00000899"
"WBGene00006766","WBGene00000899"
"WBGene00000914","WBGene00000899"
"WBGene00004857","WBGene00000899"
"WBGene00003514","WBGene00000899"
"WBGene00000899","WBGene00000440"
"WBGene00000438","WBGene00000440"
"WBGene00000483","WBGene00000440"
"WBGene00000446","WBGene00000440"
"WBGene00006778","WBGene00000440"
"WBGene00012891","WBGene00000440"
"WBGene00000899","WBGene00003241"
"WBGene00006604","WBGene00003241"
"WBGene00006818","WBGene00003241"
"WBGene00003936","WBGene00003241"
"WBGene00007059","WBGene00003241"
"WBGene00006993","WBGene00003241"
"WBGene00016200","WBGene00003241"
"WBGene00000018","WBGene00003241"
"WBGene00008999","WBGene00003241"
"WBGene00003939","WBGene00003241"
"WBGene00007029","WBGene00003241"
"WBGene00007732","WBGene00003241"
"WBGene00009998","WBGene00003241"
"WBGene00004319","WBGene00003241"
"WBGene00007011","WBGene00003241"
"WBGene00003149","WBGene00003241"
"WBGene00006815","WBGene00003241"
"WBGene00000156","WBGene00003241"
"WBGene00003219","WBGene00003241"
"WBGene00002991","WBGene00003241"
"WBGene00001006","WBGene00003241"
"WBGene00004198","WBGene00003241"
"WBGene00003401","WBGene00003241"
"WBGene00003021","WBGene00003241"
"WBGene00006829","WBGene00003241"
"WBGene00004042","WBGene00003241"
"WBGene00002128","WBGene00003912"
"WBGene00003048","WBGene00003912"
"WBGene00001252","WBGene00003912"
"WBGene00003114","WBGene00003912"
"WBGene00003015","WBGene00003912"
"WBGene00000899","WBGene00003912"
"WBGene00000816","WBGene00003912"
"WBGene00001284","WBGene00003912"
"WBGene00003822","WBGene00003912"
"WBGene00000143","WBGene00003912"
"WBGene00003209","WBGene00003912"
"WBGene00019220","WBGene00003912"
"WBGene00003134","WBGene00003912"
"WBGene00004758","WBGene00003912"
"WBGene00003030","WBGene00003912"
"WBGene00009992","WBGene00003912"
"WBGene00003657","WBGene00003912"
"WBGene00006887","WBGene00003912"
"WBGene00004055","WBGene00003912"
"WBGene00000103","WBGene00003912"
"WBGene00001869","WBGene00003912"
"WBGene00001005","WBGene00003912"
"WBGene00004857","WBGene00003912"
"WBGene00002177","WBGene00003912"
"WBGene00004029","WBGene00003912"
"WBGene00003247","WBGene00003912"
"WBGene00008008","WBGene00003912"
"WBGene00008745","WBGene00003912"
"WBGene00013111","WBGene00003912"
"WBGene00001646","WBGene00003912"
"WBGene00016128","WBGene00003912"
"WBGene00018410","WBGene00003912"
"WBGene00006870","WBGene00003912"
"WBGene00000405","WBGene00003912"
"WBGene00002881","WBGene00003912"
"WBGene00003925","WBGene00003912"
"WBGene00000249","WBGene00003912"
"WBGene00023498","WBGene00003912"
"WBGene00004929","WBGene00003912"
"WBGene00003926","WBGene00003912"
"WBGene00004466","WBGene00003912"
"WBGene00004503","WBGene00003912"
"WBGene00004502","WBGene00003912"
"WBGene00004459","WBGene00003912"
"WBGene00000369","WBGene00003912"
"WBGene00000899","WBGene00004949"
"WBGene00004857","WBGene00004949"
"WBGene00006796","WBGene00004949"
"WBGene00006818","WBGene00004949"
"WBGene00000457","WBGene00004949"
"WBGene00000899","WBGene00006580"
"WBGene00006970","WBGene00006580"
"WBGene00008762","WBGene00006580"
"WBGene00000899","WBGene00009772"
"WBGene00001006","WBGene00009772"
"WBGene00004888","WBGene00009772"
"WBGene00011195","WBGene00009772"
"WBGene00001210","WBGene00003622"
"WBGene00002128","WBGene00003622"
"WBGene00007013","WBGene00003622"
"WBGene00013583","WBGene00003622"
"WBGene00004781","WBGene00003622"
"WBGene00003939","WBGene00003622"
"WBGene00006396","WBGene00003622"
"WBGene00009998","WBGene00003622"
"WBGene00009180","WBGene00003622"
"WBGene00010453","WBGene00003622"
"WBGene00018990","WBGene00003622"
"WBGene00023498","WBGene00003622"
"WBGene00004013","WBGene00003622"
"WBGene00001162","WBGene00003622"
"WBGene00004117","WBGene00003622"
"WBGene00001252","WBGene00000459"
"WBGene00003150","WBGene00000459"
"WBGene00004888","WBGene00000459"
"WBGene00001252","WBGene00000463"
"WBGene00006766","WBGene00000463"
"WBGene00006778","WBGene00000463"
"WBGene00006396","WBGene00000463"
"WBGene00006853","WBGene00000463"
"WBGene00001438","WBGene00000463"
"WBGene00001182","WBGene00000463"
"WBGene00004862","WBGene00000463"
"WBGene00006604","WBGene00000463"
"WBGene00006870","WBGene00000463"
"WBGene00000220","WBGene00000463"
"WBGene00007013","WBGene00000463"
"WBGene00006546","WBGene00000463"
"WBGene00004013","WBGene00000463"
"WBGene00001252","WBGene00007776"
"WBGene00004857","WBGene00007776"
"WBGene00006773","WBGene00007776"
"WBGene00002016","WBGene00007776"
"WBGene00001252","WBGene00017326"
"WBGene00000899","WBGene00017326"
"WBGene00006818","WBGene00017326"
"WBGene00003621","WBGene00017326"
"WBGene00009998","WBGene00017326"
"WBGene00006558","WBGene00017326"
"WBGene00001438","WBGene00017326"
"WBGene00001252","WBGene00001186"
"WBGene00003657","WBGene00001186"
"WBGene00000938","WBGene00001186"
"WBGene00003652","WBGene00001186"
"WBGene00003149","WBGene00001186"
"WBGene00003150","WBGene00001186"
"WBGene00001834","WBGene00001186"
"WBGene00001598","WBGene00001186"
"WBGene00001252","WBGene00001253"
"WBGene00003087","WBGene00001253"
"WBGene00000938","WBGene00001253"
"WBGene00003218","WBGene00001253"
"WBGene00001182","WBGene00001253"
"WBGene00018990","WBGene00001253"
"WBGene00009998","WBGene00001253"
"WBGene00001186","WBGene00001253"
"WBGene00003657","WBGene00001253"
"WBGene00003939","WBGene00001253"
"WBGene00001223","WBGene00001253"
"WBGene00003701","WBGene00001253"
"WBGene00000438","WBGene00001253"
"WBGene00006796","WBGene00001253"
"WBGene00008762","WBGene00001253"
"WBGene00004013","WBGene00001253"
"WBGene00001252","WBGene00003102"
"WBGene00004077","WBGene00003102"
"WBGene00000457","WBGene00003102"
"WBGene00000463","WBGene00003102"
"WBGene00006766","WBGene00003102"
"WBGene00000446","WBGene00003102"
"WBGene00019960","WBGene00003102"
"WBGene00008257","WBGene00003102"
"WBGene00003024","WBGene00003102"
"WBGene00001252","WBGene00003377"
"WBGene00006766","WBGene00003377"
"WBGene00000899","WBGene00003377"
"WBGene00001964","WBGene00003377"
"WBGene00003704","WBGene00003377"
"WBGene00006546","WBGene00003377"
"WBGene00009998","WBGene00003377"
"WBGene00003001","WBGene00001259"
"WBGene00001609","WBGene00001259"
"WBGene00004798","WBGene00001259"
"WBGene00001973","WBGene00001259"
"WBGene00004029","WBGene00001259"
"WBGene00022400","WBGene00001259"
"WBGene00004888","WBGene00001259"
"WBGene00001834","WBGene00001259"
"WBGene00022034","WBGene00001259"
"WBGene00003114","WBGene00017687"
"WBGene00003241","WBGene00017687"
"WBGene00013405","WBGene00017687"
"WBGene00001598","WBGene00001397"
"WBGene00021676","WBGene00001397"
"WBGene00006727","WBGene00001397"
"WBGene00009272","WBGene00001397"
"WBGene00003033","WBGene00001208"
"WBGene00001397","WBGene00001208"
"WBGene00003624","WBGene00001208"
"WBGene00008748","WBGene00001208"
"WBGene00023498","WBGene00001208"
"WBGene00010453","WBGene00001208"
"WBGene00005078","WBGene00001208"
"WBGene00001210","WBGene00001208"
"WBGene00001397","WBGene00003628"
"WBGene00000460","WBGene00008762"
"WBGene00007016","WBGene00008762"
"WBGene00003633","WBGene00008762"
"WBGene00001964","WBGene00008762"
"WBGene00004857","WBGene00008762"
"WBGene00003652","WBGene00008762"
"WBGene00003938","WBGene00008762"
"WBGene00003595","WBGene00008762"
"WBGene00003939","WBGene00008762"
"WBGene00006870","WBGene00008762"
"WBGene00007013","WBGene00008762"
"WBGene00003846","WBGene00008762"
"WBGene00015523","WBGene00008762"
"WBGene00016138","WBGene00008762"
"WBGene00004507","WBGene00008762"
"WBGene00003000","WBGene00008762"
"WBGene00018740","WBGene00008762"
"WBGene00006881","WBGene00008762"
"WBGene00004096","WBGene00008762"
"WBGene00003480","WBGene00008762"
"WBGene00004013","WBGene00008762"
"WBGene00006873","WBGene00008762"
"WBGene00009998","WBGene00008762"
"WBGene00001574","WBGene00008762"
"WBGene00003378","WBGene00008762"
"WBGene00003637","WBGene00008762"
"WBGene00017601","WBGene00008762"
"WBGene00011926","WBGene00008762"
"WBGene00006853","WBGene00008762"
"WBGene00001821","WBGene00008762"
"WBGene00004781","WBGene00008762"
"WBGene00017406","WBGene00008762"
"WBGene00004117","WBGene00008762"
"WBGene00004862","WBGene00008762"
"WBGene00023498","WBGene00008762"
"WBGene00006778","WBGene00008762"
"WBGene00007984","WBGene00008762"
"WBGene00015981","WBGene00008762"
"WBGene00007029","WBGene00008762"
"WBGene00003046","WBGene00008762"
"WBGene00001981","WBGene00008762"
"WBGene00003657","WBGene00008762"
"WBGene00003865","WBGene00008762"
"WBGene00021515","WBGene00008762"
"WBGene00003014","WBGene00008762"
"WBGene00001950","WBGene00008762"
"WBGene00010012","WBGene00008762"
"WBGene00001965","WBGene00008762"
"WBGene00003021","WBGene00008762"
"WBGene00004950","WBGene00008762"
"WBGene00003218","WBGene00008762"
"WBGene00001223","WBGene00008762"
"WBGene00002278","WBGene00008762"
"WBGene00001955","WBGene00008762"
"WBGene00001252","WBGene00008762"
"WBGene00004319","WBGene00008762"
"WBGene00001438","WBGene00008762"
"WBGene00007015","WBGene00008762"
"WBGene00003854","WBGene00008762"
"WBGene00003377","WBGene00008762"
"WBGene00018786","WBGene00008762"
"WBGene00003592","WBGene00008762"
"WBGene00012101","WBGene00008762"
"WBGene00012330","WBGene00008762"
"WBGene00003511","WBGene00008762"
"WBGene00006391","WBGene00008762"
"WBGene00003033","WBGene00008762"
"WBGene00017742","WBGene00008762"
"WBGene00008999","WBGene00008762"
"WBGene00004858","WBGene00008762"
"WBGene00004335","WBGene00008762"
"WBGene00004011","WBGene00008762"
"WBGene00003704","WBGene00008762"
"WBGene00003087","WBGene00008762"
"WBGene00012436","WBGene00008762"
"WBGene00007732","WBGene00008762"
"WBGene00019960","WBGene00008762"
"WBGene00004393","WBGene00008762"
"WBGene00000429","WBGene00008762"
"WBGene00000457","WBGene00008762"
"WBGene00000561","WBGene00008762"
"WBGene00001204","WBGene00008762"
"WBGene00000938","WBGene00008762"
"WBGene00001397","WBGene00008762"
"WBGene00002128","WBGene00008762"
"WBGene00000442","WBGene00008762"
"WBGene00000450","WBGene00008762"
"WBGene00013583","WBGene00008762"
"WBGene00000438","WBGene00008762"
"WBGene00007929","WBGene00008762"
"WBGene00003847","WBGene00008762"
"WBGene00015477","WBGene00008762"
"WBGene00000452","WBGene00008762"
"WBGene00000463","WBGene00008762"
"WBGene00016200","WBGene00008762"
"WBGene00007776","WBGene00008762"
"WBGene00000895","WBGene00008762"
"WBGene00000521","WBGene00008762"
"WBGene00000447","WBGene00008762"
"WBGene00000443","WBGene00008762"
"WBGene00000469","WBGene00008762"
"WBGene00000223","WBGene00008762"
"WBGene00000461","WBGene00008762"
"WBGene00000428","WBGene00008762"
"WBGene00012832","WBGene00008762"
"WBGene00015787","WBGene00001578"
"WBGene00004798","WBGene00001578"
"WBGene00001578","WBGene00003613"
"WBGene00000366","WBGene00003613"
"WBGene00001949","WBGene00001952"
"WBGene00001952","WBGene00003012"
"WBGene00003033","WBGene00003012"
"WBGene00002128","WBGene00003012"
"WBGene00006604","WBGene00003012"
"WBGene00003149","WBGene00003012"
"WBGene00001580","WBGene00003012"
"WBGene00004888","WBGene00003012"
"WBGene00001834","WBGene00003012"
"WBGene00004143","WBGene00003012"
"WBGene00004042","WBGene00003012"
"WBGene00001952","WBGene00003633"
"WBGene00001006","WBGene00002128"
"WBGene00002128","WBGene00007984"
"WBGene00001438","WBGene00007984"
"WBGene00000450","WBGene00007984"
"WBGene00013583","WBGene00007984"
"WBGene00006773","WBGene00007984"
"WBGene00003621","WBGene00007984"
"WBGene00006873","WBGene00007984"
"WBGene00003377","WBGene00007984"
"WBGene00004950","WBGene00007984"
"WBGene00006558","WBGene00007984"
"WBGene00003107","WBGene00003015"
"WBGene00003033","WBGene00012317"
"WBGene00003182","WBGene00012317"
"WBGene00003701","WBGene00012317"
"WBGene00001223","WBGene00012317"
"WBGene00017088","WBGene00012317"
"WBGene00001834","WBGene00012317"
"WBGene00004042","WBGene00012317"
"WBGene00018136","WBGene00003048"
"WBGene00006943","WBGene00003048"
"WBGene00003396","WBGene00003048"
"WBGene00003048","WBGene00003937"
"WBGene00006773","WBGene00003114"
"WBGene00015981","WBGene00001377"
"WBGene00003865","WBGene00001377"
"WBGene00003701","WBGene00001377"
"WBGene00003639","WBGene00001377"
"WBGene00003704","WBGene00001377"
"WBGene00013583","WBGene00001377"
"WBGene00006853","WBGene00001377"
"WBGene00004013","WBGene00001377"
"WBGene00006396","WBGene00001377"
"WBGene00008762","WBGene00001377"
"WBGene00000451","WBGene00001377"
"WBGene00001162","WBGene00001377"
"WBGene00003378","WBGene00001377"
"WBGene00006391","WBGene00001377"
"WBGene00000455","WBGene00001377"
"WBGene00006558","WBGene00001377"
"WBGene00003114","WBGene00001377"
"WBGene00006778","WBGene00001377"
"WBGene00006870","WBGene00001377"
"WBGene00004862","WBGene00001377"
"WBGene00003621","WBGene00001377"
"WBGene00009998","WBGene00001377"
"WBGene00003633","WBGene00001377"
"WBGene00003480","WBGene00001377"
"WBGene00007732","WBGene00001377"
"WBGene00000223","WBGene00001377"
"WBGene00001345","WBGene00001377"
"WBGene00006766","WBGene00001377"
"WBGene00007013","WBGene00001377"
"WBGene00003939","WBGene00001377"
"WBGene00004117","WBGene00001377"
"WBGene00003388","WBGene00001377"
"WBGene00019960","WBGene00001377"
"WBGene00003846","WBGene00001377"
"WBGene00006773","WBGene00001377"
"WBGene00012330","WBGene00001377"
"WBGene00001182","WBGene00001377"
"WBGene00001223","WBGene00001377"
"WBGene00006546","WBGene00001377"
"WBGene00004858","WBGene00001377"
"WBGene00009180","WBGene00001377"
"WBGene00001438","WBGene00001377"
"WBGene00003657","WBGene00001377"
"WBGene00007013","WBGene00003163"
"WBGene00003163","WBGene00003230"
"WBGene00012484","WBGene00003230"
"WBGene00003149","WBGene00003230"
"WBGene00003150","WBGene00003230"
"WBGene00003916","WBGene00003230"
"WBGene00002363","WBGene00003230"
"WBGene00003231","WBGene00003230"
"WBGene00006727","WBGene00003230"
"WBGene00003632","WBGene00003624"
"WBGene00007016","WBGene00003624"
"WBGene00003658","WBGene00000904"
"WBGene00011963","WBGene00000904"
"WBGene00003658","WBGene00019327"
"WBGene00003656","WBGene00019327"
"WBGene00007015","WBGene00019327"
"WBGene00003865","WBGene00019327"
"WBGene00003704","WBGene00019327"
"WBGene00015477","WBGene00019327"
"WBGene00003701","WBGene00019327"
"WBGene00003087","WBGene00019327"
"WBGene00003048","WBGene00003968"
"WBGene00008762","WBGene00003968"
"WBGene00000450","WBGene00003968"
"WBGene00001950","WBGene00003968"
"WBGene00004013","WBGene00003968"
"WBGene00006870","WBGene00003968"
"WBGene00016600","WBGene00003968"
"WBGene00000938","WBGene00003968"
"WBGene00003657","WBGene00003968"
"WBGene00001438","WBGene00003968"
"WBGene00004117","WBGene00003968"
"WBGene00001182","WBGene00003968"
"WBGene00006853","WBGene00003968"
"WBGene00003968","WBGene00003601"
"WBGene00020142","WBGene00003601"
"WBGene00003657","WBGene00003601"
"WBGene00006773","WBGene00003601"
"WBGene00003704","WBGene00003601"
"WBGene00004077","WBGene00004804"
"WBGene00001251","WBGene00004804"
"WBGene00000103","WBGene00004804"
"WBGene00004789","WBGene00004804"
"WBGene00000102","WBGene00004804"
"WBGene00010663","WBGene00004804"
"WBGene00004055","WBGene00004804"
"WBGene00013766","WBGene00004804"
"WBGene00003401","WBGene00004804"
"WBGene00000366","WBGene00004804"
"WBGene00004078","WBGene00004096"
"WBGene00006604","WBGene00004096"
"WBGene00000435","WBGene00004096"
"WBGene00001182","WBGene00004096"
"WBGene00004117","WBGene00011069"
"WBGene00004393","WBGene00006604"
"WBGene00001413","WBGene00006604"
"WBGene00000837","WBGene00006604"
"WBGene00001411","WBGene00006604"
"WBGene00006778","WBGene00006604"
"WBGene00013583","WBGene00006604"
"WBGene00004013","WBGene00006604"
"WBGene00008762","WBGene00006604"
"WBGene00000438","WBGene00006604"
"WBGene00015981","WBGene00006604"
"WBGene00006773","WBGene00006604"
"WBGene00001182","WBGene00006604"
"WBGene00004950","WBGene00006604"
"WBGene00006558","WBGene00006604"
"WBGene00004077","WBGene00006604"
"WBGene00001438","WBGene00006604"
"WBGene00006870","WBGene00006604"
"WBGene00003048","WBGene00006604"
"WBGene00004774","WBGene00006604"
"WBGene00006887","WBGene00006604"
"WBGene00004334","WBGene00006604"
"WBGene00006604","WBGene00004857"
"WBGene00006604","WBGene00003845"
"WBGene00004857","WBGene00003845"
"WBGene00011963","WBGene00000793"
"WBGene00021237","WBGene00000793"
"WBGene00011963","WBGene00003087"
"WBGene00006766","WBGene00003087"
"WBGene00006818","WBGene00003087"
"WBGene00003704","WBGene00003087"
"WBGene00003939","WBGene00003087"
"WBGene00009998","WBGene00003087"
"WBGene00006396","WBGene00003087"
"WBGene00006853","WBGene00003087"
"WBGene00003633","WBGene00003087"
"WBGene00004781","WBGene00003087"
"WBGene00018740","WBGene00003087"
"WBGene00007029","WBGene00003087"
"WBGene00004013","WBGene00003087"
"WBGene00016200","WBGene00003087"
"WBGene00010012","WBGene00003087"
"WBGene00004888","WBGene00003087"
"WBGene00001834","WBGene00003087"
"WBGene00004042","WBGene00003087"
"WBGene00006604","WBGene00020368"
"WBGene00006604","WBGene00003621"
"WBGene00006778","WBGene00003621"
"WBGene00019800","WBGene00003621"
"WBGene00004767","WBGene00003621"
"WBGene00003639","WBGene00003621"
"WBGene00003033","WBGene00003621"
"WBGene00003701","WBGene00003621"
"WBGene00009998","WBGene00003621"
"WBGene00003939","WBGene00003621"
"WBGene00001182","WBGene00003621"
"WBGene00004013","WBGene00003621"
"WBGene00004955","WBGene00012626"
"WBGene00004888","WBGene00012626"
"WBGene00000914","WBGene00006970"
"WBGene00006766","WBGene00000435"
"WBGene00003925","WBGene00016310"
"WBGene00006818","WBGene00016310"
"WBGene00006796","WBGene00016310"
"WBGene00000435","WBGene00016310"
"WBGene00000438","WBGene00016310"
"WBGene00000899","WBGene00016310"
"WBGene00000463","WBGene00016310"
"WBGene00000446","WBGene00016310"
"WBGene00008762","WBGene00000446"
"WBGene00001438","WBGene00000446"
"WBGene00003377","WBGene00000446"
"WBGene00004013","WBGene00000446"
"WBGene00006870","WBGene00000446"
"WBGene00003621","WBGene00000446"
"WBGene00006558","WBGene00000446"
"WBGene00001182","WBGene00000446"
"WBGene00003701","WBGene00000446"
"WBGene00006766","WBGene00000458"
"WBGene00000446","WBGene00000458"
"WBGene00000446","WBGene00006778"
"WBGene00000899","WBGene00006778"
"WBGene00006766","WBGene00006778"
"WBGene00000483","WBGene00006778"
"WBGene00020142","WBGene00006778"
"WBGene00006766","WBGene00044330"
"WBGene00000446","WBGene00044330"
"WBGene00001509","WBGene00044330"
"WBGene00006766","WBGene00003600"
"WBGene00000446","WBGene00003600"
"WBGene00006820","WBGene00003600"
"WBGene00006766","WBGene00006652"
"WBGene00000446","WBGene00006652"
"WBGene00003247","WBGene00006652"
