"protein1","protein2"
"WBGene00006870","WBGene00003231"
"WBGene00006558","WBGene00003231"
"WBGene00006977","WBGene00003231"
"WBGene00006727","WBGene00003231"
"WBGene00011195","WBGene00003231"
"WBGene00003231","WBGene00004078"
"WBGene00012484","WBGene00004078"
"WBGene00004029","WBGene00004078"
"WBGene00004888","WBGene00004078"
"WBGene00010492","WBGene00004078"
"WBGene00004042","WBGene00004078"
"WBGene00004975","WBGene00006941"
"WBGene00004121","WBGene00006941"
"WBGene00006941","WBGene00013355"
"WBGene00019125","WBGene00006381"
"WBGene00003936","WBGene00006381"
"WBGene00012626","WBGene00006381"
"WBGene00000265","WBGene00006381"
"WBGene00003796","WBGene00006381"
"WBGene00004437","WBGene00006381"
"WBGene00009082","WBGene00006381"
"WBGene00001227","WBGene00006381"
"WBGene00006988","WBGene00006381"
"WBGene00013223","WBGene00006381"
"WBGene00004806","WBGene00006381"
"WBGene00003241","WBGene00006381"
"WBGene00004202","WBGene00006381"
"WBGene00015418","WBGene00006381"
"WBGene00006363","WBGene00006381"
"WBGene00006874","WBGene00006381"
"WBGene00009314","WBGene00006381"
"WBGene00003597","WBGene00006381"
"WBGene00023498","WBGene00006381"
"WBGene00003021","WBGene00006381"
"WBGene00004798","WBGene00006381"
"WBGene00001834","WBGene00006381"
"WBGene00006727","WBGene00006381"
"WBGene00006381","WBGene00006994"
"WBGene00019061","WBGene00006994"
"WBGene00004955","WBGene00006994"
"WBGene00004888","WBGene00006994"
"WBGene00004798","WBGene00006994"
"WBGene00001834","WBGene00006994"
"WBGene00011195","WBGene00006994"
"WBGene00000272","WBGene00004393"
"WBGene00006773","WBGene00004393"
"WBGene00004055","WBGene00004393"
"WBGene00013405","WBGene00018572"
"WBGene00018572","WBGene00000908"
"WBGene00001377","WBGene00004077"
"WBGene00000366","WBGene00004077"
"WBGene00003048","WBGene00004077"
"WBGene00006558","WBGene00004077"
"WBGene00008762","WBGene00004077"
"WBGene00006546","WBGene00004077"
"WBGene00006853","WBGene00004077"
"WBGene00009314","WBGene00004077"
"WBGene00006547","WBGene00004077"
"WBGene00000461","WBGene00004077"
"WBGene00004027","WBGene00004077"
"WBGene00004077","WBGene00006379"
"WBGene00000912","WBGene00000238"
"WBGene00004077","WBGene00000238"
"WBGene00000156","WBGene00000238"
"WBGene00006604","WBGene00016600"
"WBGene00000238","WBGene00016600"
