"protein1","protein2"
"FBgn0015278","FBgn0004907"
"FBgn0020238","FBgn0004907"
"FBgn0262823","FBgn0004907"
"FBgn0023169","FBgn0027493"
"FBgn0026179","FBgn0013750"
"FBgn0000499","FBgn0013750"
"FBgn0086782","FBgn0013750"
"FBgn0014020","FBgn0013750"
"FBgn0000117","FBgn0013750"
"FBgn0037182","FBgn0013750"
"FBgn0011692","FBgn0013750"
"FBgn0287864","FBgn0013750"
"FBgn0284084","FBgn0013750"
"FBgn0051158","FBgn0013750"
"FBgn0010348","FBgn0013750"
"FBgn0050372","FBgn0013750"
"FBgn0036192","FBgn0001961"
"FBgn0025641","FBgn0001961"
"FBgn0050077","FBgn0001961"
"FBgn0036819","FBgn0001961"
"FBgn0010583","FBgn0032859"
"FBgn0010329","FBgn0031453"
"FBgn0031032","FBgn0265598"
"FBgn0260805","FBgn0265598"
"FBgn0260801","FBgn0265598"
"FBgn0262160","FBgn0265598"
"FBgn0035083","FBgn0265598"
"FBgn0037298","FBgn0265598"
"FBgn0037537","FBgn0265598"
"FBgn0014906","FBgn0265598"
"FBgn0001169","FBgn0265598"
"FBgn0000179","FBgn0265598"
"FBgn0027508","FBgn0265598"
"FBgn0035983","FBgn0265598"
"FBgn0015521","FBgn0265598"
"FBgn0040208","FBgn0265598"
"FBgn0031312","FBgn0265598"
"FBgn0005278","FBgn0265598"
"FBgn0003896","FBgn0265598"
"FBgn0260462","FBgn0265598"
"FBgn0001325","FBgn0265598"
"FBgn0039006","FBgn0265598"
"FBgn0033812","FBgn0265598"
"FBgn0037468","FBgn0265598"
"FBgn0010847","FBgn0265598"
"FBgn0021872","FBgn0265598"
"FBgn0034071","FBgn0265598"
"FBgn0260811","FBgn0265598"
"FBgn0011205","FBgn0265598"
"FBgn0260802","FBgn0265598"
"FBgn0260806","FBgn0265598"
"FBgn0038294","FBgn0265598"
"FBgn0263006","FBgn0265598"
"FBgn0001123","FBgn0265598"
"FBgn0034105","FBgn0265598"
"FBgn0262448","FBgn0265598"
"FBgn0004647","FBgn0265598"
"FBgn0003975","FBgn0265598"
"FBgn0002781","FBgn0265598"
"FBgn0028387","FBgn0265598"
"FBgn0039316","FBgn0265598"
"FBgn0085424","FBgn0265598"
"FBgn0027945","FBgn0265598"
"FBgn0003415","FBgn0265598"
"FBgn0027515","FBgn0265598"
"FBgn0003567","FBgn0265598"
"FBgn0285917","FBgn0265598"
"FBgn0000083","FBgn0265598"
"FBgn0061178","FBgn0265598"
"FBgn0031149","FBgn0265598"
"FBgn0285952","FBgn0265598"
"FBgn0041111","FBgn0265598"
"FBgn0038299","FBgn0265598"
"FBgn0011481","FBgn0265598"
"FBgn0265052","FBgn0265598"
"FBgn0010452","FBgn0265598"
"FBgn0003117","FBgn0265598"
"FBgn0020238","FBgn0265598"
"FBgn0043364","FBgn0265598"
"FBgn0026409","FBgn0265598"
"FBgn0040532","FBgn0265598"
"FBgn0039849","FBgn0265598"
"FBgn0013718","FBgn0265598"
"FBgn0040071","FBgn0265598"
"FBgn0260809","FBgn0265598"
"FBgn0027594","FBgn0265598"
"FBgn0013764","FBgn0265598"
"FBgn0023095","FBgn0265598"
"FBgn0260803","FBgn0265598"
"FBgn0000212","FBgn0265598"
"FBgn0262582","FBgn0265598"
"FBgn0260807","FBgn0265598"
"FBgn0037021","FBgn0265598"
"FBgn0260810","FBgn0265598"
"FBgn0014037","FBgn0265598"
"FBgn0260808","FBgn0265598"
"FBgn0260804","FBgn0265598"
"FBgn0262368","FBgn0265598"
"FBgn0011591","FBgn0265598"
"FBgn0025373","FBgn0265598"
"FBgn0011580","FBgn0265598"
"FBgn0002440","FBgn0265598"
"FBgn0005322","FBgn0265598"
