"protein1","protein2"
"BSU_25200","BSU_00010"
"BSU_24220","BSU_00010"
"BSU_24220","BSU_40970"
"BSU_15320","BSU_29090"
"BSU_24220","BSU_40960"
"NA","BSU_21000"
"BSU_25200","BSU_26260"
"BSU_26350","BSU_26260"
"BSU_24220","BSU_17900"
"BSU_26350","BSU_26310"
"BSU_25200","BSU_26310"
"BSU_25200","BSU_00020"
"BSU_24220","BSU_00020"
"BSU_17850","BSU_29230"
"BSU_25200","BSU_29740"
"BSU_25200","BSU_25210"
"BSU_24220","BSU_25210"
"BSU_00980","BSU_25210"
"BSU_25200","BSU_00040"
"NA","BSU_27620"
"BSU_25200","BSU_25280"
"BSU_04730","BSU_25280"
"BSU_16470","BSU_31250"
"BSU_00370","BSU_31250"
"BSU_25200","BSU_16940"
"BSU_10420","BSU_16940"
"BSU_17850","BSU_16940"
"BSU_25200","BSU_00060"
"BSU_25200","BSU_33040"
"BSU_00980","BSU_33040"
"BSU_18000","BSU_29120"
"BSU_25200","BSU_29120"
"BSU_14140","BSU_29120"
"BSU_29740","BSU_29120"
"BSU_25200","BSU_36760"
"BSU_23450","BSU_36760"
"BSU_17850","BSU_18100"
"BSU_25200","BSU_18100"
"BSU_25200","BSU_00070"
"BSU_16470","BSU_31240"
"BSU_00370","BSU_31240"
"BSU_16170","BSU_00090"
"BSU_23450","BSU_23480"
"BSU_00370","BSU_23480"
"BSU_15330","BSU_23480"
"BSU_09520","BSU_22320"
"BSU_25200","BSU_22320"
"BSU_25200","BSU_10110"
"BSU_15330","BSU_10110"
"BSU_01690","BSU_01670"
"BSU_04730","BSU_18350"
"BSU_00980","BSU_18350"
"BSU_15320","BSU_23190"
"BSU_00470","BSU_00110"
"BSU_24220","BSU_00110"
"BSU_24220","BSU_00120"
"BSU_00470","BSU_00120"
"BSU_29740","BSU_07840"
"BSU_29110","BSU_07840"
"BSU_15320","BSU_00160"
"BSU_36420","BSU_00160"
"BSU_04730","BSU_00160"
"BSU_25760","BSU_17030"
"BSU_28410","BSU_17030"
"BSU_15320","BSU_17030"
"BSU_15320","BSU_02600"
"BSU_25760","BSU_02600"
"BSU_36420","BSU_02600"
"BSU_25200","BSU_16030"
"BSU_15320","BSU_00230"
"BSU_36420","BSU_00230"
"BSU_15330","BSU_25530"
"BSU_00560","BSU_25530"
"BSU_23450","BSU_25530"
"BSU_15320","BSU_25530"
"BSU_24220","BSU_36750"
"BSU_15320","BSU_36750"
"BSU_36420","BSU_36750"
"BSU_36420","BSU_27970"
"BSU_15320","BSU_27970"
"BSU_29740","BSU_29700"
"BSU_25200","BSU_29700"
"BSU_14240","BSU_39940"
"BSU_00010","BSU_39940"
"BSU_00370","BSU_39940"
"BSU_25200","BSU_00370"
"BSU_24220","BSU_00370"
"BSU_00370","BSU_00370"
"BSU_29740","BSU_14120"
"BSU_24220","BSU_14120"
"NA","BSU_01130"
"BSU_24220","BSU_00380"
"NA","BSU_23220"
"BSU_25200","BSU_14530"
"BSU_09990","BSU_35370"
"BSU_16470","BSU_35370"
"BSU_10420","BSU_35370"
"BSU_25200","BSU_35370"
"BSU_35490","BSU_35370"
"BSU_00980","BSU_00490"
"BSU_00370","BSU_00490"
"BSU_24610","BSU_00490"
"NA","BSU_00510"
"BSU_25200","BSU_00510"
"BSU_17850","BSU_35160"
"BSU_15320","BSU_00590"
"BSU_01730","BSU_00590"
"BSU_09520","BSU_00590"
"BSU_23100","BSU_00590"
"BSU_16470","BSU_00590"
"BSU_00370","BSU_15640"
"BSU_35490","BSU_15640"
"NA","BSU_27940"
"BSU_25200","BSU_16040"
"NA","BSU_16040"
"BSU_25200","BSU_01280"
"NA","BSU_01280"
"NA","BSU_15820"
"BSU_25200","BSU_01240"
"NA","BSU_01240"
"NA","BSU_28860"
"BSU_28850","BSU_28860"
"BSU_25200","BSU_01230"
"NA","BSU_01230"
"NA","BSU_01350"
"BSU_25200","BSU_01350"
"BSU_25200","BSU_01160"
"NA","BSU_01160"
"NA","BSU_01490"
"NA","BSU_27960"
"NA","BSU_01310"
"BSU_25200","BSU_01310"
"NA","BSU_01260"
"BSU_25200","BSU_01260"
"BSU_25200","BSU_01270"
"NA","BSU_01270"
"NA","BSU_01170"
"BSU_25200","BSU_01170"
"NA","BSU_01340"
"BSU_25200","BSU_01340"
"BSU_25200","BSU_01400"
"NA","BSU_01400"
"BSU_25200","BSU_01320"
"NA","BSU_01320"
"BSU_01050","BSU_01040"
"NA","BSU_01040"
"BSU_01040","BSU_01040"
"NA","BSU_01180"
"BSU_25200","BSU_01180"
"BSU_25200","BSU_01190"
"NA","BSU_01190"
"NA","BSU_15080"
"BSU_25200","BSU_41060"
"NA","BSU_28850"
"BSU_28850","BSU_28850"
"BSU_25200","BSU_01210"
"NA","BSU_01210"
"NA","BSU_01440"
"BSU_25200","BSU_01440"
"NA","BSU_01020"
"BSU_16470","BSU_00620"
"BSU_09520","BSU_00620"
"BSU_15320","BSU_00620"
"BSU_01730","BSU_00620"
"BSU_23100","BSU_00620"
"BSU_14380","BSU_14400"
"BSU_25200","BSU_14850"
"BSU_18420","BSU_14850"
"NA","BSU_14850"
"BSU_13310","BSU_14850"
"BSU_25200","BSU_29610"
"BSU_26430","BSU_12890"
"BSU_03750","BSU_12890"
"BSU_12560","BSU_12790"
"BSU_25200","BSU_15290"
"BSU_00980","BSU_15290"
"BSU_40410","BSU_15290"
"NA","BSU_15240"
"BSU_25200","BSU_15240"
"BSU_15320","BSU_15240"
"BSU_09520","BSU_15240"
"BSU_36420","BSU_15240"
"BSU_00370","BSU_09900"
"BSU_17850","BSU_09920"
"BSU_24220","BSU_15390"
"BSU_40410","BSU_15280"
"BSU_00980","BSU_15280"
"BSU_25200","BSU_15280"
"BSU_00980","BSU_37030"
"BSU_24220","BSU_37030"
"BSU_01730","BSU_00630"
"BSU_15320","BSU_00630"
"BSU_16470","BSU_00630"
"BSU_23100","BSU_00630"
"BSU_09520","BSU_00630"
"BSU_25200","BSU_01200"
"NA","BSU_01200"
"NA","BSU_16680"
"BSU_29110","BSU_35310"
"BSU_16470","BSU_35310"
"BSU_04730","BSU_35310"
"BSU_00980","BSU_35310"
"NA","BSU_01330"
"BSU_25200","BSU_01330"
"NA","BSU_01500"
"BSU_25200","BSU_01250"
"NA","BSU_01250"
"NA","BSU_01420"
"BSU_25200","BSU_01420"
"BSU_25200","BSU_01220"
"NA","BSU_01220"
"NA","BSU_16490"
"BSU_16490","BSU_16490"
"NA","BSU_01110"
"NA","BSU_40890"
"BSU_25200","BSU_40890"
"BSU_10420","BSU_40890"
"NA","BSU_01300"
"BSU_25200","BSU_01300"
"BSU_24220","BSU_00640"
"BSU_25200","BSU_00640"
"BSU_23450","BSU_00640"
"BSU_36420","BSU_25770"
"BSU_15320","BSU_25770"
"BSU_25200","BSU_03480"
"BSU_11500","BSU_03480"
"BSU_14480","BSU_03480"
"BSU_31680","BSU_03480"
"BSU_16170","BSU_03480"
"BSU_08730","BSU_03480"
"BSU_29110","BSU_03480"
"BSU_23590","BSU_23590"
"BSU_10420","BSU_28050"
"BSU_25200","BSU_28050"
"BSU_09520","BSU_28050"
"BSU_23450","BSU_00660"
"BSU_23450","BSU_00650"
"BSU_16170","BSU_11400"
"BSU_13310","BSU_11400"
"BSU_09990","BSU_11400"
"BSU_25200","BSU_33500"
"BSU_33520","BSU_33500"
"BSU_29740","BSU_07800"
"BSU_25200","BSU_07800"
"BSU_29110","BSU_07800"
"BSU_07820","BSU_07800"
"BSU_35490","BSU_16210"
"BSU_16470","BSU_16210"
"BSU_16170","BSU_16210"
"BSU_24220","BSU_16210"
"BSU_35230","BSU_16210"
"BSU_25200","BSU_16210"
"BSU_25200","BSU_04690"
"BSU_04730","BSU_04690"
"BSU_29740","BSU_04690"
"BSU_25200","BSU_01070"
"NA","BSU_01070"
"BSU_06960","BSU_07010"
"BSU_25200","BSU_07010"
"BSU_29740","BSU_07010"
"BSU_07010","BSU_07010"
"BSU_24220","BSU_36250"
"BSU_25200","BSU_36250"
"BSU_35490","BSU_36250"
"BSU_00370","BSU_36250"
"BSU_25200","BSU_35500"
"BSU_24610","BSU_35500"
"BSU_29740","BSU_35500"
"BSU_35490","BSU_35500"
"BSU_13310","BSU_35500"
"BSU_15330","BSU_13390"
"BSU_00560","BSU_13390"
"BSU_24520","BSU_04360"
"BSU_40410","BSU_39230"
"BSU_33221","BSU_39230"
"BSU_25200","BSU_39230"
"BSU_35490","BSU_39230"
"BSU_00370","BSU_14370"
"BSU_01730","BSU_14370"
"BSU_35490","BSU_36240"
"BSU_00370","BSU_36240"
"BSU_25200","BSU_36240"
"BSU_24220","BSU_36240"
"BSU_02740","BSU_02760"
"BSU_25200","BSU_36260"
"BSU_24220","BSU_36260"
"BSU_35490","BSU_36260"
"BSU_00370","BSU_36260"
"BSU_00370","BSU_01730"
"BSU_01730","BSU_01730"
"BSU_03750","BSU_03740"
"BSU_09520","BSU_27990"
"BSU_25200","BSU_27990"
"BSU_10420","BSU_27990"
"BSU_00980","BSU_27990"
"BSU_15670","BSU_34360"
"NA","BSU_34360"
"BSU_00370","BSU_34360"
"BSU_25200","BSU_34360"
"BSU_24610","BSU_34360"
"BSU_00370","BSU_23460"
"BSU_00980","BSU_23460"
"BSU_24610","BSU_23460"
"BSU_23450","BSU_23460"
"BSU_15330","BSU_23460"
"BSU_24220","BSU_23460"
"BSU_29740","BSU_04720"
"BSU_04730","BSU_04720"
"BSU_25200","BSU_04720"
"BSU_23450","BSU_00670"
"BSU_00680","BSU_00670"
"BSU_09520","BSU_00670"
"BSU_00670","BSU_00670"
"BSU_25200","BSU_00670"
"BSU_25200","BSU_32700"
"BSU_25200","BSU_00680"
"BSU_00670","BSU_00680"
"BSU_09520","BSU_00680"
"BSU_23450","BSU_00680"
"BSU_00680","BSU_00680"
"NA","BSU_27610"
"BSU_00470","BSU_22070"
"BSU_25200","BSU_22070"
"NA","BSU_22070"
"BSU_00680","BSU_00690"
"BSU_09520","BSU_00690"
"BSU_00670","BSU_00690"
"BSU_25200","BSU_00690"
"BSU_23450","BSU_00690"
"BSU_10420","BSU_24670"
"BSU_23450","BSU_24670"
"BSU_25200","BSU_24670"
"BSU_33221","BSU_10770"
"BSU_29740","BSU_10770"
"BSU_25200","BSU_10770"
"BSU_09520","BSU_00700"
"BSU_11500","BSU_00700"
"BSU_11500","BSU_00710"
"BSU_09520","BSU_00710"
"BSU_27520","BSU_00730"
"BSU_25200","BSU_00730"
"BSU_11500","BSU_00730"
"BSU_09520","BSU_00730"
"BSU_25200","BSU_27520"
"NA","BSU_27520"
"NA","BSU_00930"
"BSU_25200","BSU_00930"
"BSU_25200","BSU_00740"
"BSU_25200","BSU_00750"
"BSU_22770","BSU_22680"
"BSU_25200","BSU_00820"
"BSU_11500","BSU_00830"
"BSU_04730","BSU_00830"
"BSU_25200","BSU_00830"
"BSU_00830","BSU_00830"
"BSU_23450","BSU_00830"
"BSU_09520","BSU_00830"
"BSU_17850","BSU_05650"
"BSU_13450","BSU_31970"
"BSU_00370","BSU_31970"
"BSU_25200","BSU_31970"
"BSU_14020","BSU_31970"
"BSU_23520","BSU_31970"
"BSU_11500","BSU_11550"
"BSU_25200","BSU_28710"
"BSU_29740","BSU_28710"
"BSU_11500","BSU_00840"
"BSU_00830","BSU_00840"
"BSU_25200","BSU_00840"
"BSU_09520","BSU_00840"
"BSU_04730","BSU_00840"
"BSU_23450","BSU_00840"
"BSU_23450","BSU_00850"
"BSU_00830","BSU_00850"
"BSU_04730","BSU_00850"
"BSU_09520","BSU_00850"
"BSU_25200","BSU_00850"
"BSU_11500","BSU_00850"
"BSU_25200","BSU_28200"
"BSU_00830","BSU_28200"
"BSU_00830","BSU_28220"
"BSU_25200","BSU_28220"
"BSU_11500","BSU_00860"
"BSU_25200","BSU_00860"
"BSU_00830","BSU_00860"
"BSU_09520","BSU_00860"
"BSU_23450","BSU_00860"
"BSU_04730","BSU_00860"
"BSU_23520","BSU_37240"
"BSU_04730","BSU_37240"
"BSU_00370","BSU_10420"
"BSU_25200","BSU_10420"
"BSU_16170","BSU_10420"
"BSU_14240","BSU_10420"
"BSU_35490","BSU_10420"
"BSU_24220","BSU_10420"
"BSU_10420","BSU_10420"
"BSU_25200","BSU_11520"
"BSU_00830","BSU_34540"
"BSU_04730","BSU_34540"
"BSU_25200","BSU_34540"
"BSU_25200","BSU_13700"
"BSU_00830","BSU_13700"
"BSU_16170","BSU_16150"
"BSU_25200","BSU_16150"
"BSU_04730","BSU_00880"
"BSU_25200","BSU_00880"
"BSU_23450","BSU_00880"
"BSU_09520","BSU_00880"
"BSU_00830","BSU_00880"
