"protein1","protein2"
"WBGene00003037","WBGene00003231"
"WBGene00001568","WBGene00003231"
"WBGene00006853","WBGene00003231"
"WBGene00003474","WBGene00003231"
"WBGene00001061","WBGene00003231"
"WBGene00002998","WBGene00004078"
"WBGene00001833","WBGene00004078"
"WBGene00003037","WBGene00004078"
"WBGene00006964","WBGene00004078"
"WBGene00001568","WBGene00004078"
"WBGene00006853","WBGene00004078"
"WBGene00006577","WBGene00004078"
"WBGene00003020","WBGene00004078"
"WBGene00001061","WBGene00004078"
"WBGene00017690","WBGene00006941"
"WBGene00006604","WBGene00006941"
"WBGene00001345","WBGene00006941"
"WBGene00003041","WBGene00013355"
"WBGene00003220","WBGene00006381"
"WBGene00003020","WBGene00006381"
"WBGene00003667","WBGene00006381"
"WBGene00001061","WBGene00006381"
"WBGene00016997","WBGene00006381"
"WBGene00023497","WBGene00006381"
"WBGene00022794","WBGene00006381"
"WBGene00006790","WBGene00006381"
"WBGene00019327","WBGene00006381"
"WBGene00003037","WBGene00006381"
"WBGene00003087","WBGene00006381"
"WBGene00011614","WBGene00006381"
"WBGene00003847","WBGene00006381"
"WBGene00004013","WBGene00006381"
"WBGene00003087","WBGene00006994"
"WBGene00003035","WBGene00006994"
"WBGene00011614","WBGene00006994"
"WBGene00003002","WBGene00006994"
"WBGene00017690","WBGene00006994"
"WBGene00001568","WBGene00006994"
"WBGene00003847","WBGene00006994"
"WBGene00004804","WBGene00006994"
"WBGene00006604","WBGene00006994"
"WBGene00003024","WBGene00006994"
"WBGene00003622","WBGene00006994"
"WBGene00003220","WBGene00006994"
"WBGene00006514","WBGene00006994"
"WBGene00003020","WBGene00006994"
"WBGene00001061","WBGene00006994"
"WBGene00016202","WBGene00006994"
"WBGene00016997","WBGene00006994"
"WBGene00023497","WBGene00006994"
"WBGene00002998","WBGene00006994"
"WBGene00006790","WBGene00006994"
"WBGene00003037","WBGene00006994"
"WBGene00003163","WBGene00006994"
"WBGene00006796","WBGene00004393"
"WBGene00011614","WBGene00004393"
"WBGene00001174","WBGene00004393"
"WBGene00003087","WBGene00004393"
"WBGene00006790","WBGene00004393"
"WBGene00000912","WBGene00004393"
"WBGene00001345","WBGene00004393"
"WBGene00004096","WBGene00004393"
"WBGene00006514","WBGene00004393"
"WBGene00003661","WBGene00004393"
"WBGene00004013","WBGene00004393"
"WBGene00003003","WBGene00004393"
"WBGene00001250","WBGene00004393"
"WBGene00012005","WBGene00004393"
"WBGene00017690","WBGene00004393"
"WBGene00002637","WBGene00018572"
"WBGene00003041","WBGene00018572"
"WBGene00003605","WBGene00018572"
"WBGene00016202","WBGene00018572"
"WBGene00003601","WBGene00018572"
"WBGene00003020","WBGene00018572"
"WBGene00003511","WBGene00018572"
"WBGene00006514","WBGene00018572"
"WBGene00007016","WBGene00018572"
"WBGene00003622","WBGene00018572"
"WBGene00003623","WBGene00018572"
"WBGene00006604","WBGene00018572"
"WBGene00003624","WBGene00018572"
"WBGene00001087","WBGene00018572"
"WBGene00004013","WBGene00018572"
"WBGene00003847","WBGene00018572"
"WBGene00001249","WBGene00018572"
"WBGene00003218","WBGene00018572"
