"protein1","protein2"
"BSU_00010","BSU_40960"
"BSU_00010","BSU_13060"
"BSU_00010","BSU_28990"
"BSU_00010","BSU_24300"
"BSU_00010","BSU_21000"
"BSU_00010","BSU_29090"
"BSU_00010","BSU_41050"
"BSU_00010","BSU_00330"
"BSU_00010","BSU_40440"
"BSU_00010","BSU_40970"
"BSU_00010","BSU_22350"
"BSU_00010","BSU_26310"
"BSU_00010","BSU_26260"
"BSU_00010","BSU_17900"
"BSU_00010","BSU_00020"
"BSU_00010","BSU_28980"
"BSU_00010","BSU_25210"
"BSU_40970","BSU_29000"
"BSU_41050","BSU_41060"
"BSU_29090","BSU_34360"
"BSU_29090","BSU_39940"
"BSU_29090","BSU_36240"
"BSU_29090","BSU_29230"
"BSU_29090","BSU_00020"
"BSU_40440","BSU_29230"
"BSU_40440","BSU_25280"
"BSU_40440","BSU_16940"
"BSU_40440","BSU_00210"
"BSU_40440","BSU_40900"
"BSU_40440","BSU_00040"
"BSU_40440","BSU_00310"
"BSU_40440","BSU_25560"
"BSU_28990","BSU_40440"
"BSU_28990","BSU_33690"
"BSU_28990","BSU_40970"
"BSU_28990","BSU_31240"
"BSU_28990","BSU_00190"
"BSU_28990","BSU_00310"
"BSU_28990","BSU_25280"
"BSU_28990","BSU_00210"
"BSU_28990","BSU_29230"
"BSU_28990","BSU_16940"
"BSU_28990","BSU_40900"
"BSU_28990","BSU_00040"
"BSU_28990","BSU_00020"
"BSU_28990","BSU_29920"
"BSU_40960","BSU_15420"
"BSU_40960","BSU_40970"
"BSU_26260","BSU_40440"
"BSU_00330","BSU_00660"
"BSU_00330","BSU_31240"
"BSU_00330","BSU_05240"
"BSU_00330","BSU_40970"
"BSU_00330","BSU_39940"
"BSU_00330","BSU_29700"
"BSU_00330","BSU_31250"
"BSU_17900","BSU_17910"
"BSU_24300","BSU_27600"
"BSU_24300","BSU_37450"
"BSU_24300","BSU_39580"
"BSU_24300","BSU_25250"
"BSU_24300","BSU_28980"
"BSU_24300","BSU_37030"
"BSU_24300","BSU_25490"
"BSU_24300","BSU_29440"
"BSU_24300","BSU_25340"
"BSU_24300","BSU_37950"
"BSU_24300","BSU_29610"
"BSU_24300","BSU_35500"
"BSU_24300","BSU_40440"
"BSU_24300","BSU_31240"
"BSU_24300","BSU_40900"
"BSU_22350","BSU_28990"
"BSU_22350","BSU_40970"
"BSU_22350","BSU_25210"
"BSU_22350","BSU_23020"
"BSU_22350","BSU_40440"
"BSU_22350","BSU_28980"
"BSU_22350","BSU_00310"
"BSU_22350","BSU_00040"
"BSU_22350","BSU_25560"
"BSU_13060","BSU_31890"
"BSU_13060","BSU_26150"
"BSU_13060","BSU_25330"
"BSU_13060","BSU_14400"
"BSU_13060","BSU_19400"
"BSU_13060","BSU_37030"
"BSU_26310","BSU_40440"
"BSU_26310","BSU_33020"
"BSU_00020","BSU_16580"
"BSU_00020","BSU_25210"
"BSU_00020","BSU_00190"
"BSU_00020","BSU_29740"
"BSU_00020","BSU_40440"
"BSU_00020","BSU_41050"
"BSU_00020","BSU_00310"
"BSU_00020","BSU_23870"
"BSU_00020","BSU_17050"
"BSU_00020","BSU_20340"
"BSU_00020","BSU_22350"
"BSU_00020","BSU_29230"
"BSU_00020","BSU_25560"
"BSU_00020","BSU_00330"
"BSU_00020","BSU_40900"
"BSU_00020","BSU_23710"
"BSU_00020","BSU_15710"
"BSU_00020","BSU_00210"
"BSU_00020","BSU_16940"
"BSU_00020","BSU_28980"
"BSU_00020","BSU_00040"
"BSU_00020","BSU_17040"
"BSU_20340","BSU_25560"
"BSU_20340","BSU_29230"
"BSU_00310","BSU_25560"
"BSU_00310","BSU_20340"
"BSU_00310","BSU_16580"
"BSU_00310","BSU_29090"
"BSU_00310","BSU_29230"
"BSU_00310","BSU_00040"
"BSU_00310","BSU_25210"
"BSU_00310","BSU_00860"
"BSU_16580","BSU_29090"
"BSU_16580","BSU_40440"
"BSU_16580","BSU_25560"
"BSU_16580","BSU_22350"
"BSU_16580","BSU_28990"
"BSU_16580","BSU_20340"
"BSU_16580","BSU_29230"
"BSU_29230","BSU_29980"
"BSU_29230","BSU_37450"
"BSU_29230","BSU_25210"
"BSU_29230","BSU_40900"
"BSU_29230","BSU_25280"
"BSU_29230","BSU_22350"
"BSU_29230","BSU_00040"
"BSU_29230","BSU_15710"
"BSU_29230","BSU_28980"
"BSU_29230","BSU_00210"
"BSU_29230","BSU_16940"
"BSU_29230","BSU_17040"
"BSU_29230","BSU_17050"
"BSU_29230","BSU_29180"
"BSU_00190","BSU_40440"
"BSU_00190","BSU_00310"
"BSU_00190","BSU_20340"
"BSU_00190","BSU_25560"
"BSU_00190","BSU_26150"
"BSU_00190","BSU_16580"
"BSU_00190","BSU_30540"
"BSU_00190","BSU_29230"
"BSU_00190","BSU_16030"
"BSU_00190","BSU_00210"
"BSU_00190","BSU_25210"
"BSU_00190","BSU_00040"
"BSU_00190","BSU_16940"
"BSU_00190","BSU_25280"
"BSU_00190","BSU_28980"
"BSU_00190","BSU_22350"
"BSU_00190","BSU_40900"
"BSU_00190","BSU_15710"
"BSU_17050","BSU_35170"
"BSU_17050","BSU_36240"
"BSU_17050","BSU_35160"
"BSU_17050","BSU_28490"
"BSU_17050","BSU_32620"
"BSU_17050","BSU_34360"
"BSU_17050","BSU_17040"
"BSU_29740","BSU_37120"
"BSU_29740","BSU_30700"
"BSU_29740","BSU_33910"
"BSU_29740","BSU_30320"
"BSU_29740","BSU_30550"
"BSU_29740","BSU_33900"
"BSU_29740","BSU_39220"
"BSU_29740","BSU_35670"
"BSU_29740","BSU_32000"
"BSU_29740","BSU_31970"
"BSU_29740","BSU_37110"
"BSU_29740","BSU_36830"
"BSU_29740","BSU_30230"
"BSU_29740","BSU_33430"
"BSU_29740","BSU_32700"
"BSU_29740","BSU_31370"
"BSU_29740","BSU_35160"
"BSU_29740","BSU_31980"
"BSU_29740","BSU_38950"
"BSU_29740","BSU_32710"
"BSU_29740","BSU_38960"
"BSU_29740","BSU_31960"
"BSU_29740","BSU_40920"
"BSU_29740","BSU_34030"
"BSU_29740","BSU_32690"
"BSU_29740","BSU_40100"
"BSU_29740","BSU_34740"
"BSU_29740","BSU_32110"
"BSU_29740","BSU_32250"
"BSU_29740","BSU_31990"
"BSU_29740","BSU_32750"
"BSU_29740","BSU_35300"
"BSU_29740","BSU_35310"
"BSU_29740","BSU_33940"
"BSU_29740","BSU_37330"
"BSU_29740","BSU_34040"
"BSU_29740","BSU_36900"
"BSU_29740","BSU_31350"
"BSU_29740","BSU_40420"
"BSU_29740","BSU_41010"
"BSU_29740","BSU_40550"
"BSU_29740","BSU_38860"
"BSU_29740","BSU_36810"
"BSU_29740","BSU_40090"
"BSU_29740","BSU_38500"
"BSU_29740","BSU_30540"
"BSU_29740","BSU_31750"
"BSU_29740","BSU_32670"
"BSU_29740","BSU_33040"
"BSU_29740","BSU_33400"
"BSU_29740","BSU_35360"
"BSU_29740","BSU_30200"
"BSU_25560","BSU_40010"
"BSU_25560","BSU_29230"
"BSU_25560","BSU_28990"
"BSU_25560","BSU_00040"
"BSU_25560","BSU_25210"
"BSU_25210","BSU_28980"
"BSU_25210","BSU_39580"
"BSU_25210","BSU_25250"
"BSU_25210","BSU_28990"
"BSU_25210","BSU_40440"
"BSU_25210","BSU_27600"
"BSU_25210","BSU_40900"
"BSU_25210","BSU_16580"
"BSU_23870","BSU_29090"
"BSU_00040","BSU_28980"
"BSU_00040","BSU_41050"
"BSU_00040","BSU_31250"
"BSU_00040","BSU_16940"
"BSU_00040","BSU_27620"
"BSU_00040","BSU_15870"
"BSU_00040","BSU_25280"
"BSU_00040","BSU_25210"
"BSU_00040","BSU_16580"
"BSU_28980","BSU_28990"
"BSU_28980","BSU_40440"
"BSU_28980","BSU_00310"
"BSU_28980","BSU_16580"
"BSU_28980","BSU_00210"
"BSU_28980","BSU_25560"
"BSU_15870","BSU_29790"
"BSU_15870","BSU_40900"
"BSU_25280","BSU_16580"
"BSU_25280","BSU_25560"
"BSU_25280","BSU_00310"
"BSU_25280","BSU_28980"
"BSU_25280","BSU_15710"
"BSU_25280","BSU_00020"
"BSU_25280","BSU_40900"
"BSU_25280","BSU_25210"
"BSU_25280","BSU_22350"
"BSU_31250","BSU_35410"
"BSU_31250","BSU_31550"
"BSU_31250","BSU_33690"
"BSU_31250","BSU_35500"
"BSU_16940","BSU_17850"
"BSU_16940","BSU_29740"
"BSU_16940","BSU_36310"
"BSU_16940","BSU_36260"
"BSU_16940","BSU_25280"
"BSU_16940","BSU_36250"
"BSU_16940","BSU_40900"
"BSU_16940","BSU_00210"
"BSU_16940","BSU_28980"
"BSU_16940","BSU_22350"
"BSU_16940","BSU_25210"
"BSU_16940","BSU_00310"
"BSU_16940","BSU_15710"
"BSU_16940","BSU_16580"
"BSU_16940","BSU_25560"
"BSU_16940","BSU_22310"
"BSU_16940","BSU_08520"
"BSU_16940","BSU_00870"
"BSU_16940","BSU_00880"
"BSU_16940","BSU_06610"
"BSU_00060","BSU_36760"
"BSU_00060","BSU_00070"
"BSU_00060","BSU_33040"
"BSU_00060","BSU_29790"
"BSU_00060","BSU_18100"
"BSU_00060","BSU_37100"
"BSU_00060","BSU_29120"
"BSU_33040","BSU_18000"
"BSU_29120","BSU_16090"
"BSU_29120","BSU_18000"
"BSU_29120","BSU_30560"
"BSU_29120","BSU_29140"
"BSU_29120","BSU_33040"
"BSU_29120","BSU_29130"
"BSU_29120","BSU_29740"
"BSU_36760","BSU_37100"
"BSU_00070","BSU_29230"
"BSU_00070","BSU_18100"
"BSU_00070","BSU_31250"
"BSU_00070","BSU_31240"
"BSU_00070","BSU_24300"
"BSU_00070","BSU_29740"
"BSU_31240","BSU_35500"
"BSU_31240","BSU_31860"
"BSU_31240","BSU_31250"
"BSU_31240","BSU_33040"
"BSU_31240","BSU_33690"
"BSU_31240","BSU_33360"
"BSU_31240","BSU_35240"
"BSU_31240","BSU_36190"
"BSU_00090","BSU_29740"
"BSU_00090","BSU_16170"
"BSU_00100","BSU_19620"
"BSU_00100","BSU_23190"
"BSU_00100","BSU_01670"
"BSU_00100","BSU_10110"
"BSU_00100","BSU_22320"
"BSU_00100","BSU_23480"
"BSU_00100","BSU_18350"
"BSU_22320","BSU_23480"
"BSU_22320","BSU_28020"
"BSU_22320","BSU_23190"
"BSU_22320","BSU_28610"
"BSU_22320","BSU_29610"
"BSU_22320","BSU_28030"
"BSU_22320","BSU_27300"
"BSU_10110","BSU_23480"
"BSU_10110","BSU_23190"
"BSU_10110","BSU_28030"
"BSU_10110","BSU_22320"
"BSU_10110","BSU_19620"
"BSU_01670","BSU_23190"
"BSU_01670","BSU_18350"
"BSU_01670","BSU_23480"
"BSU_18350","BSU_23480"
"BSU_18350","BSU_23190"
"BSU_18350","BSU_28010"
"BSU_18350","BSU_28030"
"BSU_18350","BSU_04140"
"BSU_18350","BSU_28020"
"BSU_18350","BSU_14470"
"BSU_18350","BSU_27310"
"BSU_18350","BSU_13980"
"BSU_18350","BSU_16910"
"BSU_18350","BSU_25000"
"BSU_18350","BSU_38120"
"BSU_23190","BSU_23480"
"BSU_19620","BSU_23190"
