protein	go_term	protein_neighbor	go_neighbor	go_annotated_protein_neighbors	score	norm_score	true_label
P16181	GO:1990904	164	340	135	135	1.0	1
Q9FJA6	GO:0005840	137	266	115	115	0.8518518518518519	1
Q9SK22	GO:0006412	136	315	110	110	0.8148148148148148	1
Q8LPJ7	GO:0006412	130	315	106	106	0.7851851851851852	1
Q9SKX8	GO:0022625	158	120	94	94	0.6962962962962963	1
Q9SK22	GO:0022626	136	183	83	83	0.6148148148148148	1
P46286	GO:0003723	162	521	80	80	0.5925925925925926	1
P57691	GO:0003729	114	639	78	78	0.5777777777777777	1
Q08112	GO:1990904	83	340	77	77	0.5703703703703704	1
Q42351	GO:0003735	70	256	65	65	0.48148148148148145	1
P42794	GO:0003723	104	521	60	60	0.4444444444444444	1
Q84JM4	GO:0005634	64	3616	60	60	0.4444444444444444	1
Q9SLH3	GO:0003700	95	1208	58	58	0.42962962962962964	1
Q9SSB5	GO:0000502	95	56	50	50	0.37037037037037035	1
P35631	GO:0005515	58	3592	49	49	0.362962962962963	1
Q94F58	GO:0005515	165	3592	49	49	0.362962962962963	1
Q9MAT0	GO:0000502	89	56	48	48	0.35555555555555557	1
P49678	GO:0005515	49	3592	47	47	0.34814814814814815	1
P25859	GO:0005634	46	3616	43	43	0.31851851851851853	1
Q9LVI4	GO:0005634	51	3616	42	42	0.3111111111111111	1
Q9XFM0	GO:0003700	53	1208	42	42	0.3111111111111111	1
O81146	GO:0005829	72	1563	41	41	0.3037037037037037	1
C0LGR6	GO:0016740	43	1369	38	38	0.2814814814814815	1
Q9LPT1	GO:0106310	52	461	38	38	0.2814814814814815	1
O22467	GO:0005515	53	3592	38	38	0.2814814814814815	1
Q9C7T4	GO:0003677	52	1488	38	38	0.2814814814814815	1
Q56XU4	GO:0005634	36	3616	36	36	0.26666666666666666	0
P22738	GO:0005737	155	2235	36	36	0.26666666666666666	1
Q2V419	GO:0005634	39	3616	35	35	0.25925925925925924	1
Q9CAT7	GO:0005737	39	2235	35	35	0.25925925925925924	0
P55737	GO:0005515	43	3592	33	33	0.24444444444444444	1
P25859	GO:0005737	46	2235	33	33	0.24444444444444444	1
F4K6B8	GO:0016020	36	2579	31	31	0.22962962962962963	1
Q56XU4	GO:0006355	36	1382	28	28	0.2074074074074074	0
F4KGY6	GO:0003677	43	1488	28	28	0.2074074074074074	1
Q9FK10	GO:0004674	31	511	26	26	0.1925925925925926	0
C0SVM5	GO:0005634	27	3616	26	26	0.1925925925925926	1
P49177	GO:0005886	73	1616	25	25	0.18518518518518517	1
Q9ZPE4	GO:0005737	27	2235	25	25	0.18518518518518517	0
Q42064	GO:0002181	144	45	25	25	0.18518518518518517	1
Q67Y93	GO:0005737	27	2235	25	25	0.18518518518518517	0
Q9ZPE4	GO:0005737	27	2235	25	25	0.18518518518518517	0
Q9ZPE4	GO:0005737	27	2235	25	25	0.18518518518518517	0
Q9ZPE4	GO:0005737	27	2235	25	25	0.18518518518518517	0
Q67Y93	GO:0005737	27	2235	25	25	0.18518518518518517	0
Q9FKB5	GO:0005737	26	2235	24	24	0.17777777777777778	0
Q9FKB5	GO:0005737	26	2235	24	24	0.17777777777777778	0
Q9FLI3	GO:0005634	28	3616	24	24	0.17777777777777778	0
O04567	GO:0000166	43	1411	24	24	0.17777777777777778	1
Q9FLI3	GO:0005634	28	3616	24	24	0.17777777777777778	0
P51412	GO:0003723	44	521	24	24	0.17777777777777778	1
Q9FLI3	GO:0005634	28	3616	24	24	0.17777777777777778	0
Q9FKB5	GO:0005737	26	2235	24	24	0.17777777777777778	0
Q9SAZ5	GO:0006355	30	1382	23	23	0.17037037037037037	0
Q94CL9	GO:0005737	25	2235	23	23	0.17037037037037037	0
Q9ZVP8	GO:0005515	24	3592	23	23	0.17037037037037037	0
Q9FYK0	GO:0005886	28	1616	23	23	0.17037037037037037	0
Q8H1G0	GO:0005634	29	3616	23	23	0.17037037037037037	1
Q9FYK0	GO:0005886	28	1616	23	23	0.17037037037037037	0
O23661	GO:0003677	32	1488	23	23	0.17037037037037037	1
Q8L9T7	GO:0006355	31	1382	23	23	0.17037037037037037	0
Q94CL9	GO:0005737	25	2235	23	23	0.17037037037037037	0
Q9ZVP8	GO:0005515	24	3592	23	23	0.17037037037037037	0
Q94CL9	GO:0005737	25	2235	23	23	0.17037037037037037	0
Q94CL9	GO:0005737	25	2235	23	23	0.17037037037037037	0
Q8LPL5	GO:0005634	27	3616	22	22	0.16296296296296298	0
Q94AG2	GO:0005515	26	3592	22	22	0.16296296296296298	1
Q9LJE4	GO:0005737	26	2235	22	22	0.16296296296296298	0
C0LGG6	GO:0005515	26	3592	22	22	0.16296296296296298	0
Q9FRS6	GO:0004672	50	553	22	22	0.16296296296296298	1
Q7DLR9	GO:0051603	70	40	22	22	0.16296296296296298	1
P42742	GO:0005839	76	23	22	22	0.16296296296296298	1
Q9ZVL3	GO:0006355	24	1382	22	22	0.16296296296296298	0
Q8LPL5	GO:0005634	27	3616	22	22	0.16296296296296298	0
Q9LJE4	GO:0005737	26	2235	22	22	0.16296296296296298	0
Q8LPL5	GO:0005634	27	3616	22	22	0.16296296296296298	0
Q9ZRF9	GO:0005886	22	1616	22	22	0.16296296296296298	1
Q94BT6	GO:0005515	25	3592	22	22	0.16296296296296298	1
C0Z361	GO:0005737	27	2235	21	21	0.15555555555555556	0
P92958	GO:0005737	65	2235	21	21	0.15555555555555556	1
Q9C9N5	GO:0004674	33	511	21	21	0.15555555555555556	0
C0Z361	GO:0005634	27	3616	21	21	0.15555555555555556	0
Q93XM6	GO:0003700	35	1208	21	21	0.15555555555555556	1
Q9LQX5	GO:0005515	26	3592	21	21	0.15555555555555556	0
C0Z361	GO:0005634	27	3616	21	21	0.15555555555555556	0
C0Z361	GO:0005634	27	3616	21	21	0.15555555555555556	0
C0Z361	GO:0005737	27	2235	21	21	0.15555555555555556	0
Q9LQX5	GO:0005515	26	3592	21	21	0.15555555555555556	0
Q9FG24	GO:0106310	39	461	21	21	0.15555555555555556	0
Q96291	GO:0009579	113	241	21	21	0.15555555555555556	1
Q9ZW35	GO:0005737	31	2235	21	21	0.15555555555555556	0
Q42581	GO:0005634	22	3616	20	20	0.14814814814814814	0
Q42581	GO:0005634	22	3616	20	20	0.14814814814814814	0
Q9CAD0	GO:0003700	29	1208	20	20	0.14814814814814814	1
Q9ZW35	GO:0005829	31	1563	20	20	0.14814814814814814	0
Q9FHK0	GO:0005634	20	3616	20	20	0.14814814814814814	0
Q0WNX9	GO:0005737	25	2235	20	20	0.14814814814814814	0
Q9FHK0	GO:0005634	20	3616	20	20	0.14814814814814814	0
Q9FHK0	GO:0005634	20	3616	20	20	0.14814814814814814	0
Q7XJK6	GO:0006355	23	1382	20	20	0.14814814814814814	0
Q9FHK0	GO:0005634	20	3616	20	20	0.14814814814814814	0
Q0WNX9	GO:0005737	25	2235	20	20	0.14814814814814814	0
Q9LP77	GO:0004674	23	511	20	20	0.14814814814814814	0
Q7XYY2	GO:0006355	23	1382	20	20	0.14814814814814814	0
Q9FHK0	GO:0005634	20	3616	20	20	0.14814814814814814	0
Q0WNX9	GO:0005737	25	2235	20	20	0.14814814814814814	0
Q42581	GO:0005634	22	3616	20	20	0.14814814814814814	0
Q0WNX9	GO:0005737	25	2235	20	20	0.14814814814814814	0
Q9FHK0	GO:0005634	20	3616	20	20	0.14814814814814814	0
Q9SJK7	GO:0005515	21	3592	19	19	0.14074074074074075	0
Q9SN23	GO:0005634	19	3616	19	19	0.14074074074074075	0
Q9SW07	GO:0005886	41	1616	19	19	0.14074074074074075	0
O23115	GO:0005515	26	3592	19	19	0.14074074074074075	0
P29402	GO:0005634	23	3616	19	19	0.14074074074074075	0
O23115	GO:0005515	26	3592	19	19	0.14074074074074075	0
Q7XJK6	GO:0005515	23	3592	19	19	0.14074074074074075	0
O64888	GO:0005634	21	3616	19	19	0.14074074074074075	0
Q9LKR3	GO:0005634	29	3616	19	19	0.14074074074074075	1
O64888	GO:0005634	21	3616	19	19	0.14074074074074075	0
Q93VI3	GO:0005773	151	293	19	19	0.14074074074074075	1
Q8LBM2	GO:0006355	29	1382	19	19	0.14074074074074075	0
Q7XJK6	GO:0005515	23	3592	19	19	0.14074074074074075	0
O23115	GO:0005515	26	3592	19	19	0.14074074074074075	0
Q9LZF6	GO:0005515	60	3592	19	19	0.14074074074074075	1
Q9SFV6	GO:0005515	24	3592	19	19	0.14074074074074075	0
Q9SJK7	GO:0005515	21	3592	19	19	0.14074074074074075	0
Q9C9H1	GO:0003677	20	1488	19	19	0.14074074074074075	0
P29402	GO:0005634	23	3616	19	19	0.14074074074074075	0
Q9SFV6	GO:0005515	24	3592	19	19	0.14074074074074075	0
Q8VZU2	GO:0016020	46	2579	19	19	0.14074074074074075	1
Q9SJK7	GO:0005515	21	3592	19	19	0.14074074074074075	0
Q39247	GO:0005737	21	2235	19	19	0.14074074074074075	0
Q9SJK7	GO:0005515	21	3592	19	19	0.14074074074074075	0
