protein	goTerm	proProNeighbor	goNeighbor	goAnnotatedProProNeighbors	score
FBgn0051851	GO:0004596	0	11	0	0.09090909090909091
FBgn0086704	GO:0004596	26	11	0	0.02702702702702703
FBgn0037515	GO:0004252	7	280	1	0.006968641114982578
FBgn0032886	GO:0004252	2	280	0	0.0035460992907801418
FBgn0262411	GO:0003730	0	122	0	0.00819672131147541
FBgn0041717	GO:0003730	0	122	0	0.00819672131147541
FBgn0052495	GO:0005829	19	1082	7	0.007266121707538601
FBgn0000581	GO:0005829	19	1082	0	0.0009082652134423251
FBgn0261806	GO:0008150	0	1771	0	0.000564652738565782
FBgn0035876	GO:0008150	6	1771	0	0.0005627462014631402
FBgn0035049	GO:0007561	25	7	0	0.03125
FBgn0000024	GO:0007561	11	7	0	0.05555555555555555
FBgn0035790	GO:0005506	58	151	42	0.20574162679425836
FBgn0028963	GO:0005506	21	151	0	0.005813953488372093
FBgn0032348	GO:0005654	11	198	1	0.009569377990430622
FBgn0011980	GO:0005654	0	198	0	0.005050505050505051
FBgn0053873	GO:0006334	0	102	0	0.00980392156862745
FBgn0037365	GO:0006334	25	102	0	0.007874015748031496
FBgn0031888	GO:0048542	19	30	0	0.02040816326530612
FBgn0028988	GO:0048542	47	30	0	0.012987012987012988
FBgn0013276	GO:0016887	65	237	5	0.019867549668874173
FBgn0012037	GO:0016887	7	237	0	0.004098360655737705
FBgn0037602	GO:0003676	39	369	2	0.007352941176470588
FBgn0022935	GO:0003676	42	369	1	0.004866180048661801
FBgn0004908	GO:0000132	22	22	1	0.045454545454545456
FBgn0037679	GO:0000132	10	22	0	0.03125
FBgn0023094	GO:0046982	28	217	3	0.0163265306122449
FBgn0005672	GO:0046982	355	217	4	0.008741258741258742
FBgn0027491	GO:0070059	7	5	1	0.16666666666666666
FBgn0036832	GO:0070059	3	5	0	0.125
FBgn0046873	GO:0008150	8	1771	0	0.0005621135469364812
FBgn0028342	GO:0008150	139	1771	8	0.004712041884816754
FBgn0034793	GO:0005768	23	80	1	0.019417475728155338
FBgn0003345	GO:0005768	43	80	0	0.008130081300813009
FBgn0036566	GO:0048388	20	3	0	0.043478260869565216
FBgn0015774	GO:0048388	889	3	1	0.002242152466367713
FBgn0001297	GO:0016330	106	9	0	0.008695652173913044
FBgn0261831	GO:0016330	0	9	0	0.1111111111111111
FBgn0266439	GO:0005575	0	2646	0	0.0003779289493575208
FBgn0004878	GO:0005575	12	2646	0	0.0003762227238525207
FBgn0036770	GO:0015499	2	1	0	0.3333333333333333
FBgn0053391	GO:0015499	0	1	0	1.0
FBgn0264301	GO:0005575	0	2646	0	0.0003779289493575208
FBgn0003997	GO:0005575	9	2646	0	0.0003766478342749529
FBgn0036556	GO:0006470	38	87	1	0.016
FBgn0267796	GO:0006470	0	87	0	0.011494252873563218
FBgn0034310	GO:2000331	42	26	0	0.014705882352941176
FBgn0013680	GO:2000331	0	26	0	0.038461538461538464
FBgn0053966	GO:1902936	0	23	0	0.043478260869565216
FBgn0025631	GO:1902936	25	23	0	0.020833333333333332
FBgn0033980	GO:0005506	135	151	60	0.21328671328671328
FBgn0033260	GO:0005506	247	151	1	0.005025125628140704
FBgn0001291	GO:0046529	249	35	10	0.03873239436619718
FBgn0264270	GO:0046529	131	35	0	0.006024096385542169
FBgn0032435	GO:0055085	3	388	0	0.0025575447570332483
FBgn0004635	GO:0055085	128	388	3	0.007751937984496124
FBgn0034577	GO:0008290	117	3	1	0.016666666666666666
FBgn0036994	GO:0008290	4	3	0	0.14285714285714285
FBgn0020633	GO:0042555	154	7	6	0.043478260869565216
FBgn0287873	GO:0042555	0	7	0	0.14285714285714285
FBgn0035849	GO:0003707	46	4	0	0.02
FBgn0052669	GO:0003707	19	4	0	0.043478260869565216
FBgn0002921	GO:0007605	163	73	1	0.00847457627118644
FBgn0052301	GO:0007605	0	73	0	0.0136986301369863
FBgn0000451	GO:0005575	8	2646	0	0.00037678975131876413
FBgn0010501	GO:0005575	125	2646	0	0.00036088054853843375
FBgn0043577	GO:0009253	0	14	0	0.07142857142857142
FBgn0038975	GO:0009253	22	14	0	0.027777777777777776
