protein	goTerm	degree	score
FBgn0033382	GO:0071011	100	0.08042242079610074
FBgn0010280	GO:0006352	60	0.0479285134037368
FBgn0029798	GO:0006352	34	0.026807473598700244
FBgn0037463	GO:0005634	12	0.008935824532900082
FBgn0033339	GO:0005634	74	0.059301380991064176
FBgn0285955	GO:0008586	56	0.04467912266450041
FBgn0263111	GO:0008586	145	0.11697806661251016
FBgn0011509	GO:0005789	122	0.0982940698619009
FBgn0011361	GO:0005789	84	0.06742485783915515
FBgn0033988	GO:0005886	40	0.03168155970755483
FBgn0011758	GO:0005886	45	0.03574329813160033
FBgn0067102	GO:0016020	8	0.005686433793663688
FBgn0086917	GO:0016020	8	0.005686433793663688
FBgn0030607	GO:0019433	22	0.017059301380991064
FBgn0015402	GO:0019433	69	0.05523964256701868
FBgn0085432	GO:0000978	89	0.07148659626320066
FBgn0008651	GO:0000978	36	0.02843216896831844
FBgn0003410	GO:0043161	161	0.12997562956945571
FBgn0086368	GO:0043161	48	0.038180341186027617
FBgn0260743	GO:0015813	34	0.026807473598700244
FBgn0260632	GO:0015813	167	0.1348497156783103
FBgn0036640	GO:0005515	26	0.020308692120227456
FBgn0038197	GO:0005515	242	0.1957757920389927
FBgn0005617	GO:0072487	32	0.025182778229082048
FBgn0053920	GO:0072487	3	0.0016246953696181965
FBgn0032006	GO:0048010	130	0.10479285134037368
FBgn0264075	GO:0048010	93	0.07473598700243704
FBgn0037254	GO:0030317	9	0.006498781478472786
FBgn0027538	GO:0030317	23	0.017871649065800164
FBgn0051704	GO:0005615	3	0.0016246953696181965
FBgn0052831	GO:0005615	42	0.03330625507717303
FBgn0039777	GO:0006508	10	0.007311129163281885
FBgn0044028	GO:0006508	17	0.012997562956945572
FBgn0263398	GO:0043771	9	0.006498781478472786
FBgn0035420	GO:0043771	37	0.02924451665312754
FBgn0285951	GO:0005739	6	0.004061738424045491
FBgn0037687	GO:0005739	39	0.030869212022745736
FBgn0038860	GO:0008023	14	0.010560519902518278
FBgn0000606	GO:0008023	35	0.02761982128350934
FBgn0025693	GO:0071577	39	0.030869212022745736
FBgn0265606	GO:0071577	128	0.10316815597075549
FBgn0029006	GO:0045880	326	0.26401299756295693
FBgn0263997	GO:0045880	5	0.003249390739236393
FBgn0086908	GO:0005515	119	0.0958570268074736
FBgn0051189	GO:0005515	3	0.0016246953696181965
FBgn0036576	GO:0008150	6	0.004061738424045491
FBgn0262370	GO:0008150	13	0.00974817221770918
