protein	go_term	walk	norm_score	true_label
P31553	GO:1900751	0.23440955579280853	1.0	1
P45577	GO:0051954	0.2343481183052063	0.9997379008313393	1
P0ACB4	GO:0070818	0.2261423021554947	0.9647309746863938	1
P22333	GO:0043103	0.222617968916893	0.9496957763413465	1
P60240	GO:0140658	0.2217685431241989	0.9460720312503115	1
P0AAP1	GO:0010962	0.22151899337768555	0.9450074242220404	1
P0A7A5	GO:0004719	0.2210795283317566	0.9431326173624375	1
P0AEI1	GO:0035597	0.21965566277503967	0.937058248222925	1
P0AFI7	GO:1902444	0.21915000677108765	0.9349010633601227	1
P0A825	GO:0004372	0.21855327486991882	0.9323553385703607	1
P0ADV9	GO:0015221	0.21765699982643127	0.9285317293545937	1
P31120	GO:0008966	0.2164372205734253	0.9233280151299438	1
P80645	GO:1990201	0.21640118956565857	0.9231743028355411	1
P77581	GO:0043825	0.21639446914196014	0.9231456327591245	1
P07118	GO:0045903	0.21628336608409882	0.9226716547330429	1
P16384	GO:0052381	0.21537171304225922	0.918782441262593	1
P0A6W3	GO:0051992	0.21423223614692688	0.913921305844616	1
P0AAR3	GO:0043907	0.21403969824314117	0.91309991769078	1
P00350	GO:0004616	0.2139725387096405	0.9128134076366559	1
P0AED7	GO:0009014	0.2139175683259964	0.9125788978541699	1
P0A9S1	GO:0034311	0.11420468240976334	0.48719261460291474	1
P0AC00	GO:0070548	0.11305516213178635	0.48228863299534824	1
P09832	GO:0004355	0.11277664452791214	0.4811004458594186	1
P37627	GO:0006020	0.11236125975847244	0.47932836814280755	1
P0ACV6	GO:0016998	0.11219276487827301	0.47860955020692797	1
P37597	GO:0015211	0.11214569211006165	0.47840873253198274	1
P21517	GO:0000023	0.11202849447727203	0.47790875437008196	1
P75826	GO:0015189	0.11123299598693848	0.4745150691605369	1
P37685	GO:0045471	0.11122412234544754	0.47447721321706426	1
P60472	GO:0016094	0.11051751673221588	0.4714627549273945	1
P18200	GO:0016311	0.10955881327390671	0.46737281913702067	1
P37692	GO:0008713	0.10940110683441162	0.46670002589144194	1
P08312	GO:0004826	0.10829433798789978	0.4619784266546947	1
P07639	GO:0016838	0.10780993103981018	0.459911892632181	1
P07001	GO:0008750	0.10766895115375519	0.45931045672757287	1
P23827	GO:0061135	0.0799575224518776	0.3410904137435919	1
P0ABY7	GO:1902117	0.07647126913070679	0.32621766856990353	1
P80668	GO:0006559	0.07616964727640152	0.3249309161269138	1
P21517	GO:0030978	0.0759311243891716	0.3239133509091712	1
P77239	GO:0005375	0.07567694783210754	0.32282900539148246	1
P05041	GO:0046482	0.07558663189411163	0.3224437075352484	1
P0AAD8	GO:0015826	0.07546960562467575	0.32194446042851127	1
P75898	GO:0006210	0.074921153485775	0.319604702484847	1
P04982	GO:0006014	0.07421986758708954	0.3166129386902565	1
P09546	GO:0006561	0.07363395392894745	0.3141133657308238	1
P06609	GO:0015420	0.07360121607780457	0.3139737024095656	1
P26612	GO:0004556	0.07335125654935837	0.3129073472059033	1
P02930	GO:1990196	0.07306572794914246	0.31168925037827944	1
P52074	GO:0019154	0.07290917634963989	0.31102138380880334	1
P0A6R3	GO:0008301	0.07263022661209106	0.3098313531424611	1
P0A9C5	GO:0019676	0.07226799428462982	0.3082860296666002	1
P77783	GO:0033797	0.07220631092786789	0.3080228815927047	1
P0A759	GO:1901071	0.057787805795669556	0.24651193191085935	1
P06974	GO:0071975	0.056962791830301285	0.24299233039563278	1
P25665	GO:0071267	0.056749504059553146	0.2420824209969848	1
P0A6T5	GO:0019238	0.05628644675016403	0.24010696691235583	1
P05825	GO:0042930	0.05586669221520424	0.23831624728907258	1
P13035	GO:0009331	0.055781397968530655	0.2379523725276333	1
P16525	GO:0006274	0.055106163024902344	0.2350717450104163	1
P0ABC9	GO:0015220	0.055074937641620636	0.2349385340456022	1
P0A776	GO:0110154	0.054720304906368256	0.23342563127699745	1
P0AAC8	GO:1990230	0.054624300450086594	0.23301606556783203	1
P22731	GO:0005304	0.04571761563420296	0.19501915558869437	1
