protein	go_term	protein_neighbor	go_neighbor	go_annotated_protein_neighbors	score	norm_score	true_label
P29018	GO:0005575	191	2514	190	190	1.0	1
Q46863	GO:0051234	190	645	189	189	0.9947368421052631	1
P0AGH3	GO:0051179	190	646	189	189	0.9947368421052631	1
P52094	GO:0008150	190	2778	189	189	0.9947368421052631	1
P15028	GO:0051234	197	645	189	189	0.9947368421052631	1
P33360	GO:0051179	191	646	189	189	0.9947368421052631	1
P0AEG1	GO:0032991	191	928	189	189	0.9947368421052631	1
P77622	GO:0008150	190	2778	189	189	0.9947368421052631	1
P76027	GO:0110165	190	2391	189	189	0.9947368421052631	1
P0ABM1	GO:0008150	190	2778	189	189	0.9947368421052631	1
P10905	GO:0005575	190	2514	189	189	0.9947368421052631	1
P0AEF8	GO:0032991	190	928	188	188	0.9894736842105263	1
P31548	GO:0032991	190	928	188	188	0.9894736842105263	1
P0AEL6	GO:1902495	191	283	187	187	0.9842105263157894	1
P15029	GO:1990351	192	296	187	187	0.9842105263157894	1
P0AG80	GO:0009987	196	2239	187	187	0.9842105263157894	1
P0ABM1	GO:0098533	190	192	186	186	0.9789473684210527	1
P75797	GO:1990351	190	296	186	186	0.9789473684210527	1
P0AEF8	GO:1902495	190	283	186	186	0.9789473684210527	1
P0AEU0	GO:0009987	190	2239	183	183	0.9631578947368421	1
P37388	GO:0009987	191	2239	183	183	0.9631578947368421	1
P0AFS1	GO:0009987	190	2239	183	183	0.9631578947368421	1
P0A9S7	GO:0098797	190	214	182	182	0.9578947368421052	1
P77308	GO:0098797	190	214	182	182	0.9578947368421052	1
P23876	GO:0098797	190	214	182	182	0.9578947368421052	1
P28635	GO:0098797	195	214	182	182	0.9578947368421052	1
P0ABL8	GO:0098797	191	214	182	182	0.9578947368421052	1
P33941	GO:0055085	190	561	178	178	0.9368421052631579	1
P0AEU0	GO:0003674	190	2773	177	177	0.9315789473684211	1
P0A9S7	GO:0005215	190	490	150	150	0.7894736842105263	1
P31060	GO:0022857	191	483	147	147	0.7736842105263158	1
P37388	GO:0022857	191	483	147	147	0.7736842105263158	1
P37313	GO:0055052	193	148	143	143	0.7526315789473684	1
P06609	GO:0005886	191	919	142	142	0.7473684210526316	1
P16701	GO:0005886	190	919	142	142	0.7473684210526316	1
P31548	GO:0005488	190	2220	114	114	0.6	1
P30860	GO:0005488	190	2220	114	114	0.6	1
P62399	GO:0003674	101	2773	100	100	0.5263157894736842	1
P0A7Z4	GO:0009987	105	2239	97	97	0.5105263157894737	1
P62399	GO:0005488	101	2220	95	95	0.5	1
P0A7T3	GO:0005575	96	2514	92	92	0.4842105263157895	1
P0A6R3	GO:0005575	103	2514	89	89	0.46842105263157896	1
P02359	GO:0044238	106	1282	89	89	0.46842105263157896	1
P0AA10	GO:0044238	111	1282	85	85	0.4473684210526316	1
P0A7R1	GO:0043170	106	712	84	84	0.4421052631578947	1
P0A7U3	GO:0009058	107	758	82	82	0.43157894736842106	1
P0A7V3	GO:0044237	103	1171	81	81	0.4263157894736842	1
P0A8T7	GO:0044237	94	1171	78	78	0.4105263157894737	1
P0ADZ0	GO:0003676	103	593	76	76	0.4	1
P0A7V3	GO:0003676	103	593	74	74	0.3894736842105263	1
P0A7U7	GO:1901564	97	783	73	73	0.38421052631578945	1
P0A7L8	GO:0032991	101	928	73	73	0.38421052631578945	1
P0AG44	GO:0005829	104	916	71	71	0.3736842105263158	1
P0A7K2	GO:0003674	71	2773	70	70	0.3684210526315789	1
P0A7U7	GO:0006412	97	104	69	69	0.3631578947368421	1
P0A7L3	GO:0006412	102	104	66	66	0.3473684210526316	1
P33360	GO:0097159	191	1241	66	66	0.3473684210526316	1
P60624	GO:0019538	103	239	66	66	0.3473684210526316	1
P07821	GO:0015399	191	113	64	64	0.3368421052631579	1
P0A7W7	GO:0003723	105	172	62	62	0.3263157894736842	1
Q6BEX0	GO:0098657	193	136	61	61	0.32105263157894737	1
P31060	GO:0030554	191	471	60	60	0.3157894736842105	1
P33593	GO:0097367	194	521	60	60	0.3157894736842105	1
P76909	GO:0035639	190	441	59	59	0.3105263157894737	1
P77509	GO:1901265	190	639	59	59	0.3105263157894737	1
P45769	GO:0005524	190	400	59	59	0.3105263157894737	1
P23878	GO:0016817	192	191	58	58	0.30526315789473685	1
P16676	GO:0016818	192	191	58	58	0.30526315789473685	1
P0A7T7	GO:0043226	103	124	56	56	0.29473684210526313	1
P0A7M6	GO:0043232	98	93	55	55	0.2894736842105263	1
P0AG48	GO:0005198	103	73	55	55	0.2894736842105263	1
P60422	GO:0044391	136	58	55	55	0.2894736842105263	1
P02358	GO:0002181	99	55	54	54	0.28421052631578947	1
P36675	GO:0009059	54	343	53	53	0.2789473684210526	1
P30750	GO:0098739	200	113	52	52	0.2736842105263158	1
P0A6N4	GO:0097159	52	1241	45	45	0.23684210526315788	1
