protein	go_term	protein_neighbor	go_neighbor	go_annotated_protein_neighbors	score	norm_score	true_label
P31548	GO:0032991	190	928	188	1.0	1.0	1
P06609	GO:0005886	191	919	142	1.0	1.0	1
P0A7M6	GO:0043232	98	93	55	1.0	1.0	1
P0AGH3	GO:0051179	190	646	189	1.0	1.0	1
P00579	GO:0010556	32	406	28	1.0	1.0	1
P76027	GO:0110165	190	2391	189	1.0	1.0	1
P0A7R1	GO:0043170	106	712	84	1.0	1.0	1
Q46863	GO:0051234	190	645	189	1.0	1.0	1
P37388	GO:0022857	191	483	147	1.0	1.0	1
P37180	GO:0009061	25	67	24	1.0	1.0	1
P0AE70	GO:0110001	23	24	23	1.0	1.0	1
P16432	GO:0045333	35	89	27	1.0	1.0	1
P0A7U3	GO:0009058	107	758	82	1.0	1.0	1
P75797	GO:1990351	190	296	186	1.0	1.0	1
P28630	GO:0030894	45	15	13	1.0	1.0	1
P58034	GO:0032153	10	31	9	1.0	1.0	0
P69346	GO:0080090	23	423	23	1.0	1.0	1
P16429	GO:0015944	20	20	18	1.0	1.0	1
P0AEL6	GO:1902495	191	283	187	1.0	1.0	1
P07821	GO:0015399	191	113	64	1.0	1.0	1
P0A7V3	GO:0003676	103	593	74	1.0	1.0	1
P0AEG1	GO:0032991	191	928	189	1.0	1.0	1
P16676	GO:0016818	192	191	58	1.0	1.0	1
P52600	GO:0098567	14	16	12	1.0	1.0	1
P0AEW1	GO:0015944	20	20	18	1.0	1.0	1
P37388	GO:0009987	191	2239	183	1.0	1.0	1
P31060	GO:0022857	191	483	147	1.0	1.0	1
P0ADZ0	GO:0003676	103	593	76	1.0	1.0	1
P15029	GO:1990351	192	296	187	1.0	1.0	1
P33360	GO:0051179	191	646	189	1.0	1.0	1
P15043	GO:0043170	38	712	35	1.0	1.0	1
P10905	GO:0005575	190	2514	189	1.0	1.0	1
P33591	GO:0000041	191	75	32	1.0	1.0	1
P0ACG8	GO:0009059	38	343	31	1.0	1.0	0
P0A7V3	GO:0044237	103	1171	81	1.0	1.0	1
P0AG48	GO:0005198	103	73	55	1.0	1.0	1
